3D Point Measurements

Generated: Wednesday 17 November 2021 13:39:28

Filename,Frame,Time (mins),Period,Period time (mins),X (mm),Y (mm),Z (mm),sX (mm),sY (mm),sZ (mm),RMS (mm),Range (mm),Direction (deg),OpCode,TapeReader,Depth,Comment,,,,,,,,,Family,Genus,Species,Code,Number,Stage,Activity,Comment,,
A001C0167_20210709184129_0001.MOV,      0,   0.0000,,,-54.314,134.970,-680.452,0.116,0.181,0.828,1.118,695.831,12.631,1,1,,,,,,,,,,,,,,,0,J,Passing,,,
A001C0167_20210709184129_0001.MOV,      0,   0.0000,,,-47.669,17.830,-667.072,0.110,0.097,0.793,1.760,669.011,4.609,1,1,,,,,,,,,,,,,,,1,F,Passing,,,
A001C0167_20210709184129_0001.MOV,      0,   0.0000,,,-33.406,21.626,-676.769,0.105,0.099,0.816,1.966,677.938,3.728,1,1,,,,,,,,,,,,,,,2,AD,Passing,,,
A001C0167_20210709184129_0001.MOV,      0,   0.0000,,,-23.615,24.180,-679.025,0.102,0.100,0.821,2.083,679.866,3.309,1,1,,,,,,,,,,,,,,,3,AD,Passing,,,
A001C0167_20210709184129_0001.MOV,      0,   0.0000,,,-15.222,26.723,-684.406,0.100,0.101,0.835,1.930,685.097,3.112,1,1,,,,,,,,,,,,,,,4,AD,Passing,,,
A001C0167_20210709184129_0001.MOV,      0,   0.0000,,,141.039,23.465,-600.481,0.167,0.089,0.654,3.927,617.269,13.505,1,1,,,,,,,,,,,,,,,17,AD,Passing,,,
A001C0167_20210709184129_0001.MOV,      0,   0.0000,,,13.173,39.213,-694.612,0.102,0.107,0.860,2.605,695.842,3.985,1,1,,,,,,,,,,,,,,,6.2,AD,Passing,,,
A001C0167_20210709184129_0001.MOV,      0,   0.0000,,,10.208,34.503,-698.740,0.102,0.106,0.870,2.499,699.666,3.531,1,1,,,,,,,,,,,,,,,6,AD,Passing,,,
A001C0167_20210709184129_0001.MOV,     20,   0.0028,,,-59.446,133.264,-694.150,0.121,0.183,0.861,1.422,709.322,12.426,1,1,,,,,,,,,,,,,,,0,J,Passing,,,
A001C0167_20210709184129_0001.MOV,     20,   0.0028,,,-58.913,9.529,-674.672,0.117,0.097,0.810,1.899,677.307,5.186,1,1,,,,,,,,,,,,,,,1,F,Passing,,,
A001C0167_20210709184129_0001.MOV,     20,   0.0028,,,-44.310,13.317,-684.628,0.111,0.099,0.834,2.145,686.190,4.081,1,1,,,,,,,,,,,,,,,2,AD,Passing,,,
A001C0167_20210709184129_0001.MOV,     20,   0.0028,,,-34.407,15.849,-686.091,0.106,0.099,0.838,1.819,687.136,3.457,1,1,,,,,,,,,,,,,,,3,AD,Passing,,,
A001C0167_20210709184129_0001.MOV,     20,   0.0028,,,-25.605,18.082,-691.963,0.104,0.100,0.852,2.072,692.673,2.983,1,1,,,,,,,,,,,,,,,4,AD,Passing,,,
A001C0167_20210709184129_0001.MOV,     20,   0.0028,,,142.214,13.669,-621.558,0.174,0.090,0.699,3.521,637.766,13.016,1,1,,,,,,,,,,,,,,,17,AD,Passing,,,
A001C0167_20210709184129_0001.MOV,     20,   0.0028,,,2.555,30.959,-702.196,0.101,0.105,0.878,2.510,702.883,3.136,1,1,,,,,,,,,,,,,,,6.2,AD,Passing,,,
A001C0167_20210709184129_0001.MOV,     20,   0.0028,,,0.113,26.805,-704.937,0.102,0.104,0.885,2.384,705.446,2.782,1,1,,,,,,,,,,,,,,,6,AD,Passing,,,
A001C0167_20210709184129_0001.MOV,     40,   0.0056,,,-64.146,132.475,-710.146,0.127,0.186,0.900,1.367,725.239,12.256,1,1,,,,,,,,,,,,,,,0,J,Passing,,,
