Master	Secondary	Date_analyzed	Analyzed_by	Video_type	Species	Architecture	Frame	Timestamp_min	Number_of_zooids	Colony_motion_length_mm	Colony_stolon_length_mm	Zooid_length_mm	Zooid_width_mm	Zooid_measured	Frontal_zooids	Frontal_CSA_mm2	Jet_motion_angle	Dorso-Ventral_Zooid_Stolon_angle	Notes
A001C0276_20210919221503_0001	B003C0269_20210919221504_0001	11/22/22	ADS	Stereo	Cyclosalpa sewelli	Cluster	0	0	6										
A001C0276_20210919221503_0001	B003C0269_20210919221504_0001	11/22/22	ADS	Stereo	Cyclosalpa sewelli	Cluster	1110	0.1543		25.551	45.676								
A001C0276_20210919221503_0001	B003C0269_20210919221504_0001	11/22/22	ADS	Stereo	Cyclosalpa sewelli	Cluster	1110	0.1543				16.64	9.463	Leftmost					
A001C0276_20210919221503_0001	B003C0269_20210919221504_0001	11/22/22	ADS	Stereo	Cyclosalpa sewelli	Cluster	1090	0.1515						3rd from left				76.344	
A001C0332_20210921222049_0001_1	B003C0308_20210921222050_0001	11/22/22	ADS		Ritteriella amboinensis	Bipinnate	4100	0.57						4			28.88		
A001C0332_20210921222049_0001_1	B003C0308_20210921222050_0001	11/22/22	ADS		Ritteriella amboinensis	Bipinnate	4100	0.57						5			38.033		
A001C0332_20210921222049_0001_1	B003C0308_20210921222050_0001	11/22/22	ADS		Ritteriella amboinensis	Bipinnate	4566	0.6348							2	180.827			
A001C0332_20210921222049_0001_1	B003C0308_20210921222050_0001	11/22/22	ADS		Ritteriella amboinensis	Bipinnate	4500	0.6256	19										
A001C0332_20210921222049_0001_1	B003C0308_20210921222050_0001	11/22/22	ADS		Ritteriella amboinensis	Bipinnate	4200	0.5839					12.695	5					
A001C0332_20210921222049_0001_1	B003C0308_20210921222050_0001	11/22/22	ADS		Ritteriella amboinensis	Bipinnate	3440	0.4783				21.48	8.764	1					
A001C0332_20210921222049_0001_1	B003C0308_20210921222050_0001	11/22/22	ADS		Ritteriella amboinensis	Bipinnate	3940	0.5478					13.118	4					
A001C0332_20210921222049_0001_1	B003C0308_20210921222050_0001	11/22/22	ADS		Ritteriella amboinensis	Bipinnate	3940	0.5478				21.17		5					
A001C0332_20210921222049_0001_1	B003C0308_20210921222050_0001	11/22/22	ADS		Ritteriella amboinensis	Bipinnate	510	0.0709				24.11		19					
A001C0332_20210921222049_0001_1	B003C0308_20210921222050_0001	12/7/22	ADS		Ritteriella amboinensis	Bipinnate	3520	0.4894						3			33.652		
A001C0322_20210921220127_0001	B001C0298_20210921220128_0001	1/18/23	ABP		Ritteriella amboinensis	Bipinnate	943	0.1311	21	277.892	277.892				1				Speeds saved to csv file with master name
A001C0322_20210921220127_0001	B001C0298_20210921220128_0001	1/23/23	ABP		Ritteriella amboinensis	Bipinnate	1003	0.1394	21			26.047	9.561	8					
A001C0322_20210921220127_0001	B001C0298_20210921220128_0001	1/23/23	ABP		Ritteriella amboinensis	Bipinnate	1003	0.1394	21			23.359	10.374	10					
A001C0322_20210921220127_0001	B001C0298_20210921220128_0001	1/23/23	ABP		Ritteriella amboinensis	Bipinnate	1003	0.1394	21			22.699	11.131	12					
A001C0323_20210921220235_0001	B003C0299_20210921220236_0001	1/26/23	KAW		Ritteriella amboinensis	Bipinnate	1392	0.1935	21	291.444	291.444				2				
A001C0323_20210921220235_0001	B003C0299_20210921220236_0001	3/9/23	KAW		Ritteriella amboinensis	Bipinnate	2292	0.3186	21			22.705	10.298	7					
A001C0323_20210921220235_0001	B003C0299_20210921220236_0001	3/9/23	KAW		Ritteriella amboinensis	Bipinnate	2292	0.3186	21			19.344	6.092	2					
A001C0323_20210921220235_0001	B003C0299_20210921220236_0001	3/9/23	KAW		Ritteriella amboinensis	Bipinnate	2292	0.3186	21			19.383	6.531	4					
A002C0010_20220420224658_0001	B004C0010_20220420224701_0001	4/27/23	KAW		Brooksia rostrata	Bipinnate	800	0.2224	27	95.004	95.004				1				
A002C0010_20220420224658_0001	B004C0010_20220420224701_0001	4/27/23	KAW		Brooksia rostrata	Bipinnate	0	0	27			8.149	4.757	1					
A002C0010_20220420224658_0001	B004C0010_20220420224701_0001	4/27/23	KAW		Brooksia rostrata	Bipinnate	0	0	27			9.82	4.31	2					
A002C0010_20220420224658_0001	B004C0010_20220420224701_0001	4/27/23	KAW		Brooksia rostrata	Bipinnate	0	0	27			8.487	4.964	3					
A002C0055_20220421230043_0001	B004C0055_20220421230046_0001	5/4/23	ABP		Brooksia rostrata	Bipinnate	480	0.1335	18	64.004	64.004	7.069	4.815	1					
A002C0055_20220421230043_0001	B004C0055_20220421230046_0001	5/5/23	ABP		Brooksia rostrata	Bipinnate	250	0.0695				5.543	5.771	2					
A002C0055_20220421230043_0001	B004C0055_20220421230046_0001	5/6/23	ABP		Brooksia rostrata	Bipinnate	250	0.0695				6.059	3.698	3					
A002C0055_20220421230043_0001	B004C0055_20220421230046_0001	5/7/23	ABP		Brooksia rostrata	Bipinnate								1			23.644		
A002C0055_20220421230043_0001	B004C0055_20220421230046_0001	5/4/23	ABP		Brooksia rostrata	Bipinnate								3			23.357		
A002C0055_20220421230043_0001	B004C0055_20220421230046_0001	5/4/23	ABP		Brooksia rostrata	Bipinnate								5			23.18		
A002C0061_20220421230910_0001	B004C0061_20220421230913_0001	5/4/23	ABP		Cyclosalpa affinis	Whorl								1			39.379		
A002C0061_20220421230910_0001	B004C0061_20220421230913_0001	5/4/23	ABP		Cyclosalpa affinis	Whorl								2			47.192		
A002C0061_20220421230910_0001	B004C0061_20220421230913_0001	5/4/23	ABP		Cyclosalpa affinis	Whorl								3			28.761		
A001C0341_20210921224426_0001	B003C0317_20210921224427_0001	5/19/23	KAW		Pegea sp.	Transversal	0	0	20			31.186	11.264	1					
A001C0341_20210921224426_0001	B003C0317_20210921224427_0001	5/19/23	KAW		Pegea sp.	Transversal	0	0	20			21.805	13.963	2					
A001C0341_20210921224426_0001	B003C0317_20210921224427_0001	5/19/23	KAW		Pegea sp.	Transversal	0	0	20			30.596	12.389	4					
A001C0330_20210921221301_0001	B003C0306_20210921221301_0001	5/22/23	KAW		Cyclosalpa bakeri	Whorl	250	0.0348	11			8.057	3.892	1					
A001C0330_20210921221301_0001	B003C0306_20210921221301_0001	5/22/23	KAW		Cyclosalpa bakeri	Whorl	250	0.0348				7.969	6.511	11					
A001C0330_20210921221301_0001	B003C0306_20210921221301_0001	5/22/23	KAW		Cyclosalpa bakeri	Whorl	270	0.0375				6.666	3.519	3					
A001C0330_20210921221301_0001	B003C0306_20210921221301_0001	5/22/23	KAW		Cyclosalpa bakeri	Whorl	1287	0.3579	2			31.901	17.883	2					
