Filename	File.type	Source	Authorship	Species	Stage	Specimen_type	Specimen	Architecture	Orientation	Trait	State	Notes
Semenov_Pegea_socia_1.jpg	JPG	https://pixels.com/featured/alien-lamp-pegea-socia-alexander-semenov.html	Alexander Semenov	Pegea socia	Aggs	UWphoto	1	Transversal		Zooid.number	75.00	
Semenov_Pegea_socia_1.jpg	JPG	https://pixels.com/featured/alien-lamp-pegea-socia-alexander-semenov.html	Alexander Semenov	Pegea socia	Aggs	UWphoto	1	Transversal		DV_Zooid.stolon.angle	90.00	
Hughes_Helicosalpa_virgula_1	GIF	https://twitter.com/i/status/1089980621886152704	Mark Hughes	Helicosalpa virgula	Aggs	UWphoto	5	Helical		Zooid.number	69.00	
Hughes_Helicosalpa_virgula_1	GIF	https://twitter.com/i/status/1089980621886152704	Mark Hughes	Helicosalpa virgula	Aggs	UWphoto	5	Helical		DV_Zooid.stolon.angle	75.00	
Hauck_Cyclosalpa_affinis_2.jpg	JPG	https://www.ashunderwater.com/blog/salp-cyclosalpa-affinis/	Ashley Hauck	Cyclosalpa affinis	Aggs	UWphoto	2	Whorl		Zooid.number	10.00	
Hauck_Cyclosalpa_affinis_2.jpg	JPG	https://www.ashunderwater.com/blog/salp-cyclosalpa-affinis/	Ashley Hauck	Cyclosalpa affinis	Aggs	UWphoto	2	Whorl		DV_Zooid.stolon.angle	90.00	
Shale_Thalia_democratica_1	JPG	https://www.naturepl.com/stock-photo--thalia-democratica-salp-chain-deep-sea-atlantic-image01126842.html	David Shale	Thalia democratica	Aggs	UWphoto	3	Oblique		DV_Siphon.Stolon.angle	13.00	
Shale_Thalia_democratica_1	JPG	https://www.naturepl.com/stock-photo--thalia-democratica-salp-chain-deep-sea-atlantic-image01126842.html	David Shale	Thalia democratica	Aggs	UWphoto	3	Oblique		SN_Siphon.Zooid.angle	45.00	
Weelia1A_20210923_0246070000	NRRD	Kona September 2021	Kevin DuClos	Iasis cylindrica	Aggs	Laser scan	6	Linear		Zooid.width..mm.	4.70	
Weelia1A_20210923_0246070000	NRRD	Kona September 2021	Kevin DuClos	Iasis cylindrica	Aggs	Laser scan	6	Linear		Zooid.length..mm.	8.80	
Weelia1A_20210923_0246070000	NRRD	Kona September 2021	Kevin DuClos	Iasis cylindrica	Aggs	Laser scan	6	Linear		Colony.diameter..mm.	10.00	
Weelia1A_20210923_0246070000	NRRD	Kona September 2021	Kevin DuClos	Iasis cylindrica	Aggs	Laser scan	6	Linear		Zooid.number	14.00	
Weelia1A_20210923_0246070000	NRRD	Kona September 2021	Kevin DuClos	Iasis cylindrica	Aggs	Laser scan	6	Linear		DV_Zooid.stolon.angle	28.10	
Weelia1A_20210923_0246070000	NRRD	Kona September 2021	Kevin DuClos	Iasis cylindrica	Aggs	Laser scan	6	Linear		Colony.length..mm.	45.16	
