"","Filename","Species","Architecture","Speed_mm_s","Zooid.number","Speed_mms_abs","Zooid_length_mm","Pulses_per_second","BLperSecond","BLperPulse"
"1","A001C0093_20210708143858_0001","Iasis cylindrica","Linear",49.8291922072079,75,49.8291922072079,4.011,2.75,12.4231344321137,4.51750342985951
"2","A001C0113_20210709170400_0001","Brooksia rostrata","Bipinnate",30.2486567538288,34,30.2486567538288,7.144,2.5,4.23413448401859,1.69365379360744
"3","A001C0114_20210709170545_0001","Brooksia rostrata","Bipinnate",28.3201138520863,33,28.3201138520863,6.902,3,4.10317500030228,1.36772500010076
"4","A001C0143_20210709181838_0001_1","Brooksia rostrata","Bipinnate",58.7927348668568,11,58.7927348668568,7.963,NA,7.38323934030602,NA
"5","A001C0143_20210709181838_0001_2","Iasis cylindrica","Linear",48.7740882853791,49,48.7740882853791,4.399,NA,11.0875399603044,NA
"6","A001C0147_20210709182345_0001","Iasis cylindrica","Linear",43.1955402908169,30,43.1955402908169,NA,2.17,NA,NA
"7","A001C0164_20210709183900_0001_1","Iasis cylindrica","Linear",51.5476704843026,44,51.5476704843026,NA,NA,NA,NA
"8","A001C0164_20210709183900_0001_2","Iasis cylindrica","Linear",36.2192091025344,9,36.2192091025344,NA,NA,NA,NA
"9","A001C0165_20210709184012_0001_1","Iasis cylindrica","Linear",48.2893201590987,24,48.2893201590987,NA,NA,NA,NA
"10","A001C0165_20210709184012_0001_2","Iasis cylindrica","Linear",59.7013654622811,89,59.7013654622811,NA,NA,NA,NA
"11","A001C0166_20210709184051_0001","Iasis cylindrica","Linear",38.175271118806,55.3333333333333,38.175271118806,NA,3,NA,NA
"12","A001C0167_20210709184129_0001","Iasis cylindrica","Linear",52.5481491153014,19,52.5481491153014,12.936,3.25,4.06216366073759,1.24989651099618
"13","A001C0169_20210709184226_0001","Iasis cylindrica","Linear",101.652528097275,13,101.652528097275,NA,3,NA,NA
"14","A001C0170_20210709184247_0001_2","Iasis cylindrica","Linear",58.7368161928046,46,58.7368161928046,NA,NA,NA,NA
"15","A001C0171_20210709184313_0001_1","Iasis cylindrica","Linear",40.0292135518392,9,40.0292135518392,NA,NA,NA,NA
"16","A001C0171_20210709184313_0001_2","Iasis cylindrica","Linear",66.4898973781632,153,66.4898973781632,4.387,NA,15.1561197579583,NA
"17","A001C0172_20210709184345_0001_2","Iasis cylindrica","Linear",81.5079891966549,10,81.5079891966549,8.295,NA,9.82615903516033,NA
"18","A001C0173_20210709184408_0001","Iasis cylindrica","Linear",74.502337797952,17,74.502337797952,12.964,5.5,5.7468634524801,1.04488426408729
"19","A001C0177_20210709184827_0001","Iasis cylindrica","Linear",176.29292600566,16,176.29292600566,NA,4.25,NA,NA
