"Filename","Frame","Time..mins.","X..mm.Zooid","Y..mm.Zooid","Z..mm.Zooid","NumberZooid","X..mm.Junk","Y..mm.Junk","Z..mm.Junk","Delta_time_s","Xd_mm","Yd_mm","Zd_mm","Delta_X_mm","Delta_Y_mm","Delta_Z_mm","Distance_mm","Speed_mm_s","Species","Architecture","Zooid.number","Comment","Speed_mms_abs","Speed_per_zooid","Colony_motion_length_mm","Colony_stolon_length_mm","Zooid_length_mm","Zooid_width_mm","Frontal_CSA_mm2","Jet_motion_angle","Dorso.Ventral_Zooid_Stolon_angle","colony_volume","speed_per_vol"
"A001C0172_20210709184345_0001",0,0.1283,28.118,-24.906,-514.495,"0",81.278,3.071,-423.315,0.1283,-53.16,-27.977,-91.18,102.232,-22.357,68.8879999999999,125.286766328292,97.6514156884581,"Iasis cylindrica","Linear",14,"Weelia chain (x2); short chains, larger individuals",97.6514156884581,6.97510112060415,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A001C0172_20210709184345_0001",0,0.1283,28.118,-24.906,-514.495,"0",81.278,3.071,-423.315,0.1283,-53.16,-27.977,-91.18,102.232,-22.357,68.8879999999999,125.286766328292,97.6514156884581,"Iasis cylindrica","Linear",10,"Weelia chain (x2); short chains, larger individuals",97.6514156884581,9.76514156884581,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A001C0211_20210710142218_0001",0,0,37.277,-5.462,-394.621,"0",30.231,9.638,-387.43,-0.1283,7.046,-15.1,-7.19099999999997,25.569,-56.417,134.303,147.89843629667,-115.275476458823,"Cyclosalpa bakeri","Whorl",6,"",115.275476458823,19.2125794098038,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A001C0358_20210922222944_0001",0,0,42.871,-44.389,-725.874,"0",40.643,-34.599,-486.67,-0.8657,2.228,-9.79000000000001,-239.204,76.847,-117.96,-110.779,179.142428949705,-20.6933613202847,"Cyclosalpa sewelli","Cluster",10,"Unable to measure zooid length & width",20.6933613202847,2.06933613202847,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A001C0122_20210709171630_0001",10,0.0014,-213.714,-5.514,-1687.94,"0",-112.944,-27.245,-836.059,0.0014,-100.77,21.731,-851.881,-167.551,36.575,-1018.736,1033.07023281188,73790.7309151346,"Iasis cylindrica","Linear",9,"weelia agg",73790.7309151346,8198.97010168162,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A002C0044_20220421224612_0002",10,0.0028,16.161,1.334,-378.947,"0",48.86,25.411,-561.194,0.0014,-32.699,-24.077,182.247,134.921,-30.268,366.687,391.891801437591,27992.2715312565,"Iasis cylindrica","Linear",17,"shorter chain starts video, longer helical at end but not clear and no dye; given to Anneliese",27992.2715312565,1646.60420772097,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A001C0172_20210709184345_0001",20,0.1311,24.038,-27.184,-504.474,"0",81.194,11.451,-420.473,0.1283,-57.156,-38.635,-84.001,116.73,-52.286,121.292,176.271007145248,137.389717182578,"Iasis cylindrica","Linear",14,"Weelia chain (x2); short chains, larger individuals",137.389717182578,9.81355122732701,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A001C0172_20210709184345_0001",20,0.1311,24.038,-27.184,-504.474,"0",81.194,11.451,-420.473,0.1283,-57.156,-38.635,-84.001,116.73,-52.286,121.292,176.271007145248,137.389717182578,"Iasis cylindrica","Linear",10,"Weelia chain (x2); short chains, larger individuals",137.389717182578,13.7389717182578,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A001C0211_20210710142218_0001",20,0.0028,39.516,-3.767,-396.059,"0",32.928,11.026,-387.99,-0.1283,6.588,-14.793,-8.06900000000002,32.001,-52.233,120.178,134.889221118665,-105.135791986488,"Cyclosalpa bakeri","Whorl",6,"",105.135791986488,17.5226319977481,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A001C0358_20210922222944_0001",20,0.0028,43.817,-44.987,-711.556,"0",41.222,-34.983,-476.189,-0.8657,2.595,-10.004,-235.367,79.197,-113.782,-107.598,175.487429569756,-20.2711597054125,"Cyclosalpa sewelli","Cluster",10,"Unable to measure zooid length & width",20.2711597054125,2.02711597054125,NA,NA,NA,NA,NA,NA,NA,NA,NA
