3D Point Measurements

Generated: Tuesday 11 July 2023 13:12:33

Filename	Frame	Time (mins)	Period	Period time (mins)	X (mm)	Y (mm)	Z (mm)	sX (mm)	sY (mm)	sZ (mm)	RMS (mm)	Range (mm)	Direction (deg)	OpCode	TapeReader	Depth	Comment									Family	Genus	Species	Code	Number	Stage	Activity	Comment		
A001C0114_20210709170545_0001.MOV	      0	   0.0000			-21.008	-17.775	-270.684	0.042	0.041	0.138	0.434	272.079	5.948	1	1															0	J	Passing			
A001C0114_20210709170545_0001.MOV	      0	   0.0000			87.948	-8.294	-322.529	0.067	0.048	0.204	0.593	334.408	15.339	1	1															1	F	Passing			
A001C0114_20210709170545_0001.MOV	      0	   0.0000			81.047	-0.662	-313.537	0.063	0.046	0.192	0.568	323.844	14.497	1	1															2	AD	Passing			
A001C0114_20210709170545_0001.MOV	     20	   0.0028			-17.748	-12.842	-273.134	0.042	0.041	0.140	0.430	274.011	4.717	1	1															0	J	Passing			
A001C0114_20210709170545_0001.MOV	     20	   0.0028			92.793	-5.229	-326.190	0.070	0.048	0.210	0.552	339.172	15.917	1	1															1	F	Passing			
A001C0114_20210709170545_0001.MOV	     20	   0.0028			85.996	2.287	-317.384	0.065	0.047	0.198	0.505	328.836	15.161	1	1															2	AD	Passing			
A001C0114_20210709170545_0001.MOV	     40	   0.0056			-15.643	-6.462	-275.867	0.043	0.041	0.143	0.452	276.385	3.600	1	1															0	J	Passing			
A001C0114_20210709170545_0001.MOV	     40	   0.0056			95.767	-0.967	-331.391	0.072	0.049	0.216	0.636	344.953	16.123	1	1															1	F	Passing			
A001C0114_20210709170545_0001.MOV	     40	   0.0056			89.612	6.244	-322.492	0.068	0.048	0.205	0.519	334.769	15.551	1	1															2	AD	Passing			
A001C0114_20210709170545_0001.MOV	     60	   0.0083			-14.869	1.876	-279.531	0.043	0.041	0.146	0.331	279.932	3.049	1	1															0	J	Passing			
A001C0114_20210709170545_0001.MOV	     60	   0.0083			97.857	5.520	-337.919	0.074	0.050	0.224	0.611	351.846	16.164	1	1															1	F	Passing			
A001C0114_20210709170545_0001.MOV	     60	   0.0083			91.717	12.464	-329.341	0.070	0.049	0.213	0.553	342.100	15.670	1	1															2	AD	Passing			
A001C0114_20210709170545_0001.MOV	     80	   0.0111			-18.054	9.526	-284.657	0.044	0.042	0.152	0.273	285.388	4.004	1	1															0	J	Passing			
A001C0114_20210709170545_0001.MOV	     80	   0.0111			95.687	11.693	-346.608	0.075	0.052	0.234	0.517	359.763	15.517	1	1															1	F	Passing			
A001C0114_20210709170545_0001.MOV	     80	   0.0111			89.144	18.660	-336.835	0.071	0.051	0.220	0.469	348.931	15.087	1	1															2	AD	Passing			
A001C0114_20210709170545_0001.MOV	    100	   0.0139			-22.143	14.014	-287.108	0.045	0.043	0.154	0.278	288.301	5.102	1	1															0	J	Passing			
A001C0114_20210709170545_0001.MOV	    100	   0.0139			91.584	14.072	-354.196	0.075	0.053	0.241	0.640	366.116	14.629	1	1															1	F	Passing			
A001C0114_20210709170545_0001.MOV	    100	   0.0139			85.701	20.836	-345.171	0.071	0.053	0.229	0.469	356.261	14.283	1	1															2	AD	Passing			
A001C0114_20210709170545_0001.MOV	    120	   0.0167			-27.501	16.294	-290.838	0.046	0.044	0.158	0.317	292.589	6.164	1	1															0	J	Passing			
A001C0114_20210709170545_0001.MOV	    120	   0.0167			86.109	12.888	-362.779	0.075	0.054	0.251	0.608	373.081	13.465	1	1															1	F	Passing			
A001C0114_20210709170545_0001.MOV	    120	   0.0167			80.862	20.165	-352.873	0.071	0.054	0.237	0.508	362.581	13.237	1	1															2	AD	Passing			
A001C0114_20210709170545_0001.MOV	    140	   0.0195			-32.274	15.922	-294.924	0.047	0.044	0.162	0.336	297.112	6.863	1	1															0	J	Passing			
A001C0114_20210709170545_0001.MOV	    140	   0.0195			80.347	8.072	-371.627	0.074	0.055	0.261	0.585	380.299	12.239	1	1															1	F	Passing			
A001C0114_20210709170545_0001.MOV	    140	   0.0195			76.035	15.576	-361.686	0.070	0.054	0.247	0.559	369.920	12.069	1	1															2	AD	Passing			
A001C0114_20210709170545_0001.MOV	    160	   0.0222			-34.948	16.285	-298.123	0.048	0.045	0.166	0.246	300.605	7.280	1	1															0	J	Passing			
A001C0114_20210709170545_0001.MOV	    160	   0.0222			76.939	4.084	-378.665	0.074	0.056	0.269	0.636	386.424	11.492	1	1															1	F	Passing			
A001C0114_20210709170545_0001.MOV	    160	   0.0222			73.085	12.054	-368.510	0.071	0.055	0.255	0.555	375.881	11.332	1	1															2	AD	Passing			
A001C0114_20210709170545_0001.MOV	    180	   0.0250			-35.648	17.048	-298.305	0.048	0.045	0.166	0.317	300.911	7.454	1	1															0	J	Passing			
A001C0114_20210709170545_0001.MOV	    180	   0.0250			76.437	1.242	-381.967	0.074	0.056	0.274	0.692	389.542	11.316	1	1															1	F	Passing			
A001C0114_20210709170545_0001.MOV	    180	   0.0250			73.075	9.326	-371.455	0.071	0.055	0.259	0.672	378.690	11.192	1	1															2	AD	Passing			
