3D Point Measurements																																			
																																			
Generated: Thursday 04 November 2021 14:11:18																																			
																																			
Filename	Frame	Time (mins)	Period	Period time (mins)	X (mm)	Y (mm)	Z (mm)	sX (mm)	sY (mm)	sZ (mm)	RMS (mm)	Range (mm)	Direction (deg)	OpCode	TapeReader	Depth	Comment									Family	Genus	Species	Code	Number	Stage	Activity	Comment		
A001C0122_20210709171630_0001.MOV	0	0.0000			-108.284	-34.181	-824.297	0.190	0.134	1.202	3.651	832.081	7.683	1	1	1														1	F	Passing			
A001C0122_20210709171630_0001.MOV	0	0.0000			-100.996	-33.444	-825.420	0.183	0.133	1.205	3.571	832.248	7.177	1	1	1														2	AD	Passing			
A001C0122_20210709171630_0001.MOV	0	0.0000			-94.216	-34.529	-822.647	0.175	0.133	1.197	3.520	828.744	6.770	1	1	1														3	AD	Passing			
A001C0122_20210709171630_0001.MOV	0	0.0000			-86.867	-34.116	-823.925	0.168	0.133	1.200	3.478	829.194	6.267	1	1	1														4	AD	Passing			
A001C0122_20210709171630_0001.MOV	0	0.0000			-81.121	-34.174	-819.705	0.161	0.133	1.188	3.428	824.417	5.921	1	1	1														5	AD	Passing			
A001C0122_20210709171630_0001.MOV	0	0.0000			-69.238	-34.434	-816.336	0.150	0.132	1.179	3.296	819.990	5.170	1	1	1														6	AD	Passing			
A001C0122_20210709171630_0001.MOV	0	0.0000			-62.377	-33.554	-816.522	0.144	0.132	1.179	3.239	819.588	4.702	1	1	1														7	AD	Passing			
A001C0122_20210709171630_0001.MOV	0	0.0000			-56.263	-32.774	-813.558	0.139	0.131	1.171	3.160	816.159	4.303	1	1	1														8	AD	Passing			
A001C0122_20210709171630_0001.MOV	0	0.0000			-43.775	-32.166	-808.539	0.130	0.130	1.157	3.041	810.362	3.520	1	1	1														9	AD	Passing			
A001C0122_20210709171630_0001.MOV	0	0.0000			-37.331	-31.131	-807.429	0.126	0.129	1.154	2.957	808.891	3.093	1	1	1														10	AD	Passing			
A001C0122_20210709171630_0001.MOV	0	0.0000			-229.289	-10.647	-1641.902	0.683	0.251	4.720	4.952	1657.869	7.953	1	1	1														0	AD	Passing			
A001C0122_20210709171630_0001.MOV	10	0.0014			-112.944	-27.245	-836.059	0.198	0.131	1.237	3.425	844.093	7.792	1	1	1														1	F	Passing			
A001C0122_20210709171630_0001.MOV	10	0.0014			-105.502	-26.555	-837.676	0.190	0.131	1.241	3.359	844.711	7.276	1	1	1														2	AD	Passing			
A001C0122_20210709171630_0001.MOV	10	0.0014			-98.673	-28.297	-834.468	0.182	0.131	1.231	3.365	840.758	6.871	1	1	1														3	AD	Passing			
A001C0122_20210709171630_0001.MOV	10	0.0014			-91.106	-28.249	-835.586	0.174	0.132	1.234	3.348	841.013	6.360	1	1	1														4	AD	Passing			
A001C0122_20210709171630_0001.MOV	10	0.0014			-85.492	-29.147	-830.917	0.168	0.131	1.221	3.305	835.812	6.036	1	1	1														5	AD	Passing			
A001C0122_20210709171630_0001.MOV	10	0.0014			-73.463	-30.518	-826.769	0.156	0.132	1.209	3.248	830.587	5.294	1	1	1														6	AD	Passing			
A001C0122_20210709171630_0001.MOV	10	0.0014			-66.318	-29.896	-826.997	0.150	0.131	1.209	3.210	830.190	4.810	1	1	1														7	AD	Passing			
A001C0122_20210709171630_0001.MOV	10	0.0014			-60.266	-29.797	-823.013	0.144	0.131	1.198	3.143	825.755	4.435	1	1	1														8	AD	Passing			
