3D Point Measurements																																			
																																			
Generated: Tuesday 16 November 2021 16:35:53																																			
																																			
Filename	Frame	Time (mins)	Period	Period time (mins)	X (mm)	Y (mm)	Z (mm)	sX (mm)	sY (mm)	sZ (mm)	RMS (mm)	Range (mm)	Direction (deg)	OpCode	TapeReader	Depth	Comment									Family	Genus	Species	Code	Number	Stage	Activity	Comment		
A001C0128_20210709172016_0001.MOV	0	0.0000			-54.695	99.336	-776.553	0.132	0.167	1.071	0.119	784.789	8.842	0	KTD															0	AD	Passing			
A001C0128_20210709172016_0001.MOV	0	0.0000			44.818	80.006	-621.975	0.102	0.121	0.694	3.411	628.699	8.919	0	KTD															1	F	Passing			
A001C0128_20210709172016_0001.MOV	0	0.0000			43.225	79.273	-620.036	0.101	0.120	0.690	3.369	626.576	8.821	0	KTD															2	AD	Passing			
A001C0128_20210709172016_0001.MOV	0	0.0000			41.261	79.216	-618.971	0.100	0.119	0.688	3.288	625.382	8.751	0	KTD															3	AD	Passing			
A001C0128_20210709172016_0001.MOV	0	0.0000			39.995	78.228	-616.598	0.099	0.118	0.682	3.224	622.826	8.652	0	KTD															4	AD	Passing			
A001C0128_20210709172016_0001.MOV	0	0.0000			-26.196	29.503	-564.923	0.086	0.085	0.572	1.286	566.299	4.465	0	KTD															71	AD	Passing			
A001C0128_20210709172016_0001.MOV	10	0.0014			45.879	76.474	-627.229	0.103	0.119	0.706	3.419	633.537	8.616	0	KTD															1	F	Passing			
A001C0128_20210709172016_0001.MOV	10	0.0014			44.080	76.017	-625.859	0.102	0.118	0.703	3.348	631.997	8.520	0	KTD															2	AD	Passing			
A001C0128_20210709172016_0001.MOV	10	0.0014			41.926	75.913	-624.820	0.101	0.118	0.700	3.260	630.809	8.436	0	KTD															3	AD	Passing			
A001C0128_20210709172016_0001.MOV	10	0.0014			40.458	75.385	-623.156	0.100	0.117	0.697	3.234	629.001	8.355	0	KTD															4	AD	Passing			
A001C0128_20210709172016_0001.MOV	10	0.0014			-22.688	24.879	-566.512	0.085	0.084	0.576	1.429	567.511	3.869	0	KTD															71	AD	Passing			
A001C0128_20210709172016_0001.MOV	10	0.0014			-57.441	93.748	-782.348	0.135	0.162	1.087	0.196	790.036	8.521	0	KTD															0	AD	Passing			
A001C0128_20210709172016_0001.MOV	20	0.0028			47.164	72.123	-632.592	0.104	0.117	0.718	3.401	638.435	8.270	0	KTD															1	F	Passing			
A001C0128_20210709172016_0001.MOV	20	0.0028			45.239	71.872	-630.935	0.103	0.116	0.714	3.289	636.625	8.184	0	KTD															2	AD	Passing			
A001C0128_20210709172016_0001.MOV	20	0.0028			42.966	71.744	-630.377	0.102	0.116	0.713	3.238	635.900	8.081	0	KTD															3	AD	Passing			
A001C0128_20210709172016_0001.MOV	20	0.0028			41.215	71.386	-628.390	0.101	0.116	0.708	3.181	633.774	8.002	0	KTD															4	AD	Passing			
A001C0128_20210709172016_0001.MOV	20	0.0028			-19.319	20.947	-567.635	0.084	0.083	0.578	1.587	568.350	3.343	0	KTD															71	AD	Passing			
A001C0128_20210709172016_0001.MOV	20	0.0028			-60.242	87.574	-788.631	0.138	0.157	1.104	0.262	795.762	8.181	0	KTD															0	AD	Passing			
A001C0128_20210709172016_0001.MOV	40	0.0056			-67.089	74.038	-800.457	0.146	0.147	1.136	0.664	806.668	7.573	0	KTD															0	AD	Passing			
A001C0128_20210709172016_0001.MOV	40	0.0056			49.823	62.401	-641.925	0.107	0.112	0.739	3.325	646.873	7.572	0	KTD															1	F	Passing			
A001C0128_20210709172016_0001.MOV	40	0.0056			47.466	62.250	-640.981	0.106	0.112	0.736	3.235	645.743	7.452	0	KTD															2	AD	Passing			
A001C0128_20210709172016_0001.MOV	40	0.0056			45.044	61.704	-640.663	0.105	0.111	0.736	3.169	645.201	7.297	0	KTD															3	AD	Passing			
A001C0128_20210709172016_0001.MOV	40	0.0056			42.829	61.697	-639.448	0.103	0.111	0.733	3.070	643.844	7.203	0	KTD															4	AD	Passing			
A001C0128_20210709172016_0001.MOV	40	0.0056			-14.976	17.066	-568.651	0.084	0.083	0.580	1.585	569.104	2.769	0	KTD															71	AD	Passing			
A001C0128_20210709172016_0001.MOV	60	0.0083			-75.817	62.869	-816.209	0.156	0.140	1.181	0.301	822.130	7.281	0	KTD															0	AD	Passing			
A001C0128_20210709172016_0001.MOV	60	0.0083			51.310	54.870	-648.607	0.109	0.108	0.754	3.233	652.943	7.060	0	KTD															1	F	Passing			
A001C0128_20210709172016_0001.MOV	60	0.0083			48.808	54.513	-648.349	0.108	0.108	0.753	3.156	652.465	6.901	0	KTD															2	AD	Passing			
A001C0128_20210709172016_0001.MOV	60	0.0083			46.494	53.381	-648.381	0.107	0.108	0.753	3.075	652.234	6.698	0	KTD															3	AD	Passing			
A001C0128_20210709172016_0001.MOV	60	0.0083			43.945	53.367	-647.850	0.105	0.107	0.752	3.011	651.528	6.569	0	KTD															4	AD	Passing			
A001C0128_20210709172016_0001.MOV	60	0.0083			-15.488	18.746	-572.284	0.084	0.084	0.587	1.669	572.800	2.924	0	KTD															71	AD	Passing			
A001C0128_20210709172016_0001.MOV	80	0.0111			-86.663	52.730	-822.224	0.167	0.134	1.198	0.588	828.458	7.366	0	KTD															0	AD	Passing			
A001C0128_20210709172016_0001.MOV	80	0.0111			51.307	51.138	-655.352	0.110	0.107	0.769	3.162	659.344	6.748	0	KTD															1	F	Passing			
A001C0128_20210709172016_0001.MOV	80	0.0111			48.818	50.237	-655.317	0.109	0.107	0.769	3.089	659.050	6.548	0	KTD															2	AD	Passing			
A001C0128_20210709172016_0001.MOV	80	0.0111			46.780	48.556	-654.720	0.108	0.106	0.767	3.014	658.182	6.329	0	KTD															3	AD	Passing			
A001C0128_20210709172016_0001.MOV	80	0.0111			44.126	48.035	-655.214	0.107	0.106	0.768	2.919	658.452	6.144	0	KTD															4	AD	Passing			
A001C0128_20210709172016_0001.MOV	80	0.0111			-21.098	23.573	-578.226	0.086	0.085	0.599	1.475	579.091	3.604	0	KTD															71	AD	Passing			
A001C0128_20210709172016_0001.MOV	100	0.0139			-98.081	43.551	-828.054	0.180	0.129	1.214	0.550	834.979	7.649	0	KTD															0	AD	Passing			
A001C0128_20210709172016_0001.MOV	100	0.0139			50.663	49.612	-662.705	0.111	0.108	0.786	3.145	666.488	6.544	0	KTD															1	F	Passing			
A001C0128_20210709172016_0001.MOV	100	0.0139			48.391	48.141	-662.454	0.110	0.107	0.785	3.069	665.961	6.324	0	KTD															2	AD	Passing			
A001C0128_20210709172016_0001.MOV	100	0.0139			46.673	46.183	-661.535	0.109	0.106	0.783	2.993	664.786	6.108	0	KTD															3	AD	Passing			
A001C0128_20210709172016_0001.MOV	100	0.0139			44.302	44.880	-661.695	0.108	0.105	0.783	2.894	664.693	5.889	0	KTD															4	AD	Passing			
A001C0128_20210709172016_0001.MOV	100	0.0139			-34.228	27.622	-606.135	0.094	0.090	0.657	1.342	607.729	4.554	0	KTD															71	AD	Passing			
A001C0128_20210709172016_0001.MOV	120	0.0167			-109.186	34.956	-837.114	0.194	0.126	1.241	1.089	844.928	8.003	0	KTD															0	AD	Passing			
A001C0128_20210709172016_0001.MOV	120	0.0167			49.846	51.238	-665.595	0.111	0.109	0.793	4.836	669.423	6.577	0	KTD															1	F	Passing			
A001C0128_20210709172016_0001.MOV	120	0.0167			47.924	48.569	-664.514	0.110	0.107	0.790	3.997	668.008	6.307	0	KTD															2	AD	Passing			
A001C0128_20210709172016_0001.MOV	120	0.0167			46.228	46.828	-664.850	0.109	0.107	0.791	3.862	668.098	6.097	0	KTD															3	AD	Passing			
A001C0128_20210709172016_0001.MOV	120	0.0167			44.389	44.821	-661.086	0.108	0.105	0.782	3.844	664.089	5.895	0	KTD															4	AD	Passing			
A001C0128_20210709172016_0001.MOV	120	0.0167			-42.205	26.235	-605.761	0.097	0.090	0.656	0.655	607.796	5.035	0	KTD															71	AD	Passing			
A001C0128_20210709172016_0001.MOV	140	0.0195			-120.060	26.728	-840.120	0.207	0.123	1.250	0.863	849.076	8.481	0	KTD															0	AD	Passing			
A001C0128_20210709172016_0001.MOV	140	0.0195			47.574	51.352	-684.480	0.113	0.112	0.837	3.203	688.050	6.296	0	KTD															1	F	Passing			
A001C0128_20210709172016_0001.MOV	140	0.0195			45.827	49.255	-682.672	0.112	0.111	0.833	3.046	685.979	6.085	0	KTD															2	AD	Passing			
A001C0128_20210709172016_0001.MOV	140	0.0195			44.257	47.909	-680.376	0.111	0.109	0.827	3.008	683.495	5.934	0	KTD															3	AD	Passing			
A001C0128_20210709172016_0001.MOV	140	0.0195			42.558	45.711	-678.975	0.110	0.108	0.824	2.937	681.842	5.713	0	KTD															4	AD	Passing			
A001C0128_20210709172016_0001.MOV	140	0.0195			-50.579	21.886	-612.808	0.102	0.090	0.671	1.309	615.281	5.407	0	KTD															71	AD	Passing			
A001C0128_20210709172016_0001.MOV	160	0.0222			-132.131	19.949	-846.958	0.223	0.123	1.271	1.485	857.435	9.076	0	KTD															0	AD	Passing			
A001C0128_20210709172016_0001.MOV	160	0.0222			45.040	52.764	-699.253	0.114	0.115	0.873	3.155	702.686	6.138	0	KTD															1	F	Passing			
A001C0128_20210709172016_0001.MOV	160	0.0222			43.332	50.906	-696.701	0.113	0.114	0.867	3.016	699.901	5.954	0	KTD															2	AD	Passing			
A001C0128_20210709172016_0001.MOV	160	0.0222			41.420	50.152	-693.793	0.111	0.113	0.860	3.028	696.836	5.835	0	KTD															3	AD	Passing			
A001C0128_20210709172016_0001.MOV	160	0.0222			39.892	48.015	-691.210	0.110	0.111	0.853	2.902	694.023	5.638	0	KTD															4	AD	Passing			
A001C0128_20210709172016_0001.MOV	160	0.0222			-56.054	11.445	-624.585	0.107	0.090	0.696	1.490	627.199	5.387	0	KTD															71	AD	Passing			
A001C0128_20210709172016_0001.MOV	180	0.0250			-143.318	14.945	-847.632	0.237	0.122	1.274	1.379	859.793	9.729	0	KTD															0	AD	Passing			
A001C0128_20210709172016_0001.MOV	180	0.0250			42.894	53.917	-714.911	0.115	0.118	0.912	3.088	718.224	5.989	0	KTD															1	F	Passing			
A001C0128_20210709172016_0001.MOV	180	0.0250			40.883	52.642	-711.823	0.114	0.117	0.904	3.034	714.937	5.838	0	KTD															2	AD	Passing			
A001C0128_20210709172016_0001.MOV	180	0.0250			38.396	52.477	-709.749	0.112	0.117	0.899	2.981	712.721	5.733	0	KTD															3	AD	Passing			
A001C0128_20210709172016_0001.MOV	180	0.0250			36.825	50.784	-706.279	0.111	0.115	0.890	2.913	709.060	5.576	0	KTD															4	AD	Passing			
A001C0128_20210709172016_0001.MOV	180	0.0250			-55.963	0.669	-631.858	0.108	0.091	0.712	1.842	634.332	5.105	0	KTD															71	AD	Passing			
