3D Point Measurements

Generated: Monday 05 June 2023 14:16:58

Filename	Frame	Time (mins)	Period	Period time (mins)	X (mm)	Y (mm)	Z (mm)	sX (mm)	sY (mm)	sZ (mm)	RMS (mm)	Range (mm)	Direction (deg)	OpCode	TapeReader	Depth	Comment									Family	Genus	Species	Code	Number	Stage	Activity	Comment		
A001C0143_20210709181838_0001.MOV	    841	   0.1169			13.924	-28.521	-357.889	0.054	0.055	0.236	0.046	359.293	5.265	1	1															0	J	Passing			
A001C0143_20210709181838_0001.MOV	    841	   0.1169			2.391	-5.974	-233.891	0.036	0.035	0.105	0.441	233.980	1.781	1	1															1	F	Passing			
A001C0143_20210709181838_0001.MOV	    841	   0.1169			6.988	20.018	-240.979	0.037	0.037	0.111	0.105	241.910	4.823	1	1															2	AD	Passing			
A001C0143_20210709181838_0001.MOV	    861	   0.1197			13.377	-31.142	-358.215	0.054	0.056	0.237	0.008	359.815	5.607	1	1															0	J	Passing			
A001C0143_20210709181838_0001.MOV	    861	   0.1197			-0.694	-13.476	-232.088	0.036	0.035	0.103	0.369	232.480	3.546	1	1															1	F	Passing			
A001C0143_20210709181838_0001.MOV	    861	   0.1197			4.245	12.838	-238.484	0.037	0.036	0.109	0.363	238.867	3.038	1	1															2	AD	Passing			
A001C0143_20210709181838_0001.MOV	    881	   0.1225			12.274	-33.469	-358.656	0.054	0.056	0.237	0.201	360.423	5.882	1	1															0	J	Passing			
A001C0143_20210709181838_0001.MOV	    881	   0.1225			-3.883	-20.583	-231.022	0.036	0.035	0.102	0.421	231.970	5.395	1	1															1	F	Passing			
A001C0143_20210709181838_0001.MOV	    881	   0.1225			1.402	5.105	-236.385	0.037	0.035	0.107	0.333	236.444	1.074	1	1															2	AD	Passing			
A001C0143_20210709181838_0001.MOV	    901	   0.1253			11.848	-34.020	-358.995	0.054	0.056	0.238	0.082	360.798	5.937	1	1															0	J	Passing			
A001C0143_20210709181838_0001.MOV	    901	   0.1253			-7.652	-29.096	-228.612	0.036	0.036	0.101	0.495	230.583	7.708	1	1															1	F	Passing			
A001C0143_20210709181838_0001.MOV	    901	   0.1253			-2.056	-2.364	-233.112	0.036	0.035	0.104	0.332	233.134	0.946	1	1															2	AD	Passing			
A001C0143_20210709181838_0001.MOV	    921	   0.1280			12.307	-31.343	-360.759	0.054	0.056	0.240	0.034	362.327	5.536	1	1															0	J	Passing			
A001C0143_20210709181838_0001.MOV	    921	   0.1280			-9.978	-34.535	-228.947	0.036	0.037	0.101	0.458	231.752	9.133	1	1															1	F	Passing			
A001C0143_20210709181838_0001.MOV	    921	   0.1280			-4.555	-7.201	-231.502	0.036	0.035	0.103	0.356	231.659	2.296	1	1															2	AD	Passing			
A001C0143_20210709181838_0001.MOV	    941	   0.1308			13.297	-24.736	-362.133	0.055	0.055	0.242	0.192	363.220	4.628	1	1															0	J	Passing			
A001C0143_20210709181838_0001.MOV	    941	   0.1308			-12.810	-37.252	-227.326	0.036	0.037	0.100	0.381	230.714	10.038	1	1															1	F	Passing			
A001C0143_20210709181838_0001.MOV	    941	   0.1308			-7.911	-10.964	-229.317	0.036	0.034	0.101	0.323	229.715	3.554	1	1															2	AD	Passing			
A001C0143_20210709181838_0001.MOV	    961	   0.1336			15.028	-17.100	-364.398	0.055	0.054	0.245	0.124	365.108	3.742	1	1															0	J	Passing			
A001C0143_20210709181838_0001.MOV	    961	   0.1336			-15.611	-40.737	-229.201	0.036	0.038	0.101	0.502	233.316	10.981	1	1															1	F	Passing			
A001C0143_20210709181838_0001.MOV	    961	   0.1336			-10.276	-12.922	-229.854	0.036	0.035	0.101	0.373	230.446	4.281	1	1															2	AD	Passing			
A001C0143_20210709181838_0001.MOV	    981	   0.1364			16.712	-6.714	-366.134	0.056	0.054	0.247	0.222	366.577	2.905	1	1															0	J	Passing			
A001C0143_20210709181838_0001.MOV	    981	   0.1364			-17.194	-40.159	-230.225	0.036	0.038	0.102	0.400	234.333	10.945	1	1															1	F	Passing			
A001C0143_20210709181838_0001.MOV	    981	   0.1364			-10.525	-13.472	-237.168	0.037	0.036	0.107	0.415	237.784	4.297	1	1															2	AD	Passing			
A001C0143_20210709181838_0001.MOV	   1001	   0.1392			18.960	5.945	-367.687	0.056	0.054	0.249	0.013	368.224	3.035	1	1															0	J	Passing			
A001C0143_20210709181838_0001.MOV	   1001	   0.1392			-19.773	-40.028	-232.140	0.037	0.038	0.104	0.367	236.394	11.083	1	1															1	F	Passing			
A001C0143_20210709181838_0001.MOV	   1001	   0.1392			-14.852	-11.149	-223.503	0.035	0.034	0.096	0.319	224.273	4.884	1	1															2	AD	Passing			
A001C0143_20210709181838_0001.MOV	   1021	   0.1419			21.283	19.387	-369.182	0.057	0.056	0.251	0.042	370.302	4.315	1	1															0	J	Passing			
A001C0143_20210709181838_0001.MOV	   1021	   0.1419			-21.988	-38.376	-234.863	0.037	0.038	0.106	0.478	238.991	10.855	1	1															1	F	Passing			
A001C0143_20210709181838_0001.MOV	   1021	   0.1419			-16.596	-9.337	-224.173	0.035	0.034	0.097	0.086	224.980	4.966	1	1															2	AD	Passing			
