3D Point Measurements

Generated: Thursday 29 June 2023 14:40:07

Filename	Frame	Time (mins)	Period	Period time (mins)	X (mm)	Y (mm)	Z (mm)	sX (mm)	sY (mm)	sZ (mm)	RMS (mm)	Range (mm)	Direction (deg)	OpCode	TapeReader	Depth	Comment									Family	Genus	Species	Code	Number	Stage	Activity	Comment		
A001C0165_20210709184012_0001.MOV	   1294	   0.1799			-22.510	-58.540	-646.096	0.096	0.113	0.745	0.277	649.133	5.749	1	1															0	J	Passing			
A001C0165_20210709184012_0001.MOV	   1294	   0.1799			95.002	2.867	-372.657	0.081	0.055	0.265	0.721	384.587	14.303	1	1															1	F	Passing			
A001C0165_20210709184012_0001.MOV	   1294	   0.1799			135.124	-25.482	-358.701	0.099	0.056	0.267	0.908	384.154	21.016	1	1															2	AD	Passing			
A001C0165_20210709184012_0001.MOV	   1314	   0.1827			-23.913	-58.622	-633.717	0.095	0.111	0.717	0.306	636.871	5.908	1	1															0	J	Passing			
A001C0165_20210709184012_0001.MOV	   1314	   0.1827			87.067	6.705	-373.819	0.077	0.055	0.265	0.622	383.883	13.134	1	1															1	F	Passing			
A001C0165_20210709184012_0001.MOV	   1314	   0.1827			130.337	-15.850	-358.056	0.096	0.054	0.263	0.619	381.370	20.165	1	1															2	AD	Passing			
A001C0165_20210709184012_0001.MOV	   1334	   0.1855			-23.883	-58.300	-632.628	0.095	0.110	0.715	0.091	635.757	5.890	1	1															0	J	Passing			
A001C0165_20210709184012_0001.MOV	   1334	   0.1855			79.647	12.060	-374.126	0.074	0.056	0.264	0.574	382.700	12.120	1	1															1	F	Passing			
A001C0165_20210709184012_0001.MOV	   1334	   0.1855			125.875	-5.861	-363.392	0.095	0.054	0.266	0.496	384.620	19.136	1	1															2	AD	Passing			
A001C0165_20210709184012_0001.MOV	   1354	   0.1882			-22.914	-56.810	-642.836	0.096	0.111	0.738	0.347	645.748	5.647	1	1															0	J	Passing			
A001C0165_20210709184012_0001.MOV	   1354	   0.1882			73.007	20.072	-374.380	0.072	0.057	0.263	0.392	381.960	11.378	1	1															1	F	Passing			
A001C0165_20210709184012_0001.MOV	   1354	   0.1882			120.086	2.458	-371.111	0.093	0.055	0.272	0.515	390.064	17.931	1	1															2	AD	Passing			
A001C0165_20210709184012_0001.MOV	   1374	   0.1910			-23.380	-51.952	-634.686	0.095	0.107	0.720	0.035	637.238	5.329	1	1															0	J	Passing			
A001C0165_20210709184012_0001.MOV	   1374	   0.1910			66.104	28.236	-373.887	0.069	0.058	0.262	0.461	380.734	10.799	1	1															1	F	Passing			
A001C0165_20210709184012_0001.MOV	   1374	   0.1910			110.944	6.803	-375.988	0.089	0.056	0.274	0.653	392.073	16.457	1	1															2	AD	Passing			
A001C0165_20210709184012_0001.MOV	   1394	   0.1938			-23.925	-52.392	-639.406	0.096	0.108	0.730	0.457	641.994	5.347	1	1															0	J	Passing			
A001C0165_20210709184012_0001.MOV	   1394	   0.1938			59.206	33.735	-374.417	0.067	0.060	0.261	0.379	380.567	10.208	1	1															1	F	Passing			
A001C0165_20210709184012_0001.MOV	   1394	   0.1938			100.693	5.984	-377.365	0.085	0.056	0.273	0.610	390.614	14.954	1	1															2	AD	Passing			
A001C0165_20210709184012_0001.MOV	   1414	   0.1966			-26.021	-55.243	-640.089	0.097	0.109	0.731	0.297	642.995	5.648	1	1															0	J	Passing			
A001C0165_20210709184012_0001.MOV	   1414	   0.1966			52.203	37.731	-377.282	0.065	0.061	0.264	0.433	382.741	9.562	1	1															1	F	Passing			
A001C0165_20210709184012_0001.MOV	   1414	   0.1966			89.929	4.130	-375.700	0.079	0.055	0.268	0.575	386.335	13.467	1	1															2	AD	Passing			
A001C0165_20210709184012_0001.MOV	   1434	   0.1994			-27.715	-56.300	-639.497	0.097	0.110	0.730	0.301	642.568	5.801	1	1															0	J	Passing			
A001C0165_20210709184012_0001.MOV	   1434	   0.1994			45.050	41.163	-380.205	0.063	0.063	0.268	0.494	385.071	8.972	1	1															1	F	Passing			
A001C0165_20210709184012_0001.MOV	   1434	   0.1994			80.610	5.704	-372.703	0.074	0.055	0.262	0.555	381.363	12.220	1	1															2	AD	Passing			
A001C0165_20210709184012_0001.MOV	   1454	   0.2021			-28.821	-55.472	-641.011	0.098	0.110	0.733	0.204	644.052	5.765	1	1															0	J	Passing			
A001C0165_20210709184012_0001.MOV	   1454	   0.2021			37.932	44.982	-382.711	0.062	0.064	0.271	0.390	387.208	8.575	1	1															1	F	Passing			
A001C0165_20210709184012_0001.MOV	   1454	   0.2021			74.376	12.642	-368.012	0.071	0.055	0.255	0.426	375.666	11.551	1	1															2	AD	Passing			
A001C0165_20210709184012_0001.MOV	   1474	   0.2049			-28.588	-53.486	-640.958	0.097	0.109	0.733	0.057	643.820	5.599	1	1															0	J	Passing			
A001C0165_20210709184012_0001.MOV	   1474	   0.2049			31.277	48.897	-382.304	0.060	0.066	0.270	0.391	386.686	8.450	1	1															1	F	Passing			
A001C0165_20210709184012_0001.MOV	   1474	   0.2049			71.785	22.542	-365.568	0.069	0.056	0.251	0.274	373.231	11.567	1	1															2	AD	Passing			
