3D Point Measurements																																			
																												
Generated: Wednesday 03 November 2021 15:53:41																																			
																													
Filename	Frame	Time (mins)	Period	Period time (mins)	X (mm)	Y (mm)	Z (mm)	sX (mm)	sY (mm)	sZ (mm)	RMS (mm)	Range (mm)	Direction (deg)	OpCode	TapeReader	Depth	Comment									Family	Genus	Species	Code	Number	Stage	Activity	Comment		
A001C0170_20210709184247_0001.MOV	0	0.0000			-55.641	108.190	-1157.494	0.197	0.255	2.357	2.346	1163.870	6.543	1	1															0	J	Passing			
A001C0170_20210709184247_0001.MOV	0	0.0000			95.246	110.939	-1012.277	0.219	0.230	1.816	6.147	1022.783	8.686	1	1															1	F	Passing			
A001C0170_20210709184247_0001.MOV	0	0.0000			91.355	110.810	-1026.805	0.217	0.233	1.867	6.126	1036.799	8.437	1	1															2	AD	Passing			
A001C0170_20210709184247_0001.MOV	0	0.0000			88.176	108.379	-1039.987	0.216	0.232	1.914	6.093	1049.330	8.129	1	1															3	AD	Passing			
A001C0170_20210709184247_0001.MOV	0	0.0000			83.842	107.979	-1050.930	0.212	0.234	1.954	6.056	1059.785	7.897	1	1															4	AD	Passing			
A001C0170_20210709184247_0001.MOV	0	0.0000			8.172	112.678	-1235.841	0.177	0.279	2.686	4.142	1240.994	5.826	1	1															16	AD	Passing			
A001C0170_20210709184247_0001.MOV	0	0.0000			99.751	113.810	-997.426	0.222	0.231	1.764	6.774	1008.842	9.091	1	1															1b	AD	Passing			
A001C0170_20210709184247_0001.MOV	10	0.0014			-67.693	121.171	-1180.592	0.215	0.281	2.451	1.488	1188.723	7.239	1	1															0	J	Passing			
A001C0170_20210709184247_0001.MOV	10	0.0014			94.482	111.430	-1004.583	0.216	0.229	1.789	6.420	1015.151	8.744	1	1															1	F	Passing			
A001C0170_20210709184247_0001.MOV	10	0.0014			91.216	110.778	-1019.261	0.215	0.231	1.840	6.174	1029.313	8.489	1	1															2	AD	Passing			
A001C0170_20210709184247_0001.MOV	10	0.0014			88.036	107.631	-1030.959	0.214	0.229	1.882	6.144	1040.294	8.158	1	1															3	AD	Passing			
A001C0170_20210709184247_0001.MOV	10	0.0014			84.619	107.684	-1046.619	0.213	0.232	1.938	5.976	1055.541	7.939	1	1															4	AD	Passing			
A001C0170_20210709184247_0001.MOV	10	0.0014			15.468	107.254	-1239.445	0.180	0.271	2.702	4.503	1244.173	5.595	1	1															16	AD	Passing			
A001C0170_20210709184247_0001.MOV	10	0.0014			99.927	114.980	-996.152	0.221	0.232	1.760	6.840	1007.732	9.159	1	1															1b	AD	Passing			
A001C0170_20210709184247_0001.MOV	20	0.0028			-74.902	129.158	-1194.912	0.227	0.297	2.511	1.461	1204.204	7.651	1	1															0	J	Passing			
