3D Point Measurements

Generated: Wednesday 05 July 2023 14:35:17

Filename	Frame	Time (mins)	Period	Period time (mins)	X (mm)	Y (mm)	Z (mm)	sX (mm)	sY (mm)	sZ (mm)	RMS (mm)	Range (mm)	Direction (deg)	OpCode	TapeReader	Depth	Comment									Family	Genus	Species	Code	Number	Stage	Activity	Comment		
A001C0171_20210709184313_0001.MOV	   2473	   0.3438			19.397	37.193	-417.028	0.063	0.067	0.318	0.793	419.133	5.551	1	1															0	J	Passing			
A001C0171_20210709184313_0001.MOV	   2473	   0.3438			-46.154	-61.835	-587.921	0.096	0.105	0.618	0.954	592.963	7.653	1	1															1	F	Passing			
A001C0171_20210709184313_0001.MOV	   2473	   0.3438			35.090	17.836	-511.640	0.081	0.076	0.474	0.809	513.152	4.305	1	1															2	AD	Passing			
A001C0171_20210709184313_0001.MOV	   2493	   0.3466			28.791	41.345	-406.818	0.063	0.067	0.304	0.121	409.926	6.882	1	1															0	J	Passing			
A001C0171_20210709184313_0001.MOV	   2493	   0.3466			-29.390	-59.781	-592.606	0.091	0.104	0.629	0.992	596.339	6.610	1	1															1	F	Passing			
A001C0171_20210709184313_0001.MOV	   2493	   0.3466			46.698	16.314	-510.756	0.085	0.076	0.474	0.816	513.146	5.464	1	1															2	AD	Passing			
A001C0171_20210709184313_0001.MOV	   2523	   0.3508			41.400	42.569	-389.160	0.064	0.065	0.280	0.695	393.664	8.520	1	1															0	J	Passing			
A001C0171_20210709184313_0001.MOV	   2523	   0.3508			-3.452	-63.520	-584.402	0.085	0.105	0.613	0.045	587.854	6.430	1	1															1	F	Passing			
A001C0171_20210709184313_0001.MOV	   2523	   0.3508			55.588	2.721	-490.204	0.085	0.071	0.438	0.790	493.353	6.470	1	1															2	AD	Passing			
A001C0171_20210709184313_0001.MOV	   2543	   0.3535			47.611	40.907	-377.144	0.063	0.062	0.264	0.481	382.332	9.309	1	1															0	J	Passing			
A001C0171_20210709184313_0001.MOV	   2543	   0.3535			9.679	-72.711	-579.719	0.085	0.110	0.604	0.995	584.341	7.428	1	1															1	F	Passing			
A001C0171_20210709184313_0001.MOV	   2543	   0.3535			52.016	-3.628	-471.119	0.080	0.068	0.405	0.833	473.996	6.335	1	1															2	AD	Passing			
A001C0171_20210709184313_0001.MOV	   2563	   0.3563			51.994	38.576	-364.254	0.063	0.059	0.247	0.170	369.963	9.950	1	1															0	J	Passing			
A001C0171_20210709184313_0001.MOV	   2563	   0.3563			16.352	-82.608	-570.462	0.085	0.116	0.586	0.969	576.644	8.612	1	1															1	F	Passing			
A001C0171_20210709184313_0001.MOV	   2563	   0.3563			43.891	-8.911	-458.048	0.075	0.067	0.383	0.668	460.232	5.632	1	1															2	AD	Passing			
A001C0171_20210709184313_0001.MOV	   2583	   0.3591			55.044	35.538	-357.827	0.062	0.058	0.240	0.469	363.776	10.259	1	1															0	J	Passing			
A001C0171_20210709184313_0001.MOV	   2583	   0.3591			19.728	-92.625	-564.312	0.085	0.122	0.574	0.944	572.203	9.740	1	1															1	F	Passing			
A001C0171_20210709184313_0001.MOV	   2583	   0.3591			32.800	-15.187	-453.132	0.071	0.067	0.375	0.691	454.572	4.657	1	1															2	AD	Passing			
A001C0171_20210709184313_0001.MOV	   2603	   0.3619			56.444	31.354	-351.407	0.062	0.056	0.232	0.445	357.290	10.307	1	1															0	J	Passing			
A001C0171_20210709184313_0001.MOV	   2603	   0.3619			18.699	-104.548	-559.660	0.084	0.130	0.565	0.659	569.649	10.960	1	1															1	F	Passing			
A001C0171_20210709184313_0001.MOV	   2603	   0.3619			22.632	-27.177	-455.059	0.069	0.069	0.377	0.803	456.432	4.614	1	1															2	AD	Passing			
A001C0171_20210709184313_0001.MOV	   2623	   0.3647			57.698	29.451	-346.520	0.061	0.054	0.226	0.201	352.523	10.491	1	1															0	J	Passing			
A001C0171_20210709184313_0001.MOV	   2623	   0.3647			18.278	-108.554	-546.891	0.082	0.130	0.540	0.279	557.860	11.596	1	1															1	F	Passing			
A001C0171_20210709184313_0001.MOV	   2623	   0.3647			22.255	-36.794	-461.312	0.070	0.073	0.387	0.937	463.311	5.514	1	1															2	AD	Passing			
A001C0171_20210709184313_0001.MOV	   2643	   0.3674			59.007	31.683	-344.670	0.061	0.055	0.224	0.054	351.117	10.895	1	1															0	J	Passing			
A001C0171_20210709184313_0001.MOV	   2643	   0.3674			17.928	-115.289	-563.411	0.084	0.139	0.573	0.961	575.365	11.916	1	1															1	F	Passing			
A001C0171_20210709184313_0001.MOV	   2643	   0.3674			29.408	-38.635	-467.869	0.073	0.074	0.398	0.984	470.382	6.100	1	1															2	AD	Passing			
A001C0171_20210709184313_0001.MOV	   2663	   0.3702			58.446	35.138	-339.115	0.060	0.055	0.217	0.225	345.904	11.259	1	1															0	J	Passing			
A001C0171_20210709184313_0001.MOV	   2663	   0.3702			21.396	-115.871	-566.015	0.085	0.140	0.578	0.875	578.150	11.974	1	1															1	F	Passing			
A001C0171_20210709184313_0001.MOV	   2663	   0.3702			40.336	-41.084	-476.982	0.077	0.077	0.414	0.800	480.444	7.040	1	1															2	AD	Passing			
A001C0171_20210709184313_0001.MOV	   2673	   0.3716			58.638	36.425	-337.429	0.060	0.055	0.215	0.313	344.418	11.448	1	1															0	J	Passing			
A001C0171_20210709184313_0001.MOV	   2673	   0.3716			23.497	-117.213	-565.593	0.086	0.141	0.578	0.855	578.088	12.149	1	1															1	F	Passing			
A001C0171_20210709184313_0001.MOV	   2673	   0.3716			43.789	-46.158	-476.424	0.078	0.079	0.414	0.963	480.654	7.766	1	1															2	AD	Passing			
