3D Point Measurements																																			
																																			
Generated: Wednesday 03 November 2021 13:43:51																																			
																																			
Filename	Frame	Time (mins)	Period	Period time (mins)	X (mm)	Y (mm)	Z (mm)	sX (mm)	sY (mm)	sZ (mm)	RMS (mm)	Range (mm)	Direction (deg)	OpCode	TapeReader	Depth	Comment									Family	Genus	Species	Code	Number	Stage	Activity	Comment		
A001C0172_20210709184345_0001.MOV	1280	0.1780			224.779	50.440	-1420.265	0.584	0.224	3.562	7.719	1438.827	9.364	1	1															0	J	Passing			
A001C0172_20210709184345_0001.MOV	1280	0.1780			-10.279	37.434	-883.146	0.127	0.134	1.380	3.059	883.999	3.104	1	1															1	F	Passing			
A001C0172_20210709184345_0001.MOV	1280	0.1780			-28.442	37.152	-887.489	0.134	0.135	1.393	2.761	888.721	3.517	1	1															2	AD	Passing			
A001C0172_20210709184345_0001.MOV	1280	0.1780			-44.451	36.584	-889.125	0.143	0.135	1.397	2.473	890.987	4.115	1	1															3	AD	Passing			
A001C0172_20210709184345_0001.MOV	1280	0.1780			-61.361	31.724	-887.597	0.156	0.132	1.392	2.219	890.281	4.758	1	1															4	AD	Passing			
A001C0172_20210709184345_0001.MOV	1280	0.1780			-117.052	24.091	-871.927	0.212	0.127	1.345	1.784	880.078	7.948	1	1															10	AD	Passing			
A001C0172_20210709184345_0001.MOV	1280	0.1780			-10.062	33.593	-875.517	0.126	0.131	1.356	2.919	876.219	2.878	1	1															1.2	AD	Passing			
A001C0172_20210709184345_0001.MOV	1300	0.1807			219.319	44.445	-1470.672	0.592	0.226	3.815	7.458	1487.600	8.792	1	1															0	J	Passing			
A001C0172_20210709184345_0001.MOV	1300	0.1807			-0.085	34.066	-882.207	0.127	0.133	1.377	3.258	882.864	2.815	1	1															1	F	Passing			
A001C0172_20210709184345_0001.MOV	1300	0.1807			-17.622	34.002	-890.209	0.130	0.134	1.401	2.893	891.033	3.013	1	1															2	AD	Passing			
A001C0172_20210709184345_0001.MOV	1300	0.1807			-33.325	33.275	-892.513	0.137	0.134	1.408	2.799	893.754	3.474	1	1															3	AD	Passing			
A001C0172_20210709184345_0001.MOV	1300	0.1807			-50.621	29.612	-894.635	0.149	0.132	1.414	2.542	896.555	4.089	1	1															4	AD	Passing			
A001C0172_20210709184345_0001.MOV	1300	0.1807			-107.373	20.658	-887.880	0.204	0.129	1.393	2.063	894.587	7.159	1	1															10	AD	Passing			
A001C0172_20210709184345_0001.MOV	1300	0.1807			-0.217	32.727	-869.468	0.125	0.130	1.338	2.982	870.084	2.760	1	1															1.2	AD	Passing			
A001C0172_20210709184345_0001.MOV	1320	0.1835			210.289	38.623	-1511.314	0.586	0.227	4.024	7.752	1526.363	8.183	1	1															0	J	Passing			
A001C0172_20210709184345_0001.MOV	1320	0.1835			9.633	32.127	-878.979	0.127	0.131	1.368	3.090	879.619	2.769	1	1															1	F	Passing			
A001C0172_20210709184345_0001.MOV	1320	0.1835			-7.681	31.292	-888.517	0.128	0.132	1.396	3.008	889.101	2.667	1	1															2	AD	Passing			
