3D Point Measurements																																			
																																			
Generated: Wednesday 03 November 2021 13:53:06																																			
																																			
Filename	Frame	Time (mins)	Period	Period time (mins)	X (mm)	Y (mm)	Z (mm)	sX (mm)	sY (mm)	sZ (mm)	RMS (mm)	Range (mm)	Direction (deg)	OpCode	TapeReader	Depth	Comment									Family	Genus	Species	Code	Number	Stage	Activity	Comment		
A001C0177_20210709184827_0001.MOV	75	0.0104			-17.590	63.145	-732.109	0.108	0.127	0.954	1.768	735.038	5.701	1	1	1														0	J	Passing			
A001C0177_20210709184827_0001.MOV	75	0.0104			45.244	68.514	-877.288	0.143	0.156	1.365	3.956	881.122	5.860	1	1	1														1	F	Passing			
A001C0177_20210709184827_0001.MOV	75	0.0104			40.390	66.971	-874.949	0.139	0.154	1.358	3.795	878.437	5.634	1	1	1														2	AD	Passing			
A001C0177_20210709184827_0001.MOV	75	0.0104			35.934	67.252	-875.439	0.137	0.154	1.359	3.656	878.753	5.518	1	1	1														3	AD	Passing			
A001C0177_20210709184827_0001.MOV	75	0.0104			31.586	66.132	-873.907	0.134	0.153	1.354	3.685	876.975	5.345	1	1	1														4	AD	Passing			
A001C0177_20210709184827_0001.MOV	75	0.0104			-19.355	65.213	-872.966	0.128	0.152	1.349	2.197	875.613	5.038	1	1	1														16	AD	Passing			
A001C0177_20210709184827_0001.MOV	75	0.0104			45.888	72.285	-883.185	0.144	0.160	1.383	3.898	887.326	6.056	1	1	1														1.2	AD	Passing			
A001C0177_20210709184827_0001.MOV	100	0.0139			-35.551	62.002	-746.937	0.116	0.129	0.992	1.476	750.349	5.997	1	1	1														0	J	Passing			
A001C0177_20210709184827_0001.MOV	100	0.0139			48.355	71.065	-923.804	0.153	0.166	1.512	4.063	927.794	5.825	1	1	1														1	F	Passing			
A001C0177_20210709184827_0001.MOV	100	0.0139			43.429	69.433	-921.194	0.149	0.164	1.503	3.895	924.827	5.602	1	1	1														2	AD	Passing			
A001C0177_20210709184827_0001.MOV	100	0.0139			38.845	69.383	-919.583	0.145	0.163	1.498	3.744	923.015	5.477	1	1	1														3	AD	Passing			
A001C0177_20210709184827_0001.MOV	100	0.0139			34.148	68.033	-916.844	0.142	0.162	1.489	3.677	919.999	5.293	1	1	1														4	AD	Passing			
A001C0177_20210709184827_0001.MOV	100	0.0139			-18.485	59.350	-897.234	0.131	0.151	1.424	2.490	899.385	4.544	1	1	1														16	AD	Passing			
A001C0177_20210709184827_0001.MOV	100	0.0139			48.611	73.515	-936.041	0.155	0.170	1.552	4.110	940.181	5.892	1	1	1														1.2	AD	Passing			
A001C0177_20210709184827_0001.MOV	125	0.0174			-55.353	59.515	-759.428	0.130	0.129	1.024	1.105	763.765	6.564	1	1	1														0	J	Passing			
A001C0177_20210709184827_0001.MOV	125	0.0174			49.131	70.596	-994.673	0.165	0.177	1.749	4.238	998.384	5.449	1	1	1														1	F	Passing			
A001C0177_20210709184827_0001.MOV	125	0.0174			44.259	69.520	-985.384	0.159	0.175	1.717	4.153	988.825	5.300	1	1	1														2	AD	Passing			
A001C0177_20210709184827_0001.MOV	125	0.0174			39.260	69.894	-981.098	0.155	0.174	1.702	4.186	984.368	5.206	1	1	1														3	AD	Passing			
A001C0177_20210709184827_0001.MOV	125	0.0174			34.370	68.682	-975.513	0.151	0.172	1.683	3.912	978.532	5.049	1	1	1														4	AD	Passing			
A001C0177_20210709184827_0001.MOV	125	0.0174			-19.114	57.776	-927.522	0.136	0.154	1.520	2.543	929.517	4.332	1	1	1														16	AD	Passing			
A001C0177_20210709184827_0001.MOV	125	0.0174			48.480	69.630	-1005.652	0.166	0.178	1.788	4.323	1009.225	5.330	1	1	1														1.2	AD	Passing			
A001C0177_20210709184827_0001.MOV	150	0.0209			-76.592	56.204	-772.997	0.148	0.129	1.060	0.929	778.813	7.380	1	1	1														0	J	Passing			
A001C0177_20210709184827_0001.MOV	150	0.0209			49.661	68.802	-1088.820	0.181	0.191	2.092	4.723	1092.121	4.959	1	1	1														1	F	Passing			
A001C0177_20210709184827_0001.MOV	150	0.0209			44.115	67.970	-1077.668	0.174	0.188	2.049	4.519	1080.710	4.818	1	1	1														2	AD	Passing			
A001C0177_20210709184827_0001.MOV	150	0.0209			38.389	67.706	-1073.901	0.169	0.187	2.035	4.231	1076.718	4.680	1	1	1														3	AD	Passing			
