3D Point Measurements

Generated: Friday 02 June 2023 15:58:03

Filename	Frame	Time (mins)	Period	Period time (mins)	X (mm)	Y (mm)	Z (mm)	sX (mm)	sY (mm)	sZ (mm)	RMS (mm)	Range (mm)	Direction (deg)	OpCode	TapeReader	Depth	Comment									Family	Genus	Species	Code	Number	Stage	Activity	Comment		
A001C0209_20210710141857_0001.MOV	    935	   0.1300			19.992	6.235	-463.964	0.070	0.068	0.391	0.412	464.436	2.528	1	1															0	J	Passing			
A001C0209_20210710141857_0001.MOV	    935	   0.1300			52.686	-26.284	-349.250	0.060	0.054	0.228	0.457	354.178	9.669	1	1															1	F	Passing			
A001C0209_20210710141857_0001.MOV	    935	   0.1300			52.613	-21.758	-350.288	0.060	0.053	0.230	0.472	354.884	9.318	1	1															2	AD	Passing			
A001C0209_20210710141857_0001.MOV	    955	   0.1328			18.341	8.240	-466.228	0.070	0.068	0.395	0.357	466.661	2.388	1	1															0	J	Passing			
A001C0209_20210710141857_0001.MOV	    955	   0.1328			50.772	-24.397	-350.113	0.060	0.053	0.229	0.495	354.615	9.237	1	1															1	F	Passing			
A001C0209_20210710141857_0001.MOV	    955	   0.1328			50.673	-19.661	-350.424	0.060	0.053	0.230	0.487	354.614	8.898	1	1															2	AD	Passing			
A001C0209_20210710141857_0001.MOV	    975	   0.1356			18.413	10.053	-467.798	0.070	0.069	0.397	0.214	468.268	2.471	1	1															0	J	Passing			
A001C0209_20210710141857_0001.MOV	    975	   0.1356			49.147	-22.898	-347.659	0.059	0.053	0.226	0.471	351.862	8.959	1	1															1	F	Passing			
A001C0209_20210710141857_0001.MOV	    975	   0.1356			48.195	-18.426	-348.471	0.059	0.052	0.227	0.430	352.270	8.503	1	1															2	AD	Passing			
A001C0209_20210710141857_0001.MOV	    995	   0.1383			19.828	11.890	-469.487	0.071	0.069	0.400	0.352	470.055	2.713	1	1															0	J	Passing			
A001C0209_20210710141857_0001.MOV	    995	   0.1383			50.173	-21.152	-349.183	0.060	0.053	0.228	0.492	353.403	8.950	1	1															1	F	Passing			
A001C0209_20210710141857_0001.MOV	    995	   0.1383			50.782	-16.559	-353.151	0.060	0.053	0.233	0.457	357.168	8.671	1	1															2	AD	Passing			
A001C0209_20210710141857_0001.MOV	   1015	   0.1411			21.070	11.943	-473.636	0.072	0.070	0.407	0.113	474.255	2.826	1	1															0	J	Passing			
A001C0209_20210710141857_0001.MOV	   1015	   0.1411			50.595	-20.629	-352.615	0.060	0.053	0.232	0.499	356.823	8.893	1	1															1	F	Passing			
A001C0209_20210710141857_0001.MOV	   1015	   0.1411			51.609	-15.679	-355.515	0.061	0.053	0.236	0.469	359.583	8.693	1	1															2	AD	Passing			
A001C0209_20210710141857_0001.MOV	   1035	   0.1439			21.507	11.400	-475.490	0.072	0.070	0.410	0.254	476.113	2.835	1	1															0	J	Passing			
A001C0209_20210710141857_0001.MOV	   1035	   0.1439			52.473	-20.453	-355.454	0.061	0.054	0.236	0.421	359.888	9.085	1	1															1	F	Passing			
A001C0209_20210710141857_0001.MOV	   1035	   0.1439			51.671	-15.890	-357.465	0.061	0.053	0.239	0.490	361.530	8.666	1	1															2	AD	Passing			
A001C0209_20210710141857_0001.MOV	   1055	   0.1467			22.871	8.908	-477.771	0.073	0.070	0.414	0.048	478.401	2.869	1	1															0	J	Passing			
A001C0209_20210710141857_0001.MOV	   1055	   0.1467			53.410	-21.969	-356.254	0.062	0.054	0.237	0.467	360.904	9.293	1	1															1	F	Passing			
A001C0209_20210710141857_0001.MOV	   1055	   0.1467			52.206	-17.313	-358.129	0.062	0.053	0.239	0.425	362.328	8.803	1	1															2	AD	Passing			
A001C0209_20210710141857_0001.MOV	   1075	   0.1495			23.341	5.381	-479.196	0.073	0.070	0.417	0.045	479.795	2.821	1	1															0	J	Passing			
A001C0209_20210710141857_0001.MOV	   1075	   0.1495			53.110	-24.419	-357.946	0.062	0.055	0.239	0.453	362.688	9.368	1	1															1	F	Passing			
A001C0209_20210710141857_0001.MOV	   1075	   0.1495			52.371	-19.656	-358.626	0.062	0.054	0.240	0.474	362.963	8.945	1	1															2	AD	Passing			
A001C0209_20210710141857_0001.MOV	   1095	   0.1522			20.932	1.600	-479.739	0.073	0.070	0.418	0.262	480.198	2.499	1	1															0	J	Passing			
A001C0209_20210710141857_0001.MOV	   1095	   0.1522			51.317	-26.837	-357.304	0.061	0.055	0.238	0.435	361.967	9.310	1	1															1	F	Passing			
A001C0209_20210710141857_0001.MOV	   1095	   0.1522			50.314	-22.071	-357.829	0.061	0.054	0.239	0.476	362.022	8.819	1	1															2	AD	Passing			
A001C0209_20210710141857_0001.MOV	   1115	   0.1550			17.762	-2.476	-480.162	0.072	0.070	0.418	0.195	480.497	2.180	1	1															0	J	Passing			
A001C0209_20210710141857_0001.MOV	   1115	   0.1550			48.980	-28.220	-357.116	0.061	0.055	0.238	0.453	361.563	9.106	1	1															1	F	Passing			
A001C0209_20210710141857_0001.MOV	   1115	   0.1550			47.562	-23.784	-358.673	0.060	0.054	0.240	0.462	362.593	8.533	1	1															2	AD	Passing			
