3D Point Measurements

Generated: Friday 02 June 2023 16:14:33

Filename	Frame	Time (mins)	Period	Period time (mins)	X (mm)	Y (mm)	Z (mm)	sX (mm)	sY (mm)	sZ (mm)	RMS (mm)	Range (mm)	Direction (deg)	OpCode	TapeReader	Depth	Comment									Family	Genus	Species	Code	Number	Stage	Activity	Comment		
A001C0210_20210710142059_0001.MOV	   1151	   0.1600			27.183	25.846	-318.956	0.050	0.049	0.190	0.078	321.154	6.559	1	1															0	J	Passing			
A001C0210_20210710142059_0001.MOV	   1151	   0.1600			24.119	43.731	-279.512	0.044	0.047	0.148	0.386	283.939	9.940	1	1															1	F	Passing			
A001C0210_20210710142059_0001.MOV	   1151	   0.1600			24.706	46.060	-282.857	0.045	0.048	0.152	0.231	287.645	10.277	1	1															2	AD	Passing			
A001C0210_20210710142059_0001.MOV	   1171	   0.1628			30.328	26.079	-324.439	0.051	0.050	0.197	0.093	326.895	6.888	1	1															0	J	Passing			
A001C0210_20210710142059_0001.MOV	   1171	   0.1628			28.277	44.503	-287.758	0.046	0.049	0.157	0.162	292.548	10.200	1	1															1	F	Passing			
A001C0210_20210710142059_0001.MOV	   1171	   0.1628			27.341	45.683	-288.776	0.046	0.049	0.158	0.087	293.643	10.259	1	1															2	AD	Passing			
A001C0210_20210710142059_0001.MOV	   1191	   0.1656			32.834	25.514	-329.085	0.052	0.051	0.202	0.245	331.702	7.070	1	1															0	J	Passing			
A001C0210_20210710142059_0001.MOV	   1191	   0.1656			30.119	42.932	-292.717	0.047	0.049	0.162	0.206	297.378	9.979	1	1															1	F	Passing			
A001C0210_20210710142059_0001.MOV	   1191	   0.1656			29.163	44.133	-293.983	0.047	0.050	0.163	0.166	298.705	10.019	1	1															2	AD	Passing			
A001C0210_20210710142059_0001.MOV	   1211	   0.1684			35.126	23.863	-335.058	0.054	0.051	0.209	0.196	337.738	7.103	1	1															0	J	Passing			
A001C0210_20210710142059_0001.MOV	   1211	   0.1684			31.670	40.462	-297.705	0.048	0.049	0.167	0.295	302.107	9.621	1	1															1	F	Passing			
A001C0210_20210710142059_0001.MOV	   1211	   0.1684			30.477	41.682	-298.535	0.048	0.050	0.168	0.014	302.968	9.638	1	1															2	AD	Passing			
A001C0210_20210710142059_0001.MOV	   1231	   0.1711			36.386	23.073	-338.971	0.055	0.052	0.214	0.370	341.698	7.129	1	1															0	J	Passing			
A001C0210_20210710142059_0001.MOV	   1231	   0.1711			32.111	39.257	-302.907	0.048	0.050	0.173	0.251	307.124	9.337	1	1															1	F	Passing			
A001C0210_20210710142059_0001.MOV	   1231	   0.1711			30.858	40.240	-303.520	0.048	0.050	0.174	0.142	307.727	9.312	1	1															2	AD	Passing			
A001C0210_20210710142059_0001.MOV	   1251	   0.1739			36.871	20.667	-342.783	0.055	0.052	0.219	0.341	345.379	6.925	1	1															0	J	Passing			
A001C0210_20210710142059_0001.MOV	   1251	   0.1739			32.357	36.258	-307.445	0.049	0.050	0.178	0.304	311.263	8.820	1	1															1	F	Passing			
A001C0210_20210710142059_0001.MOV	   1251	   0.1739			30.639	37.399	-307.778	0.049	0.050	0.178	0.142	311.552	8.759	1	1															2	AD	Passing			
A001C0210_20210710142059_0001.MOV	   1271	   0.1767			36.875	16.820	-347.200	0.056	0.052	0.224	0.454	349.558	6.571	1	1															0	J	Passing			
A001C0210_20210710142059_0001.MOV	   1271	   0.1767			30.730	31.748	-308.214	0.049	0.049	0.179	0.402	311.365	8.003	1	1															1	F	Passing			
A001C0210_20210710142059_0001.MOV	   1271	   0.1767			29.457	33.067	-310.949	0.049	0.050	0.181	0.212	314.087	7.944	1	1															2	AD	Passing			
A001C0210_20210710142059_0001.MOV	   1291	   0.1795			35.378	13.294	-349.283	0.056	0.052	0.227	0.373	351.321	6.102	1	1															0	J	Passing			
A001C0210_20210710142059_0001.MOV	   1291	   0.1795			29.161	27.968	-311.554	0.049	0.049	0.182	0.364	314.163	7.240	1	1															1	F	Passing			
A001C0210_20210710142059_0001.MOV	   1291	   0.1795			28.283	29.342	-314.820	0.050	0.049	0.186	0.243	317.447	7.220	1	1															2	AD	Passing			
A001C0210_20210710142059_0001.MOV	   1311	   0.1823			34.168	11.776	-352.514	0.056	0.052	0.231	0.338	354.361	5.786	1	1															0	J	Passing			
A001C0210_20210710142059_0001.MOV	   1311	   0.1823			27.468	25.906	-313.800	0.049	0.049	0.184	0.389	316.063	6.713	1	1															1	F	Passing			
A001C0210_20210710142059_0001.MOV	   1311	   0.1823			25.870	27.172	-315.359	0.049	0.049	0.186	0.409	317.583	6.628	1	1															2	AD	Passing			
A001C0210_20210710142059_0001.MOV	   1331	   0.1850			32.337	13.115	-354.863	0.056	0.053	0.233	0.412	356.575	5.538	1	1															0	J	Passing			
A001C0210_20210710142059_0001.MOV	   1331	   0.1850			25.603	26.705	-316.867	0.050	0.049	0.188	0.482	319.020	6.504	1	1															1	F	Passing			
A001C0210_20210710142059_0001.MOV	   1331	   0.1850			23.947	27.795	-318.207	0.050	0.050	0.189	0.465	320.315	6.413	1	1															2	AD	Passing			
