3D Point Measurements

Generated: Tuesday 25 July 2023 12:18:34

Filename	Frame	Time (mins)	Period	Period time (mins)	X (mm)	Y (mm)	Z (mm)	sX (mm)	sY (mm)	sZ (mm)	RMS (mm)	Range (mm)	Direction (deg)	OpCode	TapeReader	Depth	Comment									Family	Genus	Species	Code	Number	Stage	Activity	Comment		
A001C0210_20210710142059_0001.MOV	   1279	   0.1778			-6.961	0.212	-270.296	0.041	0.040	0.137	0.370	270.386	1.485	1	1															0	J	Passing			
A001C0210_20210710142059_0001.MOV	   1279	   0.1778			27.703	31.371	-312.641	0.049	0.050	0.183	0.702	315.429	7.462	1	1															1	F	Passing			
A001C0210_20210710142059_0001.MOV	   1279	   0.1778			31.407	30.154	-310.226	0.049	0.049	0.181	0.601	313.267	7.839	1	1															2	AD	Passing			
A001C0210_20210710142059_0001.MOV	   1299	   0.1806			-8.619	-2.487	-272.837	0.042	0.040	0.140	0.260	272.985	1.955	1	1															0	J	Passing			
A001C0210_20210710142059_0001.MOV	   1299	   0.1806			26.103	28.044	-315.187	0.049	0.049	0.186	0.648	317.507	6.772	1	1															1	F	Passing			
A001C0210_20210710142059_0001.MOV	   1299	   0.1806			29.583	26.974	-312.959	0.050	0.049	0.184	0.594	315.510	7.144	1	1															2	AD	Passing			
A001C0210_20210710142059_0001.MOV	   1319	   0.1834			-10.130	-3.205	-276.016	0.042	0.041	0.143	0.195	276.221	2.280	1	1															0	J	Passing			
A001C0210_20210710142059_0001.MOV	   1319	   0.1834			24.442	26.902	-318.062	0.050	0.049	0.189	0.643	320.132	6.359	1	1															1	F	Passing			
A001C0210_20210710142059_0001.MOV	   1319	   0.1834			28.105	25.737	-316.610	0.050	0.049	0.188	0.478	318.896	6.718	1	1															2	AD	Passing			
A001C0210_20210710142059_0001.MOV	   1339	   0.1862			-11.754	-1.719	-278.471	0.043	0.041	0.145	0.195	278.724	2.484	1	1															0	J	Passing			
A001C0210_20210710142059_0001.MOV	   1339	   0.1862			22.055	29.008	-320.417	0.050	0.050	0.192	0.597	322.482	6.316	1	1															1	F	Passing			
A001C0210_20210710142059_0001.MOV	   1339	   0.1862			25.658	27.956	-319.312	0.050	0.050	0.190	0.605	321.559	6.618	1	1															2	AD	Passing			
A001C0210_20210710142059_0001.MOV	   1359	   0.1889			-12.878	2.860	-280.726	0.043	0.041	0.148	0.556	281.035	2.652	1	1															0	J	Passing			
A001C0210_20210710142059_0001.MOV	   1359	   0.1889			20.485	33.578	-323.044	0.050	0.052	0.194	0.698	325.430	6.757	1	1															1	F	Passing			
A001C0210_20210710142059_0001.MOV	   1359	   0.1889			24.119	32.247	-321.964	0.050	0.051	0.193	0.484	324.472	6.955	1	1															2	AD	Passing			
A001C0210_20210710142059_0001.MOV	   1379	   0.1917			-12.538	5.700	-283.210	0.043	0.042	0.150	0.583	283.545	2.701	1	1															0	J	Passing			
A001C0210_20210710142059_0001.MOV	   1379	   0.1917			20.834	36.538	-325.136	0.050	0.053	0.197	0.576	327.845	7.182	1	1															1	F	Passing			
A001C0210_20210710142059_0001.MOV	   1379	   0.1917			24.190	35.261	-324.149	0.050	0.052	0.196	0.539	326.958	7.336	1	1															2	AD	Passing			
A001C0210_20210710142059_0001.MOV	   1399	   0.1945			-11.221	3.633	-284.572	0.044	0.042	0.152	0.377	284.816	2.315	1	1															0	J	Passing			
A001C0210_20210710142059_0001.MOV	   1399	   0.1945			21.400	34.917	-325.509	0.050	0.052	0.197	0.631	328.075	6.986	1	1															1	F	Passing			
A001C0210_20210710142059_0001.MOV	   1399	   0.1945			24.913	33.667	-326.169	0.051	0.052	0.198	0.544	328.847	7.143	1	1															2	AD	Passing			
A001C0210_20210710142059_0001.MOV	   1419	   0.1973			-10.305	-0.356	-283.782	0.043	0.042	0.151	0.607	283.969	2.100	1	1															0	J	Passing			
A001C0210_20210710142059_0001.MOV	   1419	   0.1973			22.053	30.844	-327.064	0.051	0.052	0.199	0.396	329.254	6.436	1	1															1	F	Passing			
A001C0210_20210710142059_0001.MOV	   1419	   0.1973			24.914	29.782	-325.267	0.051	0.051	0.197	0.408	327.577	6.641	1	1															2	AD	Passing			
A001C0210_20210710142059_0001.MOV	   1439	   0.2001			-9.313	-4.778	-283.745	0.043	0.042	0.151	0.537	283.938	2.221	1	1															0	J	Passing			
A001C0210_20210710142059_0001.MOV	   1439	   0.2001			22.090	26.111	-326.697	0.051	0.051	0.199	0.611	328.483	5.811	1	1															1	F	Passing			
A001C0210_20210710142059_0001.MOV	   1439	   0.2001			25.189	25.012	-325.131	0.051	0.050	0.197	0.548	327.063	6.079	1	1															2	AD	Passing			
A001C0210_20210710142059_0001.MOV	   1459	   0.2028			-9.281	-8.296	-283.078	0.043	0.042	0.150	0.578	283.352	2.668	1	1															0	J	Passing			
A001C0210_20210710142059_0001.MOV	   1459	   0.2028			21.545	22.179	-326.761	0.050	0.050	0.199	0.783	328.221	5.251	1	1															1	F	Passing			
A001C0210_20210710142059_0001.MOV	   1459	   0.2028			24.805	20.908	-325.688	0.051	0.050	0.198	0.709	327.300	5.550	1	1															2	AD	Passing			
