3D Point Measurements

Generated: Monday 05 June 2023 12:14:09

Filename	Frame	Time (mins)	Period	Period time (mins)	X (mm)	Y (mm)	Z (mm)	sX (mm)	sY (mm)	sZ (mm)	RMS (mm)	Range (mm)	Direction (deg)	OpCode	TapeReader	Depth	Comment									Family	Genus	Species	Code	Number	Stage	Activity	Comment		
A001C0211_20210710142218_0001.MOV	      0	   0.0000			37.277	-5.462	-394.621	0.063	0.058	0.287	0.330	396.415	5.490	1	1															0	J	Passing			
A001C0211_20210710142218_0001.MOV	      0	   0.0000			30.231	9.638	-387.430	0.061	0.057	0.276	0.465	388.727	4.620	1	1															1	F	Passing			
A001C0211_20210710142218_0001.MOV	      0	   0.0000			29.237	8.572	-386.671	0.060	0.057	0.275	0.444	387.870	4.449	1	1															2	AD	Passing			
A001C0211_20210710142218_0001.MOV	     20	   0.0028			39.516	-3.767	-396.059	0.064	0.058	0.289	0.414	398.043	5.748	1	1															0	J	Passing			
A001C0211_20210710142218_0001.MOV	     20	   0.0028			32.928	11.026	-387.990	0.061	0.057	0.277	0.452	389.541	5.049	1	1															1	F	Passing			
A001C0211_20210710142218_0001.MOV	     20	   0.0028			32.093	10.221	-387.378	0.061	0.057	0.276	0.475	388.840	4.907	1	1															2	AD	Passing			
A001C0211_20210710142218_0001.MOV	     40	   0.0056			41.649	-3.915	-396.973	0.065	0.058	0.290	0.346	399.171	6.040	1	1															0	J	Passing			
A001C0211_20210710142218_0001.MOV	     40	   0.0056			35.432	10.504	-388.607	0.062	0.057	0.278	0.478	390.360	5.374	1	1															1	F	Passing			
A001C0211_20210710142218_0001.MOV	     40	   0.0056			34.593	9.478	-388.700	0.062	0.057	0.278	0.500	390.351	5.219	1	1															2	AD	Passing			
A001C0211_20210710142218_0001.MOV	     60	   0.0083			41.919	-5.975	-396.716	0.065	0.058	0.290	0.441	398.970	6.127	1	1															0	J	Passing			
A001C0211_20210710142218_0001.MOV	     60	   0.0083			36.286	7.981	-389.664	0.062	0.057	0.280	0.466	391.431	5.404	1	1															1	F	Passing			
A001C0211_20210710142218_0001.MOV	     60	   0.0083			35.357	7.026	-388.628	0.062	0.057	0.278	0.420	390.296	5.261	1	1															2	AD	Passing			
A001C0211_20210710142218_0001.MOV	     80	   0.0111			39.957	-7.109	-397.361	0.065	0.058	0.291	0.459	399.428	5.874	1	1															0	J	Passing			
A001C0211_20210710142218_0001.MOV	     80	   0.0111			34.797	6.510	-391.892	0.062	0.057	0.283	0.316	393.488	5.126	1	1															1	F	Passing			
A001C0211_20210710142218_0001.MOV	     80	   0.0111			33.876	5.616	-389.958	0.062	0.057	0.280	0.482	391.467	5.001	1	1															2	AD	Passing			
A001C0211_20210710142218_0001.MOV	    100	   0.0139			35.105	-5.592	-398.448	0.063	0.058	0.292	0.334	400.030	5.137	1	1															0	J	Passing			
A001C0211_20210710142218_0001.MOV	    100	   0.0139			30.500	7.764	-393.328	0.062	0.058	0.285	0.452	394.586	4.526	1	1															1	F	Passing			
A001C0211_20210710142218_0001.MOV	    100	   0.0139			29.811	6.729	-392.667	0.061	0.058	0.284	0.422	393.854	4.407	1	1															2	AD	Passing			
A001C0211_20210710142218_0001.MOV	    120	   0.0167			29.691	-2.767	-400.278	0.063	0.058	0.294	0.363	401.387	4.286	1	1															0	J	Passing			
A001C0211_20210710142218_0001.MOV	    120	   0.0167			26.092	10.573	-396.023	0.061	0.058	0.288	0.444	397.023	3.989	1	1															1	F	Passing			
A001C0211_20210710142218_0001.MOV	    120	   0.0167			25.232	9.641	-394.391	0.061	0.058	0.286	0.449	395.315	3.845	1	1															2	AD	Passing			
A001C0211_20210710142218_0001.MOV	    140	   0.0195			25.019	0.345	-401.534	0.062	0.059	0.296	0.390	402.313	3.569	1	1															0	J	Passing			
A001C0211_20210710142218_0001.MOV	    140	   0.0195			21.647	13.109	-396.900	0.061	0.059	0.289	0.326	397.706	3.540	1	1															1	F	Passing			
A001C0211_20210710142218_0001.MOV	    140	   0.0195			20.945	12.141	-395.476	0.060	0.058	0.287	0.461	396.216	3.399	1	1															2	AD	Passing			
A001C0211_20210710142218_0001.MOV	    160	   0.0222			22.042	3.165	-401.882	0.061	0.059	0.296	0.360	402.498	3.148	1	1															0	J	Passing			
A001C0211_20210710142218_0001.MOV	    160	   0.0222			19.430	15.498	-396.648	0.060	0.059	0.289	0.426	397.426	3.453	1	1															1	F	Passing			
A001C0211_20210710142218_0001.MOV	    160	   0.0222			18.434	14.651	-396.213	0.060	0.059	0.288	0.450	396.912	3.270	1	1															2	AD	Passing			
A001C0211_20210710142218_0001.MOV	    180	   0.0250			20.163	5.739	-402.058	0.061	0.059	0.296	0.396	402.604	2.932	1	1															0	J	Passing			
A001C0211_20210710142218_0001.MOV	    180	   0.0250			18.539	17.866	-398.024	0.060	0.060	0.290	0.467	398.856	3.553	1	1															1	F	Passing			
A001C0211_20210710142218_0001.MOV	    180	   0.0250			17.300	17.000	-396.142	0.060	0.059	0.288	0.471	396.884	3.354	1	1															2	AD	Passing			
