3D Point Measurements

Generated: Wednesday 14 June 2023 15:02:20

Filename	Frame	Time (mins)	Period	Period time (mins)	X (mm)	Y (mm)	Z (mm)	sX (mm)	sY (mm)	sZ (mm)	RMS (mm)	Range (mm)	Direction (deg)	OpCode	TapeReader	Depth	Comment									Family	Genus	Species	Code	Number	Stage	Activity	Comment		
A001C0320_20210921215927_0001.MOV	   1166	   0.1621			213.585	71.785	-562.012	0.232	0.115	0.621	0.048	605.499	21.779	1	1															0	J	Passing			
A001C0320_20210921215927_0001.MOV	   1166	   0.1621			26.867	-1.693	-1008.176	0.152	0.145	1.797	0.045	1008.535	1.559	1	1															1	F	Passing			
A001C0320_20210921215927_0001.MOV	   1166	   0.1621			37.657	39.942	-1009.445	0.159	0.164	1.802	0.001	1010.936	2.958	1	1															2	AD	Passing			
A001C0320_20210921215927_0001.MOV	   1186	   0.1649			208.323	67.760	-542.603	0.219	0.108	0.582	0.013	585.156	21.919	1	1															0	J	Passing			
A001C0320_20210921215927_0001.MOV	   1186	   0.1649			21.783	2.098	-1006.473	0.149	0.145	1.790	0.000	1006.711	1.244	1	1															1	F	Passing			
A001C0320_20210921215927_0001.MOV	   1186	   0.1649			31.896	43.758	-1003.243	0.154	0.166	1.780	0.047	1004.704	2.916	1	1															2	AD	Passing			
A001C0320_20210921215927_0001.MOV	   1206	   0.1677			207.812	65.891	-538.565	0.217	0.106	0.574	0.032	581.016	21.973	1	1															0	J	Passing			
A001C0320_20210921215927_0001.MOV	   1206	   0.1677			15.440	6.741	-999.633	0.146	0.144	1.766	0.049	999.775	0.901	1	1															1	F	Passing			
A001C0320_20210921215927_0001.MOV	   1206	   0.1677			28.404	47.528	-996.824	0.151	0.169	1.757	0.270	998.360	2.994	1	1															2	AD	Passing			
A001C0320_20210921215927_0001.MOV	   1226	   0.1704			203.960	62.069	-522.072	0.207	0.101	0.543	0.007	563.925	22.151	1	1															0	J	Passing			
A001C0320_20210921215927_0001.MOV	   1226	   0.1704			6.613	11.195	-1002.170	0.144	0.146	1.773	0.141	1002.255	0.566	1	1															1	F	Passing			
A001C0320_20210921215927_0001.MOV	   1226	   0.1704			25.792	49.191	-986.495	0.148	0.168	1.721	0.139	988.057	3.031	1	1															2	AD	Passing			
A001C0320_20210921215927_0001.MOV	   1246	   0.1732			205.700	59.280	-512.691	0.206	0.097	0.529	0.120	555.588	22.603	1	1															0	J	Passing			
A001C0320_20210921215927_0001.MOV	   1246	   0.1732			1.990	13.985	-991.280	0.142	0.145	1.735	0.079	991.381	0.601	1	1															1	F	Passing			
A001C0320_20210921215927_0001.MOV	   1246	   0.1732			23.625	50.446	-984.718	0.147	0.169	1.715	0.064	986.293	3.041	1	1															2	AD	Passing			
A001C0320_20210921215927_0001.MOV	   1266	   0.1760			203.160	54.425	-498.268	0.199	0.092	0.504	0.048	540.840	22.829	1	1															0	J	Passing			
A001C0320_20210921215927_0001.MOV	   1266	   0.1760			-0.539	15.442	-986.860	0.141	0.145	1.720	0.038	986.981	0.679	1	1															1	F	Passing			
A001C0320_20210921215927_0001.MOV	   1266	   0.1760			24.363	50.207	-972.019	0.146	0.167	1.671	0.064	973.620	3.091	1	1															2	AD	Passing			
A001C0320_20210921215927_0001.MOV	   1286	   0.1788			204.763	50.061	-487.513	0.197	0.088	0.489	0.058	531.134	23.332	1	1															0	J	Passing			
A001C0320_20210921215927_0001.MOV	   1286	   0.1788			0.256	14.393	-974.259	0.140	0.143	1.677	0.002	974.366	0.628	1	1															1	F	Passing			
A001C0320_20210921215927_0001.MOV	   1286	   0.1788			25.587	48.709	-966.241	0.145	0.164	1.652	0.137	967.806	3.067	1	1															2	AD	Passing			
A001C0320_20210921215927_0001.MOV	   1306	   0.1816			203.888	44.447	-469.085	0.191	0.082	0.462	0.586	513.407	23.937	1	1															0	J	Passing			
A001C0320_20210921215927_0001.MOV	   1306	   0.1816			2.003	13.300	-969.674	0.139	0.142	1.661	0.047	969.767	0.580	1	1															1	F	Passing			
A001C0320_20210921215927_0001.MOV	   1306	   0.1816			29.013	45.752	-959.993	0.146	0.161	1.631	0.014	961.520	3.048	1	1															2	AD	Passing			
A001C0320_20210921215927_0001.MOV	   1326	   0.1843			202.553	38.552	-456.987	0.185	0.078	0.444	0.462	501.350	24.245	1	1															0	J	Passing			
A001C0320_20210921215927_0001.MOV	   1326	   0.1843			2.236	13.951	-957.221	0.137	0.140	1.619	0.050	957.325	0.631	1	1															1	F	Passing			
A001C0320_20210921215927_0001.MOV	   1326	   0.1843			30.138	44.565	-956.095	0.146	0.159	1.618	0.029	957.607	3.042	1	1															2	AD	Passing			
