3D Point Measurements																																			
																																			
Generated: Monday 23 January 2023 15:16:13																																			
																																			
Filename	Frame	Time (mins)	Period	Period time (mins)	X (mm)	Y (mm)	Z (mm)	sX (mm)	sY (mm)	sZ (mm)	RMS (mm)	Range (mm)	Direction (deg)	OpCode	TapeReader	Depth	Comment									Family	Genus	Species	Code	Number	Stage	Activity	Comment		
A001C0322_20210921220127_0001.MOV	763	0.1061			-30.186	-59.545	-558.401	0.086	0.098	0.559	0.024	562.377	7.013	1	1															1	F	Passing			
A001C0322_20210921220127_0001.MOV	763	0.1061			60.786	-5.534	-327.877	0.059	0.048	0.204	0.177	333.509	10.567	1	1															2	AD	Passing			
A001C0322_20210921220127_0001.MOV	763	0.1061			-20.332	-58.986	-446.473	0.067	0.079	0.362	0.093	450.812	8.162	1	1															0	J	Passing			
A001C0322_20210921220127_0001.MOV	783	0.1089			-29.666	-60.917	-555.455	0.085	0.099	0.554	0.034	559.573	7.152	1	1															1	F	Passing			
A001C0322_20210921220127_0001.MOV	783	0.1089			60.254	-4.494	-323.157	0.058	0.048	0.198	0.239	328.757	10.609	1	1															2	AD	Passing			
A001C0322_20210921220127_0001.MOV	783	0.1089			-17.289	-58.176	-438.503	0.066	0.077	0.349	0.074	442.683	8.090	1	1															0	J	Passing			
A001C0322_20210921220127_0001.MOV	803	0.1116			-29.908	-61.517	-552.673	0.085	0.098	0.548	0.075	556.889	7.252	1	1															1	F	Passing			
A001C0322_20210921220127_0001.MOV	803	0.1116			59.356	-2.235	-320.162	0.057	0.047	0.195	0.213	325.625	10.521	1	1															2	AD	Passing			
A001C0322_20210921220127_0001.MOV	803	0.1116			-14.595	-56.459	-431.147	0.064	0.075	0.338	0.017	435.073	7.914	1	1															0	J	Passing			
A001C0322_20210921220127_0001.MOV	823	0.1144			-30.240	-58.667	-551.311	0.085	0.097	0.546	0.028	555.248	7.022	1	1															1	F	Passing			
A001C0322_20210921220127_0001.MOV	823	0.1144			58.092	2.321	-319.687	0.057	0.047	0.194	0.267	324.930	10.301	1	1															2	AD	Passing			
A001C0322_20210921220127_0001.MOV	823	0.1144			-12.291	-52.059	-425.912	0.063	0.073	0.330	0.151	429.258	7.371	1	1															0	J	Passing			
A001C0322_20210921220127_0001.MOV	843	0.1172			-31.831	-54.399	-550.841	0.085	0.094	0.545	0.068	554.435	6.717	1	1															1	F	Passing			
A001C0322_20210921220127_0001.MOV	843	0.1172			55.671	8.094	-318.891	0.056	0.047	0.193	0.285	323.815	9.976	1	1															2	AD	Passing			
A001C0322_20210921220127_0001.MOV	843	0.1172			-11.102	-46.615	-422.011	0.063	0.070	0.324	0.131	424.723	6.691	1	1															0	J	Passing			
A001C0322_20210921220127_0001.MOV	863	0.1200			-35.079	-51.378	-550.611	0.086	0.093	0.544	0.066	554.115	6.628	1	1															1	F	Passing			
A001C0322_20210921220127_0001.MOV	863	0.1200			52.854	13.723	-318.281	0.055	0.048	0.192	0.267	322.931	9.683	1	1															2	AD	Passing			
A001C0322_20210921220127_0001.MOV	863	0.1200			-10.653	-41.867	-416.156	0.062	0.067	0.316	0.129	418.392	6.139	1	1															0	J	Passing			
A001C0322_20210921220127_0001.MOV	883	0.1228			-36.810	-49.393	-550.449	0.087	0.092	0.544	0.028	553.886	6.562	1	1															1	F	Passing			
A001C0322_20210921220127_0001.MOV	883	0.1228			50.960	18.300	-318.992	0.055	0.048	0.192	0.283	323.554	9.562	1	1															2	AD	Passing			
A001C0322_20210921220127_0001.MOV	883	0.1228			-9.253	-38.246	-411.539	0.061	0.066	0.309	0.197	413.416	5.674	1	1															0	J	Passing			
A001C0322_20210921220127_0001.MOV	903	0.1255			-37.948	-50.061	-550.982	0.087	0.092	0.545	0.012	554.551	6.680	1	1															1	F	Passing			
A001C0322_20210921220127_0001.MOV	903	0.1255			49.104	20.941	-320.353	0.055	0.049	0.194	0.321	324.771	9.377	1	1															2	AD	Passing			
A001C0322_20210921220127_0001.MOV	903	0.1255			-7.804	-36.811	-407.628	0.061	0.064	0.303	0.184	409.361	5.488	1	1															0	J	Passing			
A001C0322_20210921220127_0001.MOV	923	0.1283			-39.591	-52.308	-551.317	0.088	0.093	0.545	0.117	555.206	6.961	1	1															1	F	Passing			
A001C0322_20210921220127_0001.MOV	923	0.1283			46.859	22.704	-322.177	0.054	0.049	0.196	0.372	326.358	9.087	1	1															2	AD	Passing			
A001C0322_20210921220127_0001.MOV	923	0.1283			-6.896	-36.603	-404.797	0.060	0.064	0.299	0.137	406.507	5.472	1	1															0	J	Passing			
A001C0322_20210921220127_0001.MOV	943	0.1311			-41.358	-54.254	-551.566	0.088	0.094	0.546	0.015	555.768	7.226	1	1															1	F	Passing			
A001C0322_20210921220127_0001.MOV	943	0.1311			44.957	24.705	-323.079	0.054	0.050	0.196	0.286	327.126	8.919	1	1															2	AD	Passing			
A001C0322_20210921220127_0001.MOV	943	0.1311			-41.345	-54.216	-551.578	0.088	0.094	0.546	0.030	555.776	7.222	1	1															1	F	Passing			
A001C0322_20210921220127_0001.MOV	943	0.1311			44.979	24.701	-323.061	0.054	0.050	0.196	0.293	327.111	8.922	1	1															2	AD	Passing			
A001C0322_20210921220127_0001.MOV	943	0.1311			-5.720	-36.036	-400.230	0.059	0.063	0.293	0.108	401.889	5.425	1	1															0	J	Passing			
A001C0322_20210921220127_0001.MOV	963	0.1339			-42.078	-55.568	-551.499	0.089	0.095	0.546	0.029	555.886	7.379	1	1															1	F	Passing			
A001C0322_20210921220127_0001.MOV	963	0.1339			43.703	26.388	-323.797	0.054	0.050	0.197	0.267	327.797	8.849	1	1															2	AD	Passing			
A001C0322_20210921220127_0001.MOV	963	0.1339			-3.972	-35.598	-396.185	0.059	0.062	0.287	0.149	397.801	5.383	1	1															0	J	Passing			
A001C0322_20210921220127_0001.MOV	983	0.1367			-43.346	-54.694	-551.114	0.089	0.094	0.545	0.096	555.515	7.389	1	1															1	F	Passing			
A001C0322_20210921220127_0001.MOV	983	0.1367			42.452	29.806	-324.552	0.054	0.051	0.198	0.343	328.671	8.957	1	1															2	AD	Passing			
A001C0322_20210921220127_0001.MOV	983	0.1367			-2.667	-33.330	-390.980	0.058	0.061	0.280	0.083	392.407	5.106	1	1															0	J	Passing			
A001C0322_20210921220127_0001.MOV	1003	0.1394			-44.769	-52.768	-549.210	0.089	0.093	0.541	0.142	553.553	7.349	1	1															1	F	Passing			
A001C0322_20210921220127_0001.MOV	1003	0.1394			41.198	34.173	-323.629	0.053	0.052	0.197	0.444	328.026	9.253	1	1															2	AD	Passing			
A001C0322_20210921220127_0001.MOV	1003	0.1394			-1.531	-29.850	-385.394	0.057	0.059	0.272	0.164	386.551	4.653	1	1															0	J	Passing			
A001C0322_20210921220127_0001.MOV	1023	0.1422			-46.148	-51.977	-547.202	0.090	0.092	0.537	0.001	551.598	7.404	1	1															1	F	Passing			
A001C0322_20210921220127_0001.MOV	1023	0.1422			40.518	37.193	-323.399	0.053	0.053	0.197	0.366	328.042	9.506	1	1															2	AD	Passing			
A001C0322_20210921220127_0001.MOV	1023	0.1422			0.136	-27.852	-378.616	0.056	0.058	0.263	0.063	379.639	4.426	1	1															0	J	Passing			
A001C0322_20210921220127_0001.MOV	1043	0.1450			-48.310	-51.098	-545.517	0.090	0.092	0.534	0.046	550.031	7.505	1	1															1	F	Passing			
A001C0322_20210921220127_0001.MOV	1043	0.1450			39.791	39.902	-323.116	0.053	0.053	0.196	0.530	327.993	9.739	1	1															2	AD	Passing			
A001C0322_20210921220127_0001.MOV	1043	0.1450			1.328	-25.717	-372.674	0.056	0.057	0.255	0.086	373.563	4.171	1	1															0	J	Passing			
