3D Point Measurements

Generated: Friday 05 May 2023 13:48:38

Filename	Frame	Time (mins)	Period	Period time (mins)	X (mm)	Y (mm)	Z (mm)	sX (mm)	sY (mm)	sZ (mm)	RMS (mm)	Range (mm)	Direction (deg)	OpCode	TapeReader	Depth	Comment									Family	Genus	Species	Code	Number	Stage	Activity	Comment		
A001C0323_20210921220235_0001 - Copy.MOV	      0	   0.8657			-32.634	21.696	-567.183	0.088	0.085	0.576	0.326	568.535	3.836	1	1															0	J	Passing			
A001C0323_20210921220235_0001 - Copy.MOV	      0	   0.8657			-39.227	52.327	-612.869	0.097	0.106	0.671	0.006	616.349	5.918	1	1															1	F	Passing			
A001C0323_20210921220235_0001 - Copy.MOV	      0	   0.8657			41.985	-86.474	-438.758	0.072	0.092	0.354	0.103	449.164	12.555	1	1															2	AD	Passing			
A001C0323_20210921220235_0001 - Copy.MOV	     20	   0.8685			-33.431	17.472	-559.009	0.087	0.083	0.560	0.358	560.281	3.764	1	1															0	J	Passing			
A001C0323_20210921220235_0001 - Copy.MOV	     20	   0.8685			-40.697	50.886	-608.948	0.097	0.104	0.662	0.415	612.424	5.938	1	1															1	F	Passing			
A001C0323_20210921220235_0001 - Copy.MOV	     20	   0.8685			43.171	-86.306	-431.240	0.071	0.091	0.342	0.180	441.906	12.809	1	1															2	AD	Passing			
A001C0323_20210921220235_0001 - Copy.MOV	     40	   0.8713			-31.461	15.168	-552.704	0.085	0.081	0.548	0.314	553.807	3.526	1	1															0	J	Passing			
A001C0323_20210921220235_0001 - Copy.MOV	     40	   0.8713			-38.888	51.385	-604.331	0.096	0.104	0.652	0.295	607.757	5.914	1	1															1	F	Passing			
A001C0323_20210921220235_0001 - Copy.MOV	     40	   0.8713			47.467	-84.800	-425.234	0.071	0.089	0.333	0.025	436.198	13.064	1	1															2	AD	Passing			
A001C0323_20210921220235_0001 - Copy.MOV	     60	   0.8741			-26.100	14.911	-548.057	0.083	0.081	0.539	0.021	548.881	3.037	1	1															0	J	Passing			
