3D Point Measurements

Generated: Wednesday 07 December 2022 14:42:31

Filename	Frame	Time (mins)	Period	Period time (mins)	X (mm)	Y (mm)	Z (mm)	sX (mm)	sY (mm)	sZ (mm)	RMS (mm)	Range (mm)	Direction (deg)	OpCode	TapeReader	Depth	Comment									Family	Genus	Species	Code	Number	Stage	Activity	Comment		
A001C0332_20210921222049_0001.MOV	   3500	   0.4866			-37.862	11.253	-545.028	0.086	0.080	0.533	0.516	546.457	4.088	1	1															0	J	Passing			
A001C0332_20210921222049_0001.MOV	   3500	   0.4866			14.191	-68.365	-425.143	0.064	0.080	0.330	0.239	430.839	9.540	1	1															1	F	Passing			
A001C0332_20210921222049_0001.MOV	   3500	   0.4866			41.838	-5.073	-386.876	0.063	0.057	0.276	0.206	389.165	6.247	1	1															2	AD	Passing			
A001C0332_20210921222049_0001.MOV	   3520	   0.4894			-41.995	9.184	-542.789	0.087	0.079	0.528	0.240	544.489	4.487	1	1															0	J	Passing			
A001C0332_20210921222049_0001.MOV	   3520	   0.4894			7.305	-71.888	-424.208	0.063	0.081	0.329	0.025	430.318	9.884	1	1															1	F	Passing			
A001C0332_20210921222049_0001.MOV	   3520	   0.4894			38.635	-8.975	-388.202	0.063	0.057	0.278	0.252	390.223	5.887	1	1															2	AD	Passing			
A001C0332_20210921222049_0001.MOV	   3540	   0.4922			7.964	-60.072	-426.943	0.063	0.076	0.333	0.015	431.222	8.295	1	1															1	F	Passing			
A001C0332_20210921222049_0001.MOV	   3540	   0.4922			13.175	58.150	-317.037	0.048	0.058	0.188	0.523	322.595	10.438	1	1															19	AD	Passing			
A001C0332_20210921222049_0001.MOV	   3540	   0.4922			-45.928	9.494	-544.071	0.089	0.079	0.531	0.184	546.088	4.887	1	1															0	J	Passing			
A001C0332_20210921222049_0001.MOV	   3560	   0.4949			4.435	-60.969	-428.351	0.063	0.077	0.335	0.015	432.691	8.340	1	1															1	F	Passing			
A001C0332_20210921222049_0001.MOV	   3560	   0.4949			14.080	61.904	-323.470	0.049	0.060	0.195	0.563	329.641	10.891	1	1															19	AD	Passing			
A001C0332_20210921222049_0001.MOV	   3560	   0.4949			-45.704	11.143	-544.526	0.089	0.080	0.532	0.154	546.554	4.890	1	1															0	AD	Passing			
A001C0332_20210921222049_0001.MOV	   3580	   0.4977			3.375	-58.519	-429.707	0.064	0.076	0.337	0.099	433.686	7.986	1	1															1	F	Passing			
A001C0332_20210921222049_0001.MOV	   3580	   0.4977			17.459	68.315	-329.617	0.051	0.064	0.202	0.599	337.075	11.863	1	1															19	AD	Passing			
A001C0332_20210921222049_0001.MOV	   3580	   0.4977			-43.188	15.927	-546.598	0.088	0.081	0.536	0.300	548.532	4.743	1	1															0	AD	Passing			
A001C0332_20210921222049_0001.MOV	   3600	   0.5005			2.883	-54.857	-431.344	0.064	0.075	0.339	0.087	434.828	7.476	1	1															1	F	Passing			
A001C0332_20210921222049_0001.MOV	   3600	   0.5005			15.835	69.767	-348.999	0.053	0.068	0.226	0.578	356.256	11.372	1	1															19	AD	Passing			
A001C0332_20210921222049_0001.MOV	   3600	   0.5005			-39.750	22.494	-546.001	0.087	0.082	0.535	0.366	547.908	4.678	1	1															0	AD	Passing			
A001C0332_20210921222049_0001.MOV	   3620	   0.5033			1.227	-52.167	-433.464	0.064	0.074	0.342	0.016	436.594	7.083	1	1															1	F	Passing			
A001C0332_20210921222049_0001.MOV	   3620	   0.5033			18.952	74.687	-354.902	0.054	0.071	0.233	0.611	363.171	12.038	1	1															19	AD	Passing			
A001C0332_20210921222049_0001.MOV	   3620	   0.5033			-37.543	28.403	-549.018	0.087	0.084	0.540	0.102	551.033	4.772	1	1															0	AD	Passing			
A001C0332_20210921222049_0001.MOV	   3640	   0.5061			-0.830	-50.090	-437.456	0.065	0.074	0.348	0.114	440.315	6.751	1	1															1	F	Passing			
A001C0332_20210921222049_0001.MOV	   3640	   0.5061			21.778	79.074	-361.995	0.056	0.074	0.243	0.668	371.170	12.556	1	1															19	AD	Passing			
A001C0332_20210921222049_0001.MOV	   3640	   0.5061			-34.746	33.455	-552.661	0.086	0.087	0.548	0.177	554.762	4.839	1	1															0	AD	Passing			
