3D Point Measurements

Generated: Thursday 13 July 2023 11:37:15

Filename	Frame	Time (mins)	Period	Period time (mins)	X (mm)	Y (mm)	Z (mm)	sX (mm)	sY (mm)	sZ (mm)	RMS (mm)	Range (mm)	Direction (deg)	OpCode	TapeReader	Depth	Comment									Family	Genus	Species	Code	Number	Stage	Activity	Comment		
A001C0335_20210921222656_0001.MOV	   1489	   0.2070			49.970	30.451	-421.941	0.072	0.066	0.327	0.577	425.980	7.784	1	1															0	J	Passing			
A001C0335_20210921222656_0001.MOV	   1489	   0.2070			62.066	47.131	-528.805	0.095	0.090	0.508	0.347	534.517	8.253	1	1															1	F	Passing			
A001C0335_20210921222656_0001.MOV	   1489	   0.2070			-0.502	-6.714	-457.304	0.067	0.066	0.379	0.238	457.354	1.061	1	1															2	AD	Passing			
A001C0335_20210921222656_0001.MOV	   1509	   0.2098			36.203	23.212	-408.351	0.065	0.062	0.306	0.276	410.609	5.897	1	1															0	J	Passing			
A001C0335_20210921222656_0001.MOV	   1509	   0.2098			59.943	50.825	-524.000	0.093	0.091	0.499	0.207	529.861	8.390	1	1															1	F	Passing			
A001C0335_20210921222656_0001.MOV	   1509	   0.2098			-1.091	-8.602	-453.977	0.067	0.066	0.374	0.333	454.060	1.311	1	1															2	AD	Passing			
A001C0335_20210921222656_0001.MOV	   1529	   0.2126			24.660	14.913	-396.726	0.061	0.059	0.289	0.261	397.771	4.046	1	1															0	J	Passing			
A001C0335_20210921222656_0001.MOV	   1529	   0.2126			60.113	52.187	-521.076	0.093	0.091	0.494	0.483	527.122	8.544	1	1															1	F	Passing			
A001C0335_20210921222656_0001.MOV	   1529	   0.2126			-0.263	-10.567	-457.574	0.067	0.067	0.380	0.212	457.696	1.542	1	1															2	AD	Passing			
A001C0335_20210921222656_0001.MOV	   1549	   0.2154			15.538	5.823	-383.091	0.058	0.056	0.270	0.122	383.451	2.412	1	1															0	J	Passing			
A001C0335_20210921222656_0001.MOV	   1549	   0.2154			64.729	52.260	-518.588	0.095	0.090	0.490	0.301	525.218	8.978	1	1															1	F	Passing			
A001C0335_20210921222656_0001.MOV	   1549	   0.2154			3.784	-12.950	-452.897	0.067	0.066	0.373	0.021	453.098	1.917	1	1															2	AD	Passing			
A001C0335_20210921222656_0001.MOV	   1569	   0.2181			5.420	-3.345	-368.920	0.055	0.054	0.250	0.096	368.975	1.119	1	1															0	J	Passing			
A001C0335_20210921222656_0001.MOV	   1569	   0.2181			67.222	52.704	-515.229	0.095	0.090	0.484	0.137	522.262	9.280	1	1															1	F	Passing			
A001C0335_20210921222656_0001.MOV	   1569	   0.2181			6.329	-14.847	-453.851	0.067	0.067	0.374	0.094	454.138	2.239	1	1															2	AD	Passing			
A001C0335_20210921222656_0001.MOV	   1589	   0.2209			-4.874	-12.575	-354.636	0.053	0.052	0.232	0.233	354.893	2.383	1	1															0	J	Passing			
A001C0335_20210921222656_0001.MOV	   1589	   0.2209			70.347	51.869	-510.636	0.096	0.089	0.476	0.240	518.062	9.585	1	1															1	F	Passing			
A001C0335_20210921222656_0001.MOV	   1589	   0.2209			8.541	-15.342	-449.478	0.067	0.066	0.367	0.192	449.820	2.430	1	1															2	AD	Passing			
A001C0335_20210921222656_0001.MOV	   1609	   0.2237			-15.471	-21.535	-340.577	0.052	0.051	0.214	0.240	341.608	4.631	1	1															0	J	Passing			
A001C0335_20210921222656_0001.MOV	   1609	   0.2237			73.134	50.552	-505.571	0.097	0.087	0.467	0.084	513.329	9.851	1	1															1	F	Passing			
A001C0335_20210921222656_0001.MOV	   1609	   0.2237			9.440	-15.763	-446.023	0.066	0.066	0.362	0.057	446.402	2.549	1	1															2	AD	Passing			
A001C0335_20210921222656_0001.MOV	   1629	   0.2265			-27.078	-31.426	-325.548	0.051	0.051	0.196	0.207	328.181	7.429	1	1															0	J	Passing			
A001C0335_20210921222656_0001.MOV	   1629	   0.2265			74.405	47.074	-502.505	0.097	0.085	0.462	0.128	510.160	9.823	1	1															1	F	Passing			
A001C0335_20210921222656_0001.MOV	   1629	   0.2265			8.241	-16.838	-441.282	0.065	0.065	0.354	0.156	441.680	2.631	1	1															2	AD	Passing			
A001C0335_20210921222656_0001.MOV	   1649	   0.2293			-41.252	-41.172	-312.439	0.051	0.051	0.182	0.196	317.828	10.722	1	1															0	J	Passing			
A001C0335_20210921222656_0001.MOV	   1649	   0.2293			73.982	43.482	-499.753	0.096	0.083	0.457	0.026	507.067	9.635	1	1															1	F	Passing			
A001C0335_20210921222656_0001.MOV	   1649	   0.2293			5.275	-16.851	-437.620	0.065	0.065	0.349	0.079	437.976	2.520	1	1															2	AD	Passing			
A001C0335_20210921222656_0001.MOV	   1669	   0.2320			-56.454	-49.488	-299.288	0.052	0.051	0.169	0.211	308.560	14.227	1	1															0	J	Passing			
A001C0335_20210921222656_0001.MOV	   1669	   0.2320			71.430	40.804	-497.037	0.094	0.082	0.452	0.357	503.799	9.291	1	1															1	F	Passing			
A001C0335_20210921222656_0001.MOV	   1669	   0.2320			0.719	-15.786	-436.436	0.064	0.064	0.347	0.260	436.722	2.292	1	1															2	AD	Passing			
