3D Point Measurements

Generated: Tuesday 05 March 2024 09:24:23

Filename	Frame	Time (mins)	Period	Period time (mins)	X (mm)	Y (mm)	Z (mm)	sX (mm)	sY (mm)	sZ (mm)	RMS (mm)	Range (mm)	Direction (deg)	OpCode	TapeReader	Depth	Comment									Family	Genus	Species	Code	Number	Stage	Activity	Comment		
A001C0344_20210922220308_0001.MOV	   2481	   0.3449			11.413	-15.605	-348.507	0.053	0.052	0.224	0.596	349.042	3.354	1	1															1	F	Passing			
A001C0344_20210922220308_0001.MOV	   2481	   0.3449			35.092	-90.365	-543.918	0.086	0.116	0.535	0.749	552.489	10.309	1	1															0	J	Passing			
A001C0344_20210922220308_0001.MOV	   2511	   0.3491			36.064	-73.738	-549.079	0.087	0.106	0.545	0.735	555.181	8.699	1	1															0	J	Passing			
A001C0344_20210922220308_0001.MOV	   2511	   0.3491			12.708	0.918	-343.750	0.052	0.050	0.219	0.016	343.986	2.118	1	1															1	F	Passing			
A001C0344_20210922220308_0001.MOV	   2541	   0.3533			52.092	-59.944	-553.245	0.094	0.098	0.554	0.708	558.916	8.335	1	1															0	J	Passing			
A001C0344_20210922220308_0001.MOV	   2541	   0.3533			24.377	14.182	-349.708	0.054	0.052	0.227	0.151	350.844	4.505	1	1															1	F	Passing			
A001C0344_20210922220308_0001.MOV	   2572	   0.3576			71.523	-43.389	-556.311	0.105	0.090	0.562	0.646	562.565	8.667	1	1															0	J	Passing			
A001C0344_20210922220308_0001.MOV	   2572	   0.3576			37.265	27.715	-355.020	0.057	0.055	0.234	0.241	358.045	7.324	1	1															1	F	Passing			
A001C0344_20210922220308_0001.MOV	   2602	   0.3617			87.653	-31.118	-558.524	0.116	0.086	0.568	0.722	566.216	9.530	1	1															0	J	Passing			
A001C0344_20210922220308_0001.MOV	   2602	   0.3617			48.208	37.745	-358.806	0.061	0.058	0.240	0.042	363.993	9.551	1	1															1	F	Passing			
A001C0344_20210922220308_0001.MOV	   2632	   0.3659			97.338	-28.144	-559.939	0.123	0.085	0.572	0.688	569.033	10.320	1	1															0	J	Passing			
A001C0344_20210922220308_0001.MOV	   2632	   0.3659			52.681	40.521	-362.254	0.062	0.060	0.245	0.253	368.300	10.265	1	1															1	F	Passing			
A001C0344_20210922220308_0001.MOV	   2662	   0.3701			102.118	-25.267	-562.887	0.127	0.085	0.579	0.735	572.633	10.640	1	1															0	J	Passing			
A001C0344_20210922220308_0001.MOV	   2662	   0.3701			54.770	41.642	-366.319	0.064	0.061	0.250	0.083	372.724	10.507	1	1															1	F	Passing			
A001C0344_20210922220308_0001.MOV	   2692	   0.3743			108.812	-33.550	-565.839	0.133	0.088	0.586	0.682	577.182	11.444	1	1															0	J	Passing			
A001C0344_20210922220308_0001.MOV	   2692	   0.3743			48.259	32.124	-340.632	0.058	0.054	0.217	0.430	345.530	9.539	1	1															1	F	Passing			
A001C0344_20210922220308_0001.MOV	   2722	   0.3784			116.572	-41.604	-572.310	0.141	0.092	0.600	0.687	585.541	12.279	1	1															0	J	Passing			
A001C0344_20210922220308_0001.MOV	   2722	   0.3784			65.254	29.210	-378.152	0.069	0.059	0.267	0.059	384.851	10.619	1	1															1	F	Passing			
A001C0344_20210922220308_0001.MOV	   2752	   0.3826			118.193	-40.824	-581.671	0.144	0.094	0.619	0.799	594.960	12.206	1	1															0	J	Passing			
A001C0344_20210922220308_0001.MOV	   2752	   0.3826			54.910	24.804	-357.020	0.062	0.055	0.238	0.281	362.068	9.491	1	1															1	F	Passing			
A001C0344_20210922220308_0001.MOV	   2782	   0.3868			118.033	-36.738	-593.236	0.147	0.094	0.643	0.852	605.979	11.838	1	1															0	J	Passing			
A001C0344_20210922220308_0001.MOV	   2782	   0.3868			55.212	26.255	-365.055	0.064	0.057	0.249	0.250	370.139	9.416	1	1															1	F	Passing			
