3D Point Measurements

Generated: Thursday 15 June 2023 11:25:17

Filename	Frame	Time (mins)	Period	Period time (mins)	X (mm)	Y (mm)	Z (mm)	sX (mm)	sY (mm)	sZ (mm)	RMS (mm)	Range (mm)	Direction (deg)	OpCode	TapeReader	Depth	Comment									Family	Genus	Species	Code	Number	Stage	Activity	Comment		
A001C0349_20210922220958_0001.MOV	     80	   0.0111			-88.971	15.226	-451.566	0.093	0.067	0.370	0.166	460.499	11.269	1	1															0	J	Passing			
A001C0349_20210922220958_0001.MOV	     80	   0.0111			4.825	10.158	-441.627	0.065	0.065	0.355	0.259	441.770	1.265	1	1															1	F	Passing			
A001C0349_20210922220958_0001.MOV	     80	   0.0111			17.852	-3.309	-420.861	0.064	0.061	0.324	0.181	421.252	2.519	1	1															2	AD	Passing			
A001C0349_20210922220958_0001.MOV	    100	   0.0139			-90.254	15.016	-448.562	0.093	0.066	0.365	0.188	457.799	11.495	1	1															0	J	Passing			
A001C0349_20210922220958_0001.MOV	    100	   0.0139			-0.984	11.196	-435.955	0.064	0.064	0.346	0.356	436.100	1.259	1	1															1	F	Passing			
A001C0349_20210922220958_0001.MOV	    100	   0.0139			12.250	-1.990	-417.919	0.062	0.061	0.319	0.230	418.103	1.749	1	1															2	AD	Passing			
A001C0349_20210922220958_0001.MOV	    120	   0.0167			-87.146	12.139	-447.841	0.091	0.066	0.364	0.126	456.402	11.087	1	1															0	J	Passing			
A001C0349_20210922220958_0001.MOV	    120	   0.0167			-2.473	9.525	-434.336	0.064	0.064	0.343	0.394	434.448	1.088	1	1															1	F	Passing			
A001C0349_20210922220958_0001.MOV	    120	   0.0167			10.600	-3.994	-414.782	0.062	0.060	0.314	0.377	414.937	1.654	1	1															2	AD	Passing			
A001C0349_20210922220958_0001.MOV	    140	   0.0195			-79.925	7.523	-447.913	0.087	0.065	0.363	0.218	455.050	10.143	1	1															0	J	Passing			
A001C0349_20210922220958_0001.MOV	    140	   0.0195			-0.873	6.803	-432.240	0.064	0.063	0.340	0.220	432.294	0.693	1	1															1	F	Passing			
A001C0349_20210922220958_0001.MOV	    140	   0.0195			12.451	-6.755	-414.680	0.062	0.060	0.314	0.473	414.922	2.070	1	1															2	AD	Passing			
A001C0349_20210922220958_0001.MOV	    160	   0.0222			-76.448	4.320	-446.385	0.085	0.065	0.361	0.234	452.905	9.724	1	1															0	J	Passing			
A001C0349_20210922220958_0001.MOV	    160	   0.0222			-2.218	4.829	-430.496	0.064	0.063	0.337	0.424	430.528	0.517	1	1															1	F	Passing			
A001C0349_20210922220958_0001.MOV	    160	   0.0222			10.643	-8.444	-411.347	0.061	0.060	0.309	0.371	411.572	2.035	1	1															2	AD	Passing			
A001C0349_20210922220958_0001.MOV	    180	   0.0250			-74.971	-0.880	-445.055	0.084	0.064	0.359	0.161	451.326	9.568	1	1															0	J	Passing			
