3D Point Measurements

Generated: Monday 22 May 2023 14:08:22

Filename	Frame	Time (mins)	Period	Period time (mins)	X (mm)	Y (mm)	Z (mm)	sX (mm)	sY (mm)	sZ (mm)	RMS (mm)	Range (mm)	Direction (deg)	OpCode	TapeReader	Depth	Comment									Family	Genus	Species	Code	Number	Stage	Activity	Comment		
A001C0352_20210922221526_0001.MOV	   2679	   0.3725			84.732	83.631	-703.894	0.144	0.148	0.891	0.022	713.891	9.448	1	1															0	J	Passing			
A001C0352_20210922221526_0001.MOV	   2679	   0.3725			7.882	-33.518	-410.549	0.061	0.064	0.308	0.442	411.990	5.007	1	1															1	F	Passing			
A001C0352_20210922221526_0001.MOV	   2679	   0.3725			32.775	-9.513	-419.089	0.066	0.061	0.322	0.271	420.476	4.721	1	1															2	AD	Passing			
A001C0352_20210922221526_0001.MOV	   2709	   0.3766			82.933	87.014	-705.683	0.143	0.152	0.895	0.002	715.847	9.510	1	1															0	J	Passing			
A001C0352_20210922221526_0001.MOV	   2709	   0.3766			5.120	-31.967	-414.227	0.061	0.064	0.313	0.020	415.490	4.685	1	1															1	F	Passing			
A001C0352_20210922221526_0001.MOV	   2709	   0.3766			30.329	-7.631	-422.244	0.066	0.062	0.326	0.190	423.400	4.295	1	1															2	AD	Passing			
A001C0352_20210922221526_0001.MOV	   2739	   0.3808			80.208	91.655	-710.889	0.142	0.157	0.908	0.024	721.247	9.559	1	1															0	J	Passing			
A001C0352_20210922221526_0001.MOV	   2739	   0.3808			1.395	-29.162	-416.159	0.062	0.064	0.316	0.385	417.182	4.231	1	1															1	F	Passing			
A001C0352_20210922221526_0001.MOV	   2739	   0.3808			26.907	-5.799	-424.297	0.066	0.062	0.329	0.338	425.189	3.764	1	1															2	AD	Passing			
A001C0352_20210922221526_0001.MOV	   2769	   0.3850			78.709	91.528	-719.761	0.142	0.159	0.930	0.251	729.813	9.356	1	1															0	J	Passing			
