3D Point Measurements

Generated: Tuesday 20 June 2023 10:57:22

Filename	Frame	Time (mins)	Period	Period time (mins)	X (mm)	Y (mm)	Z (mm)	sX (mm)	sY (mm)	sZ (mm)	RMS (mm)	Range (mm)	Direction (deg)	OpCode	TapeReader	Depth	Comment									Family	Genus	Species	Code	Number	Stage	Activity	Comment		
A001C0358_20210922222944_0001.MOV	      0	   0.0000			42.871	-44.389	-725.874	0.118	0.117	0.942	0.346	728.492	5.019	1	1															0	J	Passing			
A001C0358_20210922222944_0001.MOV	      0	   0.0000			40.643	-34.599	-486.670	0.079	0.076	0.431	0.298	489.588	6.403	1	1															1	F	Passing			
A001C0358_20210922222944_0001.MOV	      0	   0.0000			32.829	-28.026	-491.755	0.077	0.075	0.439	0.275	493.645	5.161	1	1															2	AD	Passing			
A001C0358_20210922222944_0001.MOV	     20	   0.0028			43.817	-44.987	-711.556	0.116	0.115	0.906	0.063	714.322	5.202	1	1															0	J	Passing			
A001C0358_20210922222944_0001.MOV	     20	   0.0028			41.222	-34.983	-476.189	0.077	0.075	0.413	0.247	479.249	6.621	1	1															1	F	Passing			
A001C0358_20210922222944_0001.MOV	     20	   0.0028			32.719	-29.016	-481.934	0.076	0.074	0.422	0.330	483.914	5.332	1	1															2	AD	Passing			
A001C0358_20210922222944_0001.MOV	     40	   0.0056			38.595	-47.864	-700.255	0.111	0.115	0.878	0.128	702.949	5.190	1	1															0	J	Passing			
A001C0358_20210922222944_0001.MOV	     40	   0.0056			37.539	-35.434	-468.309	0.075	0.074	0.400	0.039	471.145	6.442	1	1															1	F	Passing			
A001C0358_20210922222944_0001.MOV	     40	   0.0056			28.539	-30.041	-471.847	0.073	0.072	0.405	0.308	473.663	5.179	1	1															2	AD	Passing			
A001C0358_20210922222944_0001.MOV	     60	   0.0083			30.076	-52.748	-691.924	0.106	0.117	0.857	0.371	694.583	5.206	1	1															0	J	Passing			
A001C0358_20210922222944_0001.MOV	     60	   0.0083			31.853	-37.194	-460.193	0.072	0.073	0.386	0.112	462.791	6.242	1	1															1	F	Passing			
A001C0358_20210922222944_0001.MOV	     60	   0.0083			22.854	-31.501	-465.068	0.071	0.072	0.393	0.257	466.694	4.962	1	1															2	AD	Passing			
A001C0358_20210922222944_0001.MOV	     80	   0.0111			25.747	-57.196	-683.289	0.104	0.118	0.835	0.033	686.162	5.445	1	1															0	J	Passing			
A001C0358_20210922222944_0001.MOV	     80	   0.0111			28.286	-39.496	-454.266	0.070	0.073	0.376	0.006	456.857	6.283	1	1															1	F	Passing			
A001C0358_20210922222944_0001.MOV	     80	   0.0111			19.504	-33.497	-459.493	0.069	0.072	0.384	0.058	461.125	5.012	1	1															2	AD	Passing			
A001C0358_20210922222944_0001.MOV	    100	   0.0139			24.896	-61.306	-678.948	0.103	0.120	0.825	0.125	682.165	5.769	1	1															0	J	Passing			
A001C0358_20210922222944_0001.MOV	    100	   0.0139			26.865	-41.458	-449.170	0.069	0.073	0.368	0.111	451.879	6.461	1	1															1	F	Passing			
A001C0358_20210922222944_0001.MOV	    100	   0.0139			18.165	-35.046	-454.619	0.068	0.071	0.376	0.091	456.329	5.157	1	1															2	AD	Passing			
A001C0358_20210922222944_0001.MOV	    120	   0.0167			22.177	-64.586	-672.247	0.101	0.121	0.809	0.316	675.706	6.007	1	1															0	J	Passing			
A001C0358_20210922222944_0001.MOV	    120	   0.0167			24.536	-42.299	-443.446	0.068	0.072	0.359	0.001	446.135	6.483	1	1															1	F	Passing			
A001C0358_20210922222944_0001.MOV	    120	   0.0167			15.361	-36.047	-448.123	0.067	0.071	0.366	0.038	449.833	5.199	1	1															2	AD	Passing			
A001C0358_20210922222944_0001.MOV	    140	   0.0195			19.329	-67.476	-663.722	0.099	0.122	0.789	0.460	667.423	6.247	1	1															0	J	Passing			
A001C0358_20210922222944_0001.MOV	    140	   0.0195			22.211	-42.767	-438.623	0.067	0.071	0.351	0.231	441.262	6.464	1	1															1	F	Passing			
A001C0358_20210922222944_0001.MOV	    140	   0.0195			12.503	-36.785	-442.273	0.066	0.070	0.356	0.064	443.977	5.228	1	1															2	AD	Passing			
A001C0358_20210922222944_0001.MOV	    160	   0.0222			17.452	-69.810	-657.091	0.097	0.123	0.773	0.218	661.019	6.462	1	1															0	J	Passing			
A001C0358_20210922222944_0001.MOV	    160	   0.0222			20.399	-42.247	-433.374	0.066	0.070	0.343	0.168	435.906	6.376	1	1															1	F	Passing			
A001C0358_20210922222944_0001.MOV	    160	   0.0222			10.906	-36.682	-438.307	0.065	0.069	0.350	0.090	439.974	5.200	1	1															2	AD	Passing			
A001C0358_20210922222944_0001.MOV	    180	   0.0250			17.627	-71.212	-647.913	0.096	0.122	0.752	0.096	652.053	6.672	1	1															0	J	Passing			
A001C0358_20210922222944_0001.MOV	    180	   0.0250			19.962	-42.042	-425.638	0.065	0.069	0.331	0.240	428.175	6.438	1	1															1	F	Passing			
A001C0358_20210922222944_0001.MOV	    180	   0.0250			10.588	-37.180	-433.587	0.065	0.069	0.343	0.050	435.307	5.305	1	1															2	AD	Passing			
