3D Point Measurements

Generated: Thursday 20 July 2023 12:08:27

Filename	Frame	Time (mins)	Period	Period time (mins)	X (mm)	Y (mm)	Z (mm)	sX (mm)	sY (mm)	sZ (mm)	RMS (mm)	Range (mm)	Direction (deg)	OpCode	TapeReader	Depth	Comment									Family	Genus	Species	Code	Number	Stage	Activity	Comment		
A002C0019_20220420225823_0001.MOV	   2892	   0.8041			178.703	66.976	-462.411	0.163	0.092	0.432	0.014	500.244	22.351	1	1															0	J	Passing			
A002C0019_20220420225823_0001.MOV	   2892	   0.8041			83.305	-51.035	-498.427	0.101	0.085	0.456	0.425	507.911	11.205	1	1															1	F	Passing			
A002C0019_20220420225823_0001.MOV	   2892	   0.8041			36.050	-30.046	-462.053	0.074	0.071	0.389	0.142	464.430	5.942	1	1															2	AD	Passing			
A002C0019_20220420225823_0001.MOV	   2912	   0.8097			166.539	64.880	-441.563	0.146	0.087	0.394	0.018	476.364	21.958	1	1															0	J	Passing			
A002C0019_20220420225823_0001.MOV	   2912	   0.8097			80.250	-56.569	-506.701	0.101	0.089	0.470	0.457	516.126	11.094	1	1															1	F	Passing			
A002C0019_20220420225823_0001.MOV	   2912	   0.8097			29.775	-32.234	-464.141	0.072	0.072	0.392	0.027	466.211	5.563	1	1															2	AD	Passing			
A002C0019_20220420225823_0001.MOV	   2932	   0.8153			151.890	63.596	-416.108	0.127	0.081	0.350	0.094	447.506	21.507	1	1															0	J	Passing			
A002C0019_20220420225823_0001.MOV	   2932	   0.8153			75.072	-56.721	-496.922	0.096	0.087	0.452	0.646	505.751	10.855	1	1															1	F	Passing			
A002C0019_20220420225823_0001.MOV	   2932	   0.8153			21.906	-31.559	-465.525	0.071	0.072	0.394	0.040	467.108	4.899	1	1															2	AD	Passing			
A002C0019_20220420225823_0001.MOV	   2952	   0.8208			135.534	63.687	-394.085	0.109	0.076	0.312	0.126	421.578	20.715	1	1															0	J	Passing			
A002C0019_20220420225823_0001.MOV	   2952	   0.8208			70.995	-58.085	-488.756	0.092	0.086	0.438	0.743	497.289	10.769	1	1															1	F	Passing			
A002C0019_20220420225823_0001.MOV	   2952	   0.8208			15.810	-31.797	-462.004	0.069	0.071	0.388	0.030	463.367	4.592	1	1															2	AD	Passing			
A002C0019_20220420225823_0001.MOV	   2972	   0.8264			121.115	60.181	-370.780	0.094	0.070	0.275	0.369	394.675	19.943	1	1															0	J	Passing			
A002C0019_20220420225823_0001.MOV	   2972	   0.8264			68.204	-60.062	-481.275	0.090	0.086	0.425	0.184	489.781	10.839	1	1															1	F	Passing			
A002C0019_20220420225823_0001.MOV	   2972	   0.8264			15.116	-34.401	-457.558	0.068	0.071	0.381	0.028	459.099	4.895	1	1															2	AD	Passing			
A002C0019_20220420225823_0001.MOV	   2992	   0.8319			109.507	57.592	-350.939	0.083	0.065	0.247	0.383	372.111	19.320	1	1															0	J	Passing			
A002C0019_20220420225823_0001.MOV	   2992	   0.8319			74.975	-65.932	-476.216	0.092	0.088	0.417	0.077	486.570	11.986	1	1															1	F	Passing			
