3D Point Measurements																																			
																																			
Generated: Tuesday 10 May 2022 13:17:19																																			
																																			
Filename	Frame	Time (mins)	Period	Period time (mins)	X (mm)	Y (mm)	Z (mm)	sX (mm)	sY (mm)	sZ (mm)	RMS (mm)	Range (mm)	Direction (deg)	OpCode	TapeReader	Depth	Comment									Family	Genus	Species	Code	Number	Stage	Activity	Comment		
A002C0020_20220420230151_0001.MOV	1290	0.3587			11.925	-38.336	-590.742	0.087	0.093	0.627	0.900	592.104	4.097	1	1															1	F	Passing			
A002C0020_20220420230151_0001.MOV	1290	0.3587			14.509	-36.775	-587.057	0.087	0.092	0.619	0.852	588.387	4.057	1	1															2	AD	Passing			
A002C0020_20220420230151_0001.MOV	1290	0.3587			16.009	-33.477	-582.159	0.086	0.090	0.609	0.887	583.340	3.845	1	1															3	AD	Passing			
A002C0020_20220420230151_0001.MOV	1290	0.3587			49.942	21.315	-487.517	0.082	0.074	0.433	0.552	490.532	6.273	1	1															25	AD	Passing			
A002C0020_20220420230151_0001.MOV	1290	0.3587			46.998	22.203	-481.250	0.080	0.073	0.422	0.559	484.049	6.074	1	1															25.2	AD	Passing			
A002C0020_20220420230151_0001.MOV	1290	0.3587			53.251	31.439	-449.228	0.077	0.071	0.370	0.464	453.464	7.729	1	1															32	AD	Passing			
A002C0020_20220420230151_0001.MOV	1290	0.3587			-7.586	-38.016	-379.030	0.057	0.060	0.263	0.549	381.007	6.054	1	1															0	J	Passing			
A002C0020_20220420230151_0001.MOV	1300	0.3615			-8.870	-31.956	-371.762	0.056	0.058	0.254	0.471	373.238	5.309	1	1															0	J	Passing			
A002C0020_20220420230151_0001.MOV	1300	0.3615			3.033	-40.649	-590.117	0.086	0.094	0.625	0.840	591.523	4.169	1	1															1	F	Passing			
A002C0020_20220420230151_0001.MOV	1300	0.3615			4.819	-38.847	-585.523	0.085	0.093	0.616	0.682	586.830	4.042	1	1															2	AD	Passing			
A002C0020_20220420230151_0001.MOV	1300	0.3615			6.672	-35.470	-581.197	0.085	0.091	0.607	0.901	582.316	3.768	1	1															3	AD	Passing			
A002C0020_20220420230151_0001.MOV	1300	0.3615			46.503	21.287	-489.862	0.081	0.074	0.437	0.508	492.524	5.873	1	1															25	AD	Passing			
A002C0020_20220420230151_0001.MOV	1300	0.3615			43.174	24.108	-484.238	0.079	0.074	0.427	0.555	486.756	5.727	1	1															25.2	AD	Passing			
A002C0020_20220420230151_0001.MOV	1300	0.3615			52.230	35.366	-452.252	0.077	0.072	0.374	0.363	456.629	7.820	1	1															32	AD	Passing			
A002C0020_20220420230151_0001.MOV	1310	0.3643			-6.438	-21.068	-363.831	0.054	0.055	0.243	0.445	364.498	3.674	1	1															0	J	Passing			
A002C0020_20220420230151_0001.MOV	1310	0.3643			-5.133	-40.066	-589.596	0.086	0.094	0.623	0.782	590.978	4.136	1	1															1	F	Passing			
A002C0020_20220420230151_0001.MOV	1310	0.3643			-3.463	-38.227	-584.302	0.085	0.092	0.613	0.899	585.561	3.976	1	1															2	AD	Passing			
