3D Point Measurements

Generated: Tuesday 27 June 2023 10:42:30

Filename	Frame	Time (mins)	Period	Period time (mins)	X (mm)	Y (mm)	Z (mm)	sX (mm)	sY (mm)	sZ (mm)	RMS (mm)	Range (mm)	Direction (deg)	OpCode	TapeReader	Depth	Comment									Family	Genus	Species	Code	Number	Stage	Activity	Comment		
A002C0044_20220421224612_0001.MOV	    290	   0.0806			-34.401	76.233	-572.559	0.089	0.114	0.587	0.043	578.635	8.112	1	1															0	J	Passing			
A002C0044_20220421224612_0001.MOV	    290	   0.0806			-54.531	91.390	-515.517	0.088	0.113	0.478	0.158	526.388	11.477	1	1															1	F	Passing			
A002C0044_20220421224612_0001.MOV	    290	   0.0806			-52.631	88.732	-514.757	0.087	0.111	0.477	0.061	524.994	11.146	1	1															2	AD	Passing			
A002C0044_20220421224612_0001.MOV	    310	   0.0862			-26.551	55.021	-566.324	0.086	0.100	0.575	0.125	569.610	5.961	1	1															0	J	Passing			
A002C0044_20220421224612_0001.MOV	    310	   0.0862			-56.547	84.637	-507.323	0.087	0.107	0.463	0.033	517.434	11.164	1	1															1	F	Passing			
A002C0044_20220421224612_0001.MOV	    310	   0.0862			-54.331	82.094	-507.143	0.086	0.105	0.463	0.030	516.609	10.804	1	1															2	AD	Passing			
A002C0044_20220421224612_0001.MOV	    330	   0.0918			-18.606	39.356	-560.863	0.083	0.091	0.564	0.112	562.550	4.242	1	1															0	J	Passing			
A002C0044_20220421224612_0001.MOV	    330	   0.0918			-58.090	82.275	-494.824	0.086	0.103	0.441	0.008	504.970	11.327	1	1															1	F	Passing			
A002C0044_20220421224612_0001.MOV	    330	   0.0918			-55.856	80.011	-496.083	0.085	0.101	0.443	0.010	505.589	10.950	1	1															2	AD	Passing			
A002C0044_20220421224612_0001.MOV	    350	   0.0973			-11.231	13.451	-552.334	0.081	0.081	0.548	0.116	552.612	1.655	1	1															0	J	Passing			
A002C0044_20220421224612_0001.MOV	    350	   0.0973			-61.522	71.733	-482.258	0.085	0.094	0.420	0.078	491.430	10.922	1	1															1	F	Passing			
A002C0044_20220421224612_0001.MOV	    350	   0.0973			-59.567	69.354	-483.876	0.085	0.093	0.422	0.047	492.437	10.535	1	1															2	AD	Passing			
A002C0044_20220421224612_0001.MOV	    370	   0.1029			-4.270	-5.842	-546.137	0.080	0.079	0.536	0.240	546.185	0.944	1	1															0	J	Passing			
A002C0044_20220421224612_0001.MOV	    370	   0.1029			-59.694	70.843	-473.267	0.083	0.091	0.405	0.286	482.249	10.909	1	1															1	F	Passing			
A002C0044_20220421224612_0001.MOV	    370	   0.1029			-58.542	67.696	-472.629	0.082	0.090	0.403	0.087	481.029	10.558	1	1															2	AD	Passing			
A002C0044_20220421224612_0001.MOV	    390	   0.1084			-3.397	-20.117	-538.495	0.079	0.080	0.522	0.267	538.881	2.385	1	1															0	J	Passing			
A002C0044_20220421224612_0001.MOV	    390	   0.1084			-59.869	76.799	-472.743	0.083	0.095	0.404	0.088	482.668	11.468	1	1															1	F	Passing			
A002C0044_20220421224612_0001.MOV	    390	   0.1084			-59.352	73.630	-472.148	0.083	0.093	0.403	0.069	481.527	11.157	1	1															2	AD	Passing			
A002C0044_20220421224612_0001.MOV	    410	   0.1140			0.578	-26.880	-528.211	0.077	0.080	0.503	0.390	528.895	3.132	1	1															0	J	Passing			
A002C0044_20220421224612_0001.MOV	    410	   0.1140			-59.963	87.238	-478.492	0.084	0.102	0.414	0.051	490.062	12.295	1	1															1	F	Passing			
A002C0044_20220421224612_0001.MOV	    410	   0.1140			-59.286	84.291	-477.824	0.084	0.100	0.412	0.141	488.811	11.993	1	1															2	AD	Passing			
A002C0044_20220421224612_0001.MOV	    430	   0.1196			3.534	-33.861	-520.850	0.076	0.081	0.490	0.422	521.962	3.957	1	1															0	J	Passing			
A002C0044_20220421224612_0001.MOV	    430	   0.1196			-63.523	93.937	-476.597	0.085	0.106	0.411	0.076	489.902	13.203	1	1															1	F	Passing			
A002C0044_20220421224612_0001.MOV	    430	   0.1196			-61.533	92.242	-475.588	0.084	0.105	0.409	0.093	488.343	12.943	1	1															2	AD	Passing			
A002C0044_20220421224612_0001.MOV	    450	   0.1251			-1.106	-47.483	-509.792	0.075	0.084	0.469	0.131	512.000	5.541	1	1															0	J	Passing			
A002C0044_20220421224612_0001.MOV	    450	   0.1251			-68.107	93.864	-475.471	0.087	0.106	0.409	0.037	489.410	13.531	1	1															1	F	Passing			
A002C0044_20220421224612_0001.MOV	    450	   0.1251			-67.091	92.251	-474.305	0.087	0.105	0.407	0.010	487.829	13.346	1	1															2	AD	Passing			
A002C0044_20220421224612_0001.MOV	    470	   0.1307			-2.826	-59.194	-495.776	0.073	0.088	0.444	0.314	499.306	7.035	1	1															0	J	Passing			
A002C0044_20220421224612_0001.MOV	    470	   0.1307			-67.491	92.969	-474.579	0.087	0.105	0.408	0.012	488.286	13.432	1	1															1	F	Passing			
A002C0044_20220421224612_0001.MOV	    470	   0.1307			-66.368	90.969	-472.812	0.086	0.104	0.405	0.034	486.036	13.220	1	1															2	AD	Passing			
