3D Point Measurements																																			
																																			
Generated: Friday 13 May 2022 11:57:26																																			
																																			
Filename	Frame	Time (mins)	Period	Period time (mins)	X (mm)	Y (mm)	Z (mm)	sX (mm)	sY (mm)	sZ (mm)	RMS (mm)	Range (mm)	Direction (deg)	OpCode	TapeReader	Depth	Comment									Family	Genus	Species	Code	Number	Stage	Activity	Comment		
A002C0044_20220421224612_0002.MOV	0	0.0000			44.584	26.216	-569.514	0.094	0.087	0.586	0.299	571.858	5.082	1	1															1	F	Passing			
A002C0044_20220421224612_0002.MOV	0	0.0000			42.168	23.163	-566.075	0.092	0.086	0.578	0.396	568.116	4.757	1	1															2	AD	Passing			
A002C0044_20220421224612_0002.MOV	0	0.0000			40.335	20.812	-562.607	0.091	0.085	0.571	0.436	564.435	4.516	1	1															3	AD	Passing			
A002C0044_20220421224612_0002.MOV	0	0.0000			-16.706	-47.275	-490.963	0.073	0.081	0.435	0.436	493.517	6.038	1	1															16	AD	Passing			
A002C0044_20220421224612_0002.MOV	0	0.0000			-1.016	-32.231	-506.404	0.074	0.078	0.463	0.469	507.430	3.862	1	1															13	AD	Passing			
A002C0044_20220421224612_0002.MOV	0	0.0000			-2.764	-31.900	-509.239	0.075	0.078	0.468	0.544	510.245	3.816	1	1															13.2	AD	Passing			
A002C0044_20220421224612_0002.MOV	0	0.0000			16.922	10.490	-373.012	0.057	0.055	0.256	0.239	373.543	2.946	1	1															0	J	Passing			
A002C0044_20220421224612_0002.MOV	10	0.0028			16.161	1.334	-378.947	0.057	0.055	0.264	0.269	379.293	2.442	1	1															0	J	Passing			
A002C0044_20220421224612_0002.MOV	10	0.0028			48.860	25.411	-561.194	0.094	0.086	0.569	0.404	563.890	5.507	1	1															1	F	Passing			
A002C0044_20220421224612_0002.MOV	10	0.0028			46.772	22.185	-558.078	0.093	0.084	0.563	0.471	560.474	5.210	1	1															2	AD	Passing			
A002C0044_20220421224612_0002.MOV	10	0.0028			45.133	19.536	-555.373	0.091	0.083	0.558	0.464	557.547	4.978	1	1															3	AD	Passing			
A002C0044_20220421224612_0002.MOV	10	0.0028			4.129	-33.643	-498.012	0.073	0.077	0.448	0.502	499.164	4.111	1	1															13	AD	Passing			
A002C0044_20220421224612_0002.MOV	10	0.0028			-11.417	-47.543	-482.163	0.071	0.080	0.420	0.438	484.636	6.003	1	1															16	AD	Passing			
A002C0044_20220421224612_0002.MOV	10	0.0028			2.161	-32.323	-501.335	0.074	0.077	0.454	0.543	502.381	3.915	1	1															13.2	AD	Passing			
A002C0044_20220421224612_0002.MOV	20	0.0056			17.546	-5.578	-378.161	0.057	0.055	0.263	0.272	378.608	2.861	1	1															0	J	Passing			
A002C0044_20220421224612_0002.MOV	20	0.0056			53.235	23.374	-554.291	0.095	0.084	0.556	0.345	557.332	5.903	1	1															1	F	Passing			
A002C0044_20220421224612_0002.MOV	20	0.0056			51.057	20.206	-550.614	0.093	0.083	0.549	0.315	553.345	5.618	1	1															2	AD	Passing			
A002C0044_20220421224612_0002.MOV	20	0.0056			49.862	17.609	-548.150	0.092	0.082	0.544	0.376	550.695	5.441	1	1															3	AD	Passing			
A002C0044_20220421224612_0002.MOV	20	0.0056			9.561	-35.947	-490.217	0.072	0.077	0.435	0.445	491.627	4.551	1	1															13	AD	Passing			
A002C0044_20220421224612_0002.MOV	20	0.0056			7.072	-33.822	-492.228	0.072	0.076	0.439	0.470	493.440	4.229	1	1															13.2	AD	Passing			
A002C0044_20220421224612_0002.MOV	20	0.0056			-5.417	-49.058	-471.974	0.069	0.079	0.404	0.512	474.548	6.187	1	1															16	AD	Passing			
A002C0044_20220421224612_0002.MOV	30	0.0083			19.123	-6.206	-365.595	0.056	0.054	0.246	0.216	366.147	3.222	1	1															0	J	Passing			
A002C0044_20220421224612_0002.MOV	30	0.0083			56.293	19.443	-545.426	0.095	0.082	0.539	0.567	548.668	6.164	1	1															1	F	Passing			
A002C0044_20220421224612_0002.MOV	30	0.0083			54.129	16.290	-543.229	0.094	0.081	0.535	0.381	546.162	5.881	1	1															2	AD	Passing			
A002C0044_20220421224612_0002.MOV	30	0.0083			52.770	13.446	-540.432	0.092	0.080	0.529	0.541	543.169	5.704	1	1															3	AD	Passing			
A002C0044_20220421224612_0002.MOV	30	0.0083			13.225	-40.108	-482.606	0.072	0.077	0.422	0.578	484.451	5.209	1	1															13	AD	Passing			
A002C0044_20220421224612_0002.MOV	30	0.0083			11.319	-37.275	-483.697	0.072	0.076	0.424	0.487	485.263	4.814	1	1															13.2	AD	Passing			
A002C0044_20220421224612_0002.MOV	30	0.0083			-0.744	-52.683	-463.646	0.068	0.079	0.390	0.432	466.630	6.702	1	1															16	AD	Passing			
A002C0044_20220421224612_0002.MOV	40	0.0111			18.392	-1.110	-369.982	0.056	0.054	0.252	0.262	370.441	2.872	1	1															0	J	Passing			
A002C0044_20220421224612_0002.MOV	40	0.0111			57.572	15.186	-538.622	0.094	0.080	0.526	0.468	541.903	6.256	1	1															1	F	Passing			
A002C0044_20220421224612_0002.MOV	40	0.0111			55.411	11.820	-534.328	0.093	0.079	0.518	0.379	537.323	6.011	1	1															2	AD	Passing			
A002C0044_20220421224612_0002.MOV	40	0.0111			54.255	8.781	-532.884	0.092	0.078	0.515	0.512	535.710	5.858	1	1															3	AD	Passing			
A002C0044_20220421224612_0002.MOV	40	0.0111			15.099	-45.229	-474.984	0.071	0.078	0.410	0.433	477.372	5.940	1	1															13	AD	Passing			
A002C0044_20220421224612_0002.MOV	40	0.0111			13.463	-41.868	-475.535	0.071	0.077	0.410	0.537	477.564	5.492	1	1															13.2	AD	Passing			
A002C0044_20220421224612_0002.MOV	40	0.0111			2.627	-57.799	-454.811	0.067	0.080	0.376	0.523	458.477	7.468	1	1															16	AD	Passing			
A002C0044_20220421224612_0002.MOV	50	0.0139			18.760	0.396	-364.078	0.055	0.053	0.244	0.336	364.561	2.954	1	1															0	J	Passing			
A002C0044_20220421224612_0002.MOV	50	0.0139			56.930	13.500	-530.456	0.093	0.078	0.511	0.402	533.673	6.247	1	1															1	F	Passing			
A002C0044_20220421224612_0002.MOV	50	0.0139			54.876	10.219	-527.322	0.091	0.077	0.505	0.442	530.268	6.006	1	1															2	AD	Passing			
A002C0044_20220421224612_0002.MOV	50	0.0139			53.443	7.076	-524.517	0.090	0.077	0.499	0.447	527.280	5.844	1	1															3	AD	Passing			
A002C0044_20220421224612_0002.MOV	50	0.0139			15.369	-48.293	-467.849	0.070	0.078	0.398	0.494	470.586	6.391	1	1															13	AD	Passing			
A002C0044_20220421224612_0002.MOV	50	0.0139			14.563	-44.745	-467.045	0.070	0.076	0.396	0.549	469.409	5.961	1	1															13.2	AD	Passing			
A002C0044_20220421224612_0002.MOV	50	0.0139			3.841	-60.955	-447.809	0.066	0.080	0.365	0.507	451.955	7.985	1	1															16	AD	Passing			
A002C0044_20220421224612_0002.MOV	60	0.0167			11.561	5.410	-364.228	0.055	0.053	0.244	0.172	364.452	1.925	1	1															0	J	Passing			
A002C0044_20220421224612_0002.MOV	60	0.0167			54.948	16.103	-520.803	0.090	0.077	0.493	0.374	523.941	6.216	1	1															1	F	Passing			
A002C0044_20220421224612_0002.MOV	60	0.0167			52.752	12.831	-519.037	0.089	0.076	0.489	0.294	521.869	5.923	1	1															2	AD	Passing			
A002C0044_20220421224612_0002.MOV	60	0.0167			51.256	9.428	-516.940	0.088	0.076	0.485	0.427	519.560	5.721	1	1															3	AD	Passing			
A002C0044_20220421224612_0002.MOV	60	0.0167			13.079	-47.215	-460.414	0.069	0.076	0.385	0.540	463.013	6.285	1	1															13	AD	Passing			
A002C0044_20220421224612_0002.MOV	60	0.0167			13.672	-43.842	-460.352	0.069	0.075	0.385	0.455	462.637	5.906	1	1															13.2	AD	Passing			
A002C0044_20220421224612_0002.MOV	60	0.0167			2.986	-60.497	-440.038	0.065	0.079	0.353	0.464	444.187	8.056	1	1															16	AD	Passing			
A002C0044_20220421224612_0002.MOV	70	0.0195			5.204	6.909	-367.876	0.055	0.054	0.249	0.222	367.978	1.180	1	1															0	J	Passing			
A002C0044_20220421224612_0002.MOV	70	0.0195			52.578	22.549	-511.623	0.088	0.077	0.476	0.474	514.811	6.297	1	1															1	F	Passing			
A002C0044_20220421224612_0002.MOV	70	0.0195			50.295	18.789	-507.211	0.086	0.076	0.468	0.338	510.045	5.969	1	1															2	AD	Passing			
A002C0044_20220421224612_0002.MOV	70	0.0195			48.692	15.598	-506.586	0.085	0.075	0.466	0.350	509.160	5.700	1	1															3	AD	Passing			
A002C0044_20220421224612_0002.MOV	70	0.0195			10.787	-43.241	-452.789	0.067	0.074	0.373	0.426	454.977	5.833	1	1															13	AD	Passing			
A002C0044_20220421224612_0002.MOV	70	0.0195			11.988	-40.112	-451.183	0.067	0.072	0.370	0.460	453.121	5.511	1	1															13.2	AD	Passing			
A002C0044_20220421224612_0002.MOV	70	0.0195			1.256	-57.082	-431.891	0.064	0.076	0.340	0.489	435.649	7.749	1	1															16	AD	Passing			
A002C0044_20220421224612_0002.MOV	80	0.0222			-3.627	5.660	-372.464	0.056	0.055	0.255	0.264	372.525	0.858	1	1															0	J	Passing			
A002C0044_20220421224612_0002.MOV	80	0.0222			50.755	27.684	-499.525	0.085	0.077	0.454	0.443	502.859	6.500	1	1															1	F	Passing			
A002C0044_20220421224612_0002.MOV	80	0.0222			48.628	24.175	-496.602	0.083	0.076	0.449	0.283	499.563	6.147	1	1															2	AD	Passing			
A002C0044_20220421224612_0002.MOV	80	0.0222			46.936	20.688	-495.288	0.082	0.075	0.446	0.330	497.937	5.828	1	1															3	AD	Passing			
A002C0044_20220421224612_0002.MOV	80	0.0222			8.453	-39.592	-444.805	0.066	0.071	0.360	0.489	446.644	5.414	1	1															13	AD	Passing			
A002C0044_20220421224612_0002.MOV	80	0.0222			10.729	-37.308	-443.810	0.066	0.070	0.359	0.540	445.505	5.209	1	1															13.2	AD	Passing			
A002C0044_20220421224612_0002.MOV	80	0.0222			-0.461	-54.234	-425.100	0.063	0.073	0.329	0.604	428.546	7.489	1	1															16	AD	Passing			
A002C0044_20220421224612_0002.MOV	90	0.0250			-9.741	-0.126	-373.397	0.056	0.054	0.256	0.292	373.524	1.513	1	1															0	J	Passing			
