3D Point Measurements

Generated: Monday 17 July 2023 15:52:08

Filename	Frame	Time (mins)	Period	Period time (mins)	X (mm)	Y (mm)	Z (mm)	sX (mm)	sY (mm)	sZ (mm)	RMS (mm)	Range (mm)	Direction (deg)	OpCode	TapeReader	Depth	Comment									Family	Genus	Species	Code	Number	Stage	Activity	Comment		
A002C0053_20220421225858_0001.MOV	    614	   0.1707			-120.634	10.418	-409.460	0.101	0.060	0.312	0.144	426.987	16.456	1	1															0	J	Passing			
A002C0053_20220421225858_0001.MOV	    614	   0.1707			-79.540	-6.947	-424.055	0.082	0.061	0.327	0.086	431.506	10.684	1	1															1	F	Passing			
A002C0053_20220421225858_0001.MOV	    614	   0.1707			110.569	-21.324	-340.388	0.081	0.052	0.233	0.111	358.531	18.348	1	1															2	AD	Passing			
A002C0053_20220421225858_0001.MOV	    639	   0.1777			-85.771	9.043	-393.525	0.079	0.058	0.284	0.000	402.865	12.341	1	1															0	J	Passing			
A002C0053_20220421225858_0001.MOV	    639	   0.1777			-85.794	-3.575	-416.718	0.084	0.060	0.317	0.071	425.473	11.655	1	1															1	F	Passing			
A002C0053_20220421225858_0001.MOV	    639	   0.1777			110.853	-32.081	-356.062	0.085	0.057	0.251	0.300	374.297	18.020	1	1															2	AD	Passing			
A002C0053_20220421225858_0001.MOV	    659	   0.1832			-53.274	-4.518	-393.071	0.067	0.057	0.282	0.110	396.690	7.767	1	1															0	J	Passing			
A002C0053_20220421225858_0001.MOV	    659	   0.1832			-85.752	-14.089	-420.253	0.085	0.061	0.322	0.082	429.144	11.721	1	1															1	F	Passing			
A002C0053_20220421225858_0001.MOV	    659	   0.1832			118.213	-42.526	-383.351	0.095	0.064	0.288	0.542	403.411	18.220	1	1															2	AD	Passing			
A002C0053_20220421225858_0001.MOV	    679	   0.1888			-22.310	-12.600	-394.740	0.060	0.058	0.284	0.128	395.571	3.826	1	1															0	J	Passing			
A002C0053_20220421225858_0001.MOV	    679	   0.1888			-85.955	-18.434	-429.598	0.087	0.063	0.336	0.234	438.500	11.613	1	1															1	F	Passing			
A002C0053_20220421225858_0001.MOV	    679	   0.1888			120.460	-41.021	-408.010	0.103	0.067	0.321	0.515	427.393	17.394	1	1															2	AD	Passing			
A002C0053_20220421225858_0001.MOV	    699	   0.1944			5.627	-15.641	-397.176	0.059	0.059	0.289	0.230	397.524	2.603	1	1															0	J	Passing			
A002C0053_20220421225858_0001.MOV	    699	   0.1944			-88.129	-16.331	-446.517	0.091	0.066	0.362	0.189	455.424	11.392	1	1															1	F	Passing			
A002C0053_20220421225858_0001.MOV	    699	   0.1944			116.950	-42.883	-427.208	0.105	0.071	0.347	0.381	444.997	16.332	1	1															2	AD	Passing			
A002C0053_20220421225858_0001.MOV	    719	   0.1999			27.843	-17.439	-398.854	0.062	0.059	0.292	0.279	400.204	4.828	1	1															0	J	Passing			
A002C0053_20220421225858_0001.MOV	    719	   0.1999			-94.617	-8.654	-462.817	0.098	0.067	0.388	0.055	472.469	11.623	1	1															1	F	Passing			
A002C0053_20220421225858_0001.MOV	    719	   0.1999			106.895	-46.204	-431.425	0.100	0.072	0.351	0.277	446.866	15.194	1	1															2	AD	Passing			
A002C0053_20220421225858_0001.MOV	    739	   0.2055			45.972	-30.637	-399.918	0.067	0.062	0.295	0.367	403.716	7.988	1	1															0	J	Passing			
A002C0053_20220421225858_0001.MOV	    739	   0.2055			-105.221	-8.701	-481.885	0.108	0.070	0.420	0.104	493.316	12.378	1	1															1	F	Passing			
A002C0053_20220421225858_0001.MOV	    739	   0.2055			90.874	-62.466	-432.085	0.092	0.079	0.349	0.407	445.935	14.442	1	1															2	AD	Passing			
A002C0053_20220421225858_0001.MOV	    759	   0.2110			73.599	-48.574	-394.771	0.076	0.067	0.291	0.418	404.501	12.714	1	1															0	J	Passing			
A002C0053_20220421225858_0001.MOV	    759	   0.2110			-106.350	-15.094	-496.086	0.112	0.072	0.445	0.073	507.582	12.250	1	1															1	F	Passing			
A002C0053_20220421225858_0001.MOV	    759	   0.2110			83.403	-79.630	-425.306	0.086	0.087	0.338	0.388	440.661	15.321	1	1															2	AD	Passing			
A002C0053_20220421225858_0001.MOV	    779	   0.2166			113.366	-55.261	-376.773	0.091	0.067	0.278	0.649	397.321	18.604	1	1															0	J	Passing			
A002C0053_20220421225858_0001.MOV	    779	   0.2166			-92.244	-9.393	-497.579	0.104	0.072	0.446	0.103	506.144	10.580	1	1															1	F	Passing			
A002C0053_20220421225858_0001.MOV	    779	   0.2166			87.673	-84.001	-414.801	0.086	0.087	0.324	0.555	432.206	16.468	1	1															2	AD	Passing			
