3D Point Measurements

Generated: Tuesday 23 May 2023 11:15:09

Filename	Frame	Time (mins)	Period	Period time (mins)	X (mm)	Y (mm)	Z (mm)	sX (mm)	sY (mm)	sZ (mm)	RMS (mm)	Range (mm)	Direction (deg)	OpCode	TapeReader	Depth	Comment									Family	Genus	Species	Code	Number	Stage	Activity	Comment		
A002C0073_20220422223852_0001.MOV	    366	   0.1018			-3.859	-58.993	-457.045	0.067	0.081	0.379	0.418	460.853	7.588	1	1															0	J	Passing			
A002C0073_20220422223852_0001.MOV	    366	   0.1018			20.022	1.554	-502.699	0.076	0.073	0.457	0.012	503.100	2.281	1	1															1	F	Passing			
A002C0073_20220422223852_0001.MOV	    366	   0.1018			17.606	4.319	-502.736	0.075	0.073	0.457	0.185	503.063	2.024	1	1															2	AD	Passing			
A002C0073_20220422223852_0001.MOV	    396	   0.1101			-0.377	-60.072	-442.406	0.065	0.079	0.356	0.375	446.466	7.951	1	1															0	J	Passing			
A002C0073_20220422223852_0001.MOV	    396	   0.1101			20.651	-3.147	-493.751	0.074	0.072	0.442	0.214	494.192	2.465	1	1															1	F	Passing			
A002C0073_20220422223852_0001.MOV	    396	   0.1101			18.305	-0.257	-494.351	0.074	0.072	0.443	0.234	494.690	2.135	1	1															2	AD	Passing			
A002C0073_20220422223852_0001.MOV	    426	   0.1185			4.743	-59.832	-423.556	0.063	0.076	0.327	0.428	427.787	8.283	1	1															0	J	Passing			
A002C0073_20220422223852_0001.MOV	    426	   0.1185			23.195	-6.155	-478.903	0.073	0.070	0.416	0.291	479.504	2.932	1	1															1	F	Passing			
A002C0073_20220422223852_0001.MOV	    426	   0.1185			20.603	-3.633	-478.946	0.072	0.069	0.416	0.218	479.403	2.548	1	1															2	AD	Passing			
A002C0073_20220422223852_0001.MOV	    456	   0.1268			2.210	-59.377	-404.909	0.060	0.072	0.300	0.409	409.246	8.567	1	1															0	J	Passing			
A002C0073_20220422223852_0001.MOV	    456	   0.1268			17.972	-8.631	-464.268	0.070	0.068	0.392	0.195	464.695	2.561	1	1															1	F	Passing			
A002C0073_20220422223852_0001.MOV	    456	   0.1268			15.233	-6.373	-464.228	0.069	0.067	0.391	0.351	464.522	2.131	1	1															2	AD	Passing			
A002C0073_20220422223852_0001.MOV	    486	   0.1351			0.147	-56.585	-397.914	0.059	0.070	0.290	0.418	401.917	8.312	1	1															0	J	Passing			
A002C0073_20220422223852_0001.MOV	    486	   0.1351			12.975	-8.927	-461.010	0.069	0.067	0.386	0.407	461.279	2.088	1	1															1	F	Passing			
A002C0073_20220422223852_0001.MOV	    486	   0.1351			10.327	-6.518	-461.092	0.068	0.067	0.386	0.209	461.254	1.644	1	1															2	AD	Passing			
A002C0073_20220422223852_0001.MOV	    516	   0.1435			0.019	-52.342	-398.288	0.059	0.068	0.290	0.443	401.713	7.705	1	1															0	J	Passing			
A002C0073_20220422223852_0001.MOV	    516	   0.1435			11.064	-8.165	-466.739	0.069	0.068	0.395	0.297	466.941	1.826	1	1															1	F	Passing			
A002C0073_20220422223852_0001.MOV	    516	   0.1435			8.380	-5.693	-467.183	0.069	0.068	0.396	0.289	467.292	1.377	1	1															2	AD	Passing			
A002C0073_20220422223852_0001.MOV	    546	   0.1518			1.248	-40.368	-401.218	0.060	0.065	0.294	0.248	403.245	5.966	1	1															0	J	Passing			
A002C0073_20220422223852_0001.MOV	    546	   0.1518			10.322	1.463	-474.026	0.070	0.069	0.407	0.307	474.141	1.248	1	1															1	F	Passing			
A002C0073_20220422223852_0001.MOV	    546	   0.1518			7.232	3.628	-473.976	0.070	0.069	0.407	0.172	474.045	0.901	1	1															2	AD	Passing			
A002C0073_20220422223852_0001.MOV	    576	   0.1602			-6.590	-33.038	-406.426	0.060	0.063	0.302	0.269	407.820	4.953	1	1															0	J	Passing			
A002C0073_20220422223852_0001.MOV	    576	   0.1602			-0.239	4.979	-484.966	0.071	0.070	0.425	0.293	484.992	0.371	1	1															1	F	Passing			
A002C0073_20220422223852_0001.MOV	    576	   0.1602			-3.419	7.049	-484.610	0.071	0.071	0.425	0.224	484.674	0.736	1	1															2	AD	Passing			
A002C0073_20220422223852_0001.MOV	    606	   0.1685			-0.552	-13.100	-405.738	0.060	0.060	0.301	0.288	405.950	2.069	1	1															0	J	Passing			
A002C0073_20220422223852_0001.MOV	    606	   0.1685			6.414	20.945	-489.324	0.072	0.074	0.433	0.161	489.814	2.355	1	1															0	J	Passing			
A002C0073_20220422223852_0001.MOV	    606	   0.1685			3.345	23.042	-489.633	0.072	0.074	0.434	0.132	490.186	2.507	1	1															2	AD	Passing			
A002C0073_20220422223852_0001.MOV	    636	   0.1768			4.747	5.527	-402.773	0.060	0.059	0.297	0.220	402.839	0.882	1	1															0	J	Passing			
A002C0073_20220422223852_0001.MOV	    636	   0.1768			13.573	35.775	-491.789	0.073	0.078	0.438	0.008	493.276	4.245	1	1															1	F	Passing			
A002C0073_20220422223852_0001.MOV	    636	   0.1768			10.662	37.769	-491.127	0.073	0.079	0.437	0.002	492.692	4.359	1	1															2	AD	Passing			
