3D Point Measurements

Generated: Wednesday 05 July 2023 16:58:22

Filename	Frame	Time (mins)	Period	Period time (mins)	X (mm)	Y (mm)	Z (mm)	sX (mm)	sY (mm)	sZ (mm)	RMS (mm)	Range (mm)	Direction (deg)	OpCode	TapeReader	Depth	Comment									Family	Genus	Species	Code	Number	Stage	Activity	Comment		
A002C0079_20220422224739_0001.MOV	    421	   0.1171			-70.884	50.500	-608.866	0.113	0.104	0.661	0.014	615.055	8.010	1	1															0	J	Passing			
A002C0079_20220422224739_0001.MOV	    421	   0.1171			90.578	33.717	-475.919	0.101	0.076	0.418	0.167	485.633	11.405	1	1															1	F	Passing			
A002C0079_20220422224739_0001.MOV	    421	   0.1171			-21.334	-78.626	-484.033	0.073	0.096	0.424	0.074	490.841	9.765	1	1															2	AD	Passing			
A002C0079_20220422224739_0001.MOV	    441	   0.1226			-75.758	62.583	-602.789	0.115	0.111	0.649	0.182	610.746	9.121	1	1															0	J	Passing			
A002C0079_20220422224739_0001.MOV	    441	   0.1226			89.317	49.069	-481.833	0.101	0.083	0.428	0.001	492.491	11.838	1	1															1	F	Passing			
A002C0079_20220422224739_0001.MOV	    441	   0.1226			-40.771	-50.214	-474.529	0.076	0.080	0.407	0.030	478.917	7.933	1	1															2	AD	Passing			
A002C0079_20220422224739_0001.MOV	    461	   0.1282			-83.181	56.781	-606.139	0.120	0.107	0.656	0.024	614.449	9.312	1	1															0	J	Passing			
A002C0079_20220422224739_0001.MOV	    461	   0.1282			86.269	48.171	-493.781	0.102	0.084	0.448	0.016	503.570	11.211	1	1															1	F	Passing			
A002C0079_20220422224739_0001.MOV	    461	   0.1282			-36.318	-45.655	-458.584	0.072	0.075	0.381	0.033	462.279	7.422	1	1															2	AD	Passing			
A002C0079_20220422224739_0001.MOV	    481	   0.1337			-90.127	41.390	-610.321	0.126	0.099	0.665	0.094	618.327	9.141	1	1															0	J	Passing			
A002C0079_20220422224739_0001.MOV	    481	   0.1337			84.144	37.345	-506.961	0.103	0.082	0.471	0.055	515.252	10.206	1	1															1	F	Passing			
A002C0079_20220422224739_0001.MOV	    481	   0.1337			-20.832	-52.592	-446.853	0.067	0.076	0.362	0.008	450.419	7.418	1	1															2	AD	Passing			
A002C0079_20220422224739_0001.MOV	    501	   0.1393			-92.894	37.331	-612.016	0.128	0.098	0.668	0.043	620.150	9.211	1	1															0	J	Passing			
A002C0079_20220422224739_0001.MOV	    501	   0.1393			87.142	39.433	-515.206	0.107	0.084	0.486	0.018	524.010	10.429	1	1															1	F	Passing			
A002C0079_20220422224739_0001.MOV	    501	   0.1393			1.163	-43.793	-430.011	0.064	0.070	0.337	0.046	432.237	6.035	1	1															2	AD	Passing			
A002C0079_20220422224739_0001.MOV	    521	   0.1449			-92.902	46.762	-616.082	0.129	0.103	0.677	0.023	624.800	9.486	1	1															0	J	Passing			
A002C0079_20220422224739_0001.MOV	    521	   0.1449			93.813	59.402	-517.615	0.112	0.094	0.491	0.056	529.391	11.992	1	1															1	F	Passing			
A002C0079_20220422224739_0001.MOV	    521	   0.1449			21.404	-41.563	-402.163	0.061	0.065	0.297	0.028	404.872	6.826	1	1															2	AD	Passing			
A002C0079_20220422224739_0001.MOV	    541	   0.1504			-93.410	49.632	-617.667	0.130	0.105	0.681	0.014	626.659	9.617	1	1															0	J	Passing			
A002C0079_20220422224739_0001.MOV	    541	   0.1504			107.887	72.164	-518.721	0.121	0.103	0.496	0.054	534.714	13.928	1	1															1	F	Passing			
A002C0079_20220422224739_0001.MOV	    541	   0.1504			48.045	-56.379	-385.870	0.065	0.068	0.276	0.001	392.916	11.034	1	1															2	AD	Passing			
A002C0079_20220422224739_0001.MOV	    561	   0.1560			-105.061	43.581	-620.502	0.140	0.102	0.687	0.035	630.840	10.306	1	1															0	J	Passing			
A002C0079_20220422224739_0001.MOV	    561	   0.1560			108.363	71.315	-518.590	0.122	0.102	0.496	0.023	534.568	13.925	1	1															1	F	Passing			
A002C0079_20220422224739_0001.MOV	    561	   0.1560			53.319	-54.661	-395.123	0.068	0.069	0.289	0.094	402.434	11.095	1	1															2	AD	Passing			
A002C0079_20220422224739_0001.MOV	    581	   0.1616			-112.505	42.846	-620.072	0.146	0.102	0.687	0.020	631.650	10.911	1	1															0	J	Passing			
A002C0079_20220422224739_0001.MOV	    581	   0.1616			109.189	69.300	-514.513	0.121	0.100	0.489	0.119	530.517	13.993	1	1															1	F	Passing			
A002C0079_20220422224739_0001.MOV	    581	   0.1616			32.184	-49.426	-401.285	0.063	0.068	0.296	0.007	405.596	8.545	1	1															2	AD	Passing			
A002C0079_20220422224739_0001.MOV	    601	   0.1671			-128.407	35.684	-616.415	0.158	0.098	0.680	0.006	630.658	12.143	1	1															0	J	Passing			
A002C0079_20220422224739_0001.MOV	    601	   0.1671			99.252	64.419	-511.904	0.114	0.096	0.482	0.041	525.401	12.898	1	1															1	F	Passing			
A002C0079_20220422224739_0001.MOV	    601	   0.1671			7.724	-42.982	-406.693	0.061	0.066	0.303	0.043	409.031	6.344	1	1															2	AD	Passing			
