Species	TO	OL	LB	TW	WC
Brooksia rostrata	TO	OL	LB	Non-applicable	Non-applicable
Cyclosalpa affinis	Non-applicable	Non-applicable	Non-applicable	TW	No-WC
Cyclosalpa floridiana	Non-applicable	Non-applicable	Non-applicable	TW	No-WC
Cyclosalpa polae	Non-applicable	Non-applicable	Non-applicable	TW	WC
Cyclosalpa sewelli	Non-applicable	Non-applicable	Non-applicable	TW	WC
Cyclosalpa quadriluminis	Non-applicable	Non-applicable	Non-applicable	TW	No-WC
Iasis cylindrica	TO	OL	No-LB	Non-applicable	Non-applicable
Ihlea racovitzai	TO	OL	No-LB	Non-applicable	Non-applicable
Pegea bicaudata	No-TO	Non-applicable	Non-applicable	No-TW	Non-applicable
Pegea confoederata	No-TO	Non-applicable	Non-applicable	No-TW	Non-applicable
Ritteriella retracta	TO	OL	No-LB	Non-applicable	Non-applicable
Salpa aspera	TO	OL	No-LB	Non-applicable	Non-applicable
Salpa fusiformis	TO	OL	No-LB	Non-applicable	Non-applicable
Salpa maxima	TO	OL	No-LB	Non-applicable	Non-applicable
Salpa thompsoni	TO	OL	No-LB	Non-applicable	Non-applicable
Soestia zonaria	TO	OL	No-LB	Non-applicable	Non-applicable
Thalia democratica	TO	No-OL	Non-applicable	Non-applicable	Non-applicable
Thalia orientalis	TO	No-OL	Non-applicable	Non-applicable	Non-applicable
Thetys vagina	TO	No-OL	Non-applicable	Non-applicable	Non-applicable
