Filename,STEREO?,"Video name (or master, or left)",Secondary,Species,Architecture,Zooid number,optics,Speed range,Fluorescein?,Jet frames,Frontal CSA frame,DVZS frame,Scale Length mm,FPS,What was done,Comment,
E:\Kelly\WestPalmBeach2021\8July2021\Field\Z_stereo\Master\A001C0091_20210708142454_0001.MOV,Yes,A001C0091_20210708142454_0001,B003C0087_20210708142454_0001,short salp chain,,4,,No,No,No,No,No,,,,,
E:\Kelly\WestPalmBeach2021\8July2021\Field\Z_stereo\Master\A001C0093_20210708143858_0001.MOV,Yes,A001C0093_20210708143858_0001,B003C0089_20210708143858_0001,Iasis cylindrica,Linear,75,,"1-12s white string, 15-21 white string",No,No,No,No,,60,Speeds uploaded to Drive; zooid length & width,"yellowtail (?) no dye, helical",
E:\WestPalmBeach2021\9July2021\Field\Z_stereo\Master\A001C0113_20210709170400_0001.MOV,Yes,A001C0113_20210709170400_0001,B003C0109_20210709170400_0001,Brooksia rostrata,Bipinnate,34,,"36-40s, yellow stick as particle",No,No,75s,25s,,120,"Speeds uploaded to Drive, CSA Done moved to completed",,
E:\WestPalmBeach2021\9July2021\Field\Z_stereo\Master\A001C0114_20210709170545_0001.MOV,Yes,A001C0114_20210709170545_0001,B003C0110_20210709170546_0001,Brooksia rostrata,Bipinnate,33,,0-4,No,No,No,No,,120,Speeds uploaded to Drive,,
E:\WestPalmBeach2021\9July2021\Field\Z_stereo\Master\A001C0115_20210709170736_0001.MOV,Yes,A001C0115_20210709170736_0001,B003C0111_20210709170736_0001,Brooksia rostrata,Bipinnate,20,,"1-19s, white ball next to animal at beginning",No,No,8s,No,,120,"Speeds uploaded to Drive, CSA Done moved to completed",Can't confidently take zooid length & width,
E:\WestPalmBeach2021\9July2021\Field\Z_stereo\Master\A001C0122_20210709171630_0001.MOV,Yes,A001C0122_20210709171630_0001,B003C0118_20210709171631_0001,Iasis cylindrica,Linear,9,,3-6s with yellow string on right side,No,No,Maybe 9s,1s,,120,Speeds uploaded to Drive,weelia agg,
E:\WestPalmBeach2021\9July2021\Field\Z_stereo\Master\A001C0128_20210709172016_0001.MOV,Yes,A001C0128_20210709172016_0001_1,B003C0124_20210709172017_0001,Brooksia rostrata,Bipinnate,64,,119-123s with white circle,No,No,No,No,,120,Speeds uploaded to Drive,,
E:\WestPalmBeach2021\9July2021\Field\Z_stereo\Master\A001C0128_20210709172016_0001.MOV,Yes,A001C0128_20210709172016_0001_2,B003C0124_20210709172017_0001,Iasis cylindrica,Linear,73,,"0-5s with white circle in middle, 53-59s with yellow line]",No,No,33s,No,,120,Speeds uploaded to Drive,,
E:\WestPalmBeach2021\9July2021\Field\Z_stereo\Master\A001C0135_20210709181303_0001.MOV,Yes,A001C0135_20210709181303_0001,B003C0131_20210709181303_0001,Iasis cylindrica,Linear,55,,No,No,No,No,5-10s,,120,,Weelia agg; forward then back towards the end,
E:\WestPalmBeach2021\9July2021\Field\Z_stereo\Master\A001C0137_20210709181410_0001.MOV,Yes,A001C0137_20210709181410_0001,B003C0133_20210709181411_0001,Iasis cylindrica,Linear,58,,No,No,No,No,1-7s,,120,,Weelia agg (Joanna analyzed),
E:\WestPalmBeach2021\9July2021\Field\Z_stereo\Master\A001C0140_20210709181557_0001.MOV,Yes,A001C0140_20210709181557_0001,B003C0136_20210709181557_0001,Iasis cylindrica,Linear,31,,No,No,No,No,1s,,120,,Weelia agg,
E:\WestPalmBeach2021\9July2021\Field\Z_stereo\Master\A001C0143_20210709181838_0001.MOV,Yes,A001C0143_20210709181838_0001_1,B003C0139_20210709181838_0001,Brooksia rostrata,Bipinnate,11,,"1-8s, white particle in center of screen",No,No,10s,No,,120,"Speeds uploaded to Drive; zooid length & width, CSA Done moved to completed",,
