Video file,Type,FPS,Species,Architecture,Number of measurements,Timespan of measurements (s),Number of zooids,Mean zooid length (mm),Mean zooid width (mm),Pulsation rate (pulses/s),Mean swimming speed (mm/s)
A001C0113_20210709170400_0001,3D,120,Brooksia rostrata,Bipinnate,9,1.51,34,7.144,2.693,2.50,30.25
A001C0114_20210709170545_0001,3D,120,Brooksia rostrata,Bipinnate,9,1.5,33,6.902,3.4,3.00,28.32
A001C0143_20210709181838_0001_1,3D,120,Brooksia rostrata,Bipinnate,9,1.5,11,7.963,4.026,2.75,58.79
A001C0223_20210917230616_0001,3D,120,Brooksia rostrata,Bipinnate,9,1.51,35,4.363,2.306,2.56,34.83
A001C0294_20210920202610_0001,3D,120,Brooksia rostrata,Bipinnate,9,1.51,17,10.592,4.322,2.25,19.94
A001C0284_20210919222752_0001,3D,120,Ritteriella amboinensis,Bipinnate,7,1.17,47,13.449,7.488,2.80,68.65
A001C0288_20210919223646_0001,3D,120,Ritteriella amboinensis,Bipinnate,9,1.51,6,13.729,6.186,1.73,38.26
A001C0321_20210921220020_0001,3D,120,Ritteriella amboinensis,Bipinnate,7,1.17,2,69.473,33.031,0.75,52.9
A001C0322_20210921220127_0001,3D,120,Ritteriella amboinensis,Bipinnate,14,2.33,21,26.047,9.561,2.75,33.12
A001C0323_20210921220235_0001,3D,120,Ritteriella amboinensis,Bipinnate,15,2.5,21,22.705,10.298,2.20,22.47
A001C0331_20210921221849_0001,3D,120,Ritteriella amboinensis,Bipinnate,9,1.5,19,21.485,12.129,3.00,55.5
A001C0332_20210921222049_0001_2,3D,120,Ritteriella amboinensis,Bipinnate,7,1.17,19,20.047,13.747,1.50,35.01
A001C0332_20210921222049_0001_1,3D,120,Ritteriella amboinensis,Bipinnate,1,0.17,19,21.48,12.695,1.50,20.09
A002C0018_20220420225725_0001,3D,60,Ritteriella amboinensis,Bipinnate,8,2.67,10,22.403,11.767,1.14,56.31
A001C0348_20210922220852_0001,3D,120,Ritteriella sp.,Bipinnate,9,1.5,38,16.593,7.375,1.50,61.56
A001C0349_20210922220958_0001,3D,120,Ritteriella sp.,Bipinnate,20,3.34,31,23.682,16.25,1.25,33.81
A001C0349_20210922220958_0001,3D,120,Ritteriella sp.,Bipinnate,20,3.34,31,23.682,16.25,1.13,33.81
A001C0344_20210922220308_0001,3D,120,Cyclosalpa polae,Cluster,10,2.51,7,17.275,12.861,1.00,55.48
A002C0047_20220421225032_0001,3D,60,Cyclosalpa polae,Cluster,9,4.51,2,17.091,33.996,1.33,39.73
A001C0247_20210918223147_0001_1,3D,120,Cyclosalpa sewelli,Cluster,7,1.17,7,17.764,8.919,1.20,46.27
A001C0262_20210919202019_0001,3D,120,Cyclosalpa sewelli,Cluster,9,1.5,7,12.584,3.675,1.33,21.1
A001C0274_20210919203457_0001,3D,120,Cyclosalpa sewelli,Cluster,9,1.5,7,17.705,13.97,2.00,14.06
A001C0283_20210919222440_0001,3D,120,Cyclosalpa sewelli,Cluster,9,1.51,6,9.458,5.528,1.50,49.58
A001C0326_20210921220800_0001,3D,120,Cyclosalpa sewelli,Cluster,9,1.51,2,17.069,7.959,1.25,8.99
A001C0358_20210922222944_0001,3D,120,Cyclosalpa sewelli,Cluster,9,1.5,10,15.668,10.298,1.25,20.66
GX010177_Helicosalpa_Trim,2D,60,Helicosalpa virgula,Helical,7,1.2,60,11.5,6.4,3.33,49.86
A001C0093_20210708143858_0001,3D,60,Iasis cylindrica,Linear,9,3.01,75,4.011,2.27,2.75,49.83
A001C0143_20210709181838_0001_2,3D,120,Iasis cylindrica,Linear,6,1,49,4.399,3.081,3.00,48.77
A001C0147_20210709182345_0001,3D,120,Iasis cylindrica,Linear,9,1.5,30,NA,NA,2.17,43.2
A001C0164_20210709183900_0001_1,3D,120,Iasis cylindrica,Linear,13,2.21,44,NA,NA,3.00,51.55
A001C0164_20210709183900_0001_2,3D,120,Iasis cylindrica,Linear,9,1.5,9,NA,NA,5.00,36.22
A001C0165_20210709184012_0001_1,3D,120,Iasis cylindrica,Linear,9,1.5,24,NA,NA,2.75,48.29
A001C0165_20210709184012_0001_2,3D,120,Iasis cylindrica,Linear,9,1.5,89,NA,NA,2.75,59.7
A001C0166_20210709184051_0001_1,3D,120,Iasis cylindrica,Linear,9,1.5,94,NA,NA,3.00,38.18
A001C0167_20210709184129_0001,3D,120,Iasis cylindrica,Linear,9,1.5,19,12.936,6.246,3.25,52.55
A001C0169_20210709184226_0001,3D,120,Iasis cylindrica,Linear,8,1.33,13,NA,NA,3.00,101.65
A001C0170_20210709184247_0001_2,3D,120,Iasis cylindrica,Linear,9,1.5,46,NA,NA,5.78,58.74
A001C0171_20210709184313_0001_2,3D,120,Iasis cylindrica,Linear,9,1.58,153,4.387,3.277,1.83,40.03
A001C0171_20210709184313_0001_3,3D,120,Iasis cylindrica,Linear,10,1.67,72,4.384,2.968,1.83,66.49
A001C0172_20210709184345_0001_2,3D,120,Iasis cylindrica,Linear,9,1.5,10,8.295,4.276,4.00,81.51
A001C0173_20210709184408_0001,3D,120,Iasis cylindrica,Linear,10,1.67,25,12.964,6.301,5.50,74.5
A001C0173_20210709184408_0001,3D,120,Iasis cylindrica,Linear,10,1.67,9,12.964,6.301,5.50,74.5
A001C0178_20210709184853_0001,3D,120,Iasis cylindrica,Linear,9,1.5,47,11.129,3.892,3.88,49.01
A001C0179_20210709184957_0001,3D,120,Iasis cylindrica,Linear,9,1.51,11,12.45,5.628,2.33,71.53
A001C0192_20210710135057_0001,3D,120,Iasis cylindrica,Linear,9,1.5,3,8.197,3.8,5.00,73.47
A001C0279_20210919221855_0001,3D,120,Iasis cylindrica,Linear,9,1.5,12,7.079,2.363,4.67,45.89
A001C0336_20210921222915_0001,3D,120,Iasis cylindrica,Linear,9,1.5,17,11.806,5.368,4.00,58.15
A001C0339_20210921223812_0001,3D,120,Iasis cylindrica,Linear,9,1.5,12,10.575,5.944,2.57,96.65
A001C0346_20210922220601_0001,3D,120,Iasis cylindrica,Linear,18,3,36,7.753,5.053,4.80,79.08
A001C0346_20210922220601_0001,3D,120,Iasis cylindrica,Linear,18,3,36,7.753,5.053,3.89,79.08
A001C0354_20210922222311_0001,3D,120,Iasis cylindrica,Linear,9,1.54,19,10.264,6.371,2.83,102.18
A001C0355_20210922222503_0001,3D,120,Iasis cylindrica,Linear,7,1.18,77,7.307,4.041,4.17,53.07
A002C0044_20220421224612_0001_1,3D,60,Iasis cylindrica,Linear,9,3.01,120,6.143,2.546,2.67,56.34
A002C0044_20220421224612_0001_2,3D,60,Iasis cylindrica,Linear,14,2.33,17,12.401,5.106,3.25,69.39
A002C0045_20220421224748_0001,3D,60,Iasis cylindrica,Linear,5,1.67,88,9.587,5.544,2.67,61.48
A002C0078_20220422224659_0001,3D,60,Iasis cylindrica,Linear,9,3.01,60,7.767,4.856,5.40,43.76
A002C0079_20220422224739_0001,3D,60,Iasis cylindrica,Linear,9,3,51,NA,NA,NA,35
A002C0089_20220422230510_0001,3D,60,Iasis cylindrica,Linear,9,3,9,9.326,5.86,5.33,54.97
A001C0353_20210922221657_0001,3D,120,Metcalfina hexagona,Linear,9,1.5,7,10.879,6.975,3.00,71.25
A002C0035_20220421223821_0001,3D,60,Metcalfina hexagona,Linear,6,2,22,30.057,12.198,3.00,97.43
A002C0071_20220422223546_0001,3D,60,Metcalfina hexagona,Linear,18,6,9,28.887,17.127,2.10,71.69
A002C0071_20220422223546_0001,3D,60,Metcalfina hexagona,Linear,18,6,9,28.887,17.127,2.43,71.69
A002C0075_20220422224136_0001_1,3D,60,Metcalfina hexagona,Linear,6,2,23,28.519,12.844,2.46,131.25
A002C0075_20220422224136_0001_2,3D,60,Metcalfina hexagona,Linear,12,4,23,26.693,14.766,1.85,160.22
A002C0075_20220422224136_0001_2,3D,60,Metcalfina hexagona,Linear,12,4,23,26.693,14.766,2.20,160.22
A002C0076_20220422224245_0001,3D,60,Metcalfina hexagona,Linear,12,4.01,23,30.239,17.388,2.08,111.52
A002C0076_20220422224245_0001,3D,60,Metcalfina hexagona,Linear,12,4.01,23,30.239,17.388,2.10,111.52
A001C0334_20210921222327_0001,3D,120,Salpa aspera,Linear,9,1.5,8,27.926,14.631,2.50,145.45
A001C0335_20210921222656_0001,3D,120,Salpa aspera,Linear,9,1.5,8,30.132,15.661,2.33,110.41
A002C0042_20220421224445_0001,3D,60,Salpa aspera,Linear,6,2,7,24.502,18.494,1.78,118.8
A002C0053_20220421225858_0001,3D,60,Salpa aspera,Linear,8,2.75,29,19.568,11,2.40,102.55
A002C0062_20220421231037_0001,3D,60,Salpa aspera,Linear,9,3.01,2,41.084,15.521,1.29,88.33
A002C0080_20220422224908_0001,3D,60,Salpa aspera,Linear,8,2.66,6,28.543,10.405,2.86,117.07
A002C0081_20220422224921_0001,3D,60,Salpa aspera,Linear,8,2.67,6,26.068,8.932,1.60,117.48
