Specimen,Species,Architecture,Experiment,Date,Activity level,Zooid length (mm),Number of zooids,Colony volume (ml),Container volume (ml),Treatment,Timespan (min),Temperature range (°C),Gross respiration rate (mgO2/min),Control rate (mgO2/min),Net respiration rate (mgO2/min),Biovolume-corrected gross respiration rate (pgO2/min/ml),Biovolume-corrected net respiration rate (pgO2/min/ml)
D28-Bros-B-1,Brooksia rostrata,Bipinnate,15,6/27/22,Anesthetized,8,9,0.5,208,Anesthetized,150,1.7,0.00012,0.00008,0.00005,277.12,104.02
D35-Bros-B-1,Brooksia rostrata,Bipinnate,21,9/12/22,Anesthetized,4,22,0.2,208,Anesthetized,200,5.1,0.00007,0.00012,-0.00005,364,-245.14
D39-Bros-B-2,Brooksia rostrata,Bipinnate,23,9/14/22,Anesthetized,4,12,0.2,208,Anesthetized,240,0.8,0.0002,0.00009,0.00011,1005.12,556.5
D41-Bros-B-1,Brooksia rostrata,Bipinnate,24,9/15/22,Anesthetized,11,37,11.5,208,Anesthetized,270,0.5,-0.00011,0,-0.00011,-9.52,-9.65
D11-BR-B-1,Brooksia rostrata,Bipinnate,6,9/22/21,Moderate,10,14,7.4,208,Intact,295,2.3,-0.00023,-0.00002,-0.00021,-31.6,-28.89
D11-BR-B-2,Brooksia rostrata,Bipinnate,6,9/22/21,Moderate,7.5,32,8.9,208,Intact,295,2.3,-0.00029,-0.00002,-0.00027,-31.98,-29.73
D15-BR-B-1,Brooksia rostrata,Bipinnate,8,4/19/22,Moderate,10,8,0.8,208,Intact,123,1.5,0.00024,0.0001,0.00014,299.86,172.37
D15-BR-B-2,Brooksia rostrata,Bipinnate,8,4/19/22,Moderate,3,14,3.8,208,Intact,123,1.5,0.0004,0.0001,0.0003,106.39,79.28
D21-BR-B-1,Brooksia rostrata,Bipinnate,11,4/22/22,Moderate,4,14,0.2,208,Intact,150,1.2,0.00017,0.00006,0.00012,855.52,579.73
D25-BR-B-1,Brooksia rostrata,Bipinnate,13,4/25/22,Moderate,4,60,1,208,Intact,126,1.2,0.00019,0.00025,-0.00007,187.34,-67.12
D31-Bros-B-1,Brooksia rostrata,Bipinnate,18,6/30/22,Moderate,3,7,0.1,208,Intact,180,3,0.00005,-0.00003,0.00008,520,802.86
D7-BR-B-1,Brooksia rostrata,Bipinnate,4,9/20/21,Very active,7,28,8,208,Intact,300,NA,-0.0004,-0.00009,-0.00031,-49.29,-38.27
D7-BR-B-2,Brooksia rostrata,Bipinnate,4,9/20/21,Very active,8,24,7.9,208,Intact,300,NA,-0.00047,-0.00009,-0.00038,-59.17,-48
D7-BR-B-3,Brooksia rostrata,Bipinnate,4,9/20/21,Very active,8,19,7.1,208,Intact,300,NA,-0.00038,-0.00009,-0.00029,-53.27,-40.87
D29-Bros-B-1,Brooksia rostrata,Bipinnate,16,6/28/22,Active,6,8,0.2,208,Paired,120,2.2,0.00008,0.00006,0.00001,331.59,60.29
D29-Bros-B-1,Brooksia rostrata,Bipinnate,16,6/28/22,Active,6,8,0.2,208,Paired,90,0.2,-0.00017,-0.00002,-0.00015,-723.48,-640
D29-Bros-B-2,Brooksia rostrata,Bipinnate,16,6/28/22,Active,7,17,1.1,208,Paired,120,2.2,0.00011,0.00006,0.00005,100.85,44.12
D29-Bros-B-2,Brooksia rostrata,Bipinnate,16,6/28/22,Active,7,17,1.1,208,Paired,90,0.2,-0.00021,-0.00002,-0.0002,-195.39,-177.94
D31-Caff-B-1,Cyclosalpa affinis,Whorl,18,6/30/22,Anesthetized,32,8,5.5,208,Anesthetized,180,3,-0.00068,-0.00003,-0.00065,-122.91,-117.77
D31-Caff-B-2,Cyclosalpa affinis,Whorl,18,6/30/22,Anesthetized,32,6,8,208,Anesthetized,180,3,-0.00073,-0.00003,-0.0007,-90.69,-87.15
D11-CA-B-1,Cyclosalpa affinis,Whorl,6,9/22/21,Active,45,6,24.3,208,Intact,295,2.3,-0.00275,-0.00002,-0.00273,-113.22,-112.4
D13-CA-B-1,Cyclosalpa affinis,Whorl,7,9/23/21,Active,35,6,19.1,208,Intact,30,2,-0.00208,0.0001,-0.00218,-108.78,-113.8
D13-CA-B-2,Cyclosalpa affinis,Whorl,7,9/23/21,Active,35,6,19.1,208,Intact,105,0.8,-0.00188,-0.00025,-0.00163,-98.49,-85.46
D13-CA-B-3,Cyclosalpa affinis,Whorl,7,9/23/21,Active,35,6,19.1,208,Intact,156,1.6,-0.00137,-0.00006,-0.00131,-71.51,-68.28
D15-CAff-B-1,Cyclosalpa affinis,Whorl,8,4/19/22,Active,50,6,42,208,Intact,123,1.5,-0.00694,0.0001,-0.00704,-165.15,-167.58
D17-Caff-B-1,Cyclosalpa affinis,Whorl,9,4/20/22,Moderate,35,11,27.5,208,Intact,120,1.4,-0.00467,0.00009,-0.00476,-169.74,-173.09
D17-Caff-B-2,Cyclosalpa affinis,Whorl,9,4/20/22,Active,40,8,48,980,Intact,120,1.4,-0.00379,0.00009,-0.00389,-79.06,-80.98
D7-CA-B-1,Cyclosalpa affinis,Whorl,4,9/20/21,Moderate,40,4,21.4,208,Intact,300,NA,-0.00246,-0.00009,-0.00237,-114.72,-110.57
D32-Cbak-B-1,Cyclosalpa bakeri,Whorl,19,7/1/22,Anesthetized,12,5,1.3,208,Anesthetized,180,3.1,0.0002,0.00007,0.00013,150.48,97.73
D39-Cbak-B-1,Cyclosalpa bakeri,Whorl,23,9/14/22,Anesthetized,9,4,0.2,208,Anesthetized,240,0.8,0.00019,0.00009,0.0001,968.82,520.2
D19-Cbak-B-1,Cyclosalpa bakeri,Whorl,10,4/21/22,Moderate,12,6,3.6,208,Intact,120,1.2,-0.00003,0.00026,-0.0003,-9.52,-82.25
D37-Cbak-B-1,Cyclosalpa bakeri,Whorl,22,9/13/22,Low,10,8,1.5,208,Intact,180,0.3,-0.00014,0,-0.00014,-91.02,-93.65
D44-Cbak-B-1,Cyclosalpa bakeri,Whorl,27,5/6/23,Moderate,20,9,7,208,Paired,264,2.3,-0.00063,-0.00004,-0.00059,-90.69,-84.52
D44-Cbak-B-1,Cyclosalpa bakeri,Whorl,27,5/6/23,Moderate,20,9,7,208,Paired,155,0.7,-0.00004,0.00007,-0.00011,-5.8,-15.69
