Master,Secondary,Date_analyzed,Analyzed_by,Video_type,Species,Architecture,Zooid_measured,Timestamp_init,Timestamp_end,Duration_s,Frame_init,Frame_end,Frame_range,Number_of _pulses,Pulse_rate_p/s,
A002C0076_20220422224245_0001,B004C0076_20220422224248_0001,09/20/23,ADS,Stereo,Metcalfina hexagona,Linear,1,9.53,15.11,5.3,,,0,11,2.08,
A002C0071_20220422223546_0001,B004C0071_20220422223548_0001,09/25/23,ADS,Stereo,Metcalfina hexagona,Linear,1,0,7:23,7.14,,,,15,2.10,
A002C0019_20220420225823_0003,B004C0019_20220420225825_0003,09/25/23,ADS,Stereo,Salpa maxima,Linear,2,4:00:00,4:02:12,2.2,,,,2,0.91,
A002C0059_20220421230521_0001,B004C0059_20220421230524_0001,09/25/23,ADS,Stereo,Salpa fusiformis,Linear,1,5:09,9:15,4.1,,,,10,2.44,
A002C0075_20220422224136_0002,B004C0075_20220422224138_0002,09/25/23,ADS,Stereo,Metcalfina hexagona,Linear,1,0:00,4:52,4.87,,,,9,1.85,
GX010384,,09/28/23,ADS,gopro,Ritteriella amboinensis,Bipinnate,3,7,13,6,,,,9,1.50,
GX010390,,09/28/23,ADS,gopro,Ritteriella sp.,Bipinnate,4,9,13,4,,,,6,1.50,
A001C0113_20210709170400_0001,B003C0109_20210709170400_0001,10/12/23,KAW,Stereo,Brooksia rostrata,Bipinnate,1,36,40,4,,,,10,2.50,
A001C0093_20210708143858_0001,B003C0089_20210708143858_0001,10/12/23,KAW,Stereo,Iasis cylindrica,Linear,1,11,15,4,,,,11,2.75,
A001C0114_20210709170545_0001,B003C0110_20210709170546_0001,10/12/23,KAW,Stereo,Brooksia rostrata,Bipinnate,1,0,4,4,,,,12,3.00,
A001C0115_20210709170736_0001,B003C0111_20210709170736_0001,10/12/23,KAW,Stereo,Brooksia rostrata,Bipinnate,1,8,13,5,,,,13,2.60,
A001C0140_20210709181557_0001,B003C0136_20210709181557_0001,10/12/23,KAW,Stereo,Iasis cylindrica,Linear,1,0,5,5,,,,12,2.40,No speed data taken
A001C0143_20210709181838_0001,B003C0139_20210709181838_0001,10/12/23,KAW,Stereo,Iasis cylindrica,Linear,1,0,4,4,,,,11,2.75,
A001C0143_20210709181838_0001,B003C0139_20210709181838_0001,10/12/23,KAW,Stereo,Brooksia rostrata,Bipinnate,2,13,18,5,,,,15,3.00,
A001C0147_20210709182345_0001,B003C0143_20210709182345_0001,10/12/23,KAW,Stereo,Iasis cylindrica,Linear,1,7,13,6,,,,13,2.17,
A001C0148_20210709182423_0001,B003C0144_20210709182423_0001,10/12/23,KAW,Stereo,Iasis cylindrica,Linear,1,13,18,5,,,,12,2.40,
A001C0164_20210709183900_0001,B003C0160_20210709183900_0001,10/12/23,KAW,Stereo,Iasis cylindrica,Linear,1,0,6,6,,,,18,3.00,
A001C0164_20210709183900_0001,B003C0160_20210709183900_0001,10/12/23,KAW,Stereo,Iasis cylindrica,Linear,4,36,48,12,,,,60,5.00,Video won't load on Kai's laptop; use lab computer
A001C0165_20210709184012_0001,B003C0161_20210709184012_0001,10/12/23,KAW,Stereo,Iasis cylindrica,Linear,1,9,13,4,,,,11,2.75,
A001C0166_20210709184051_0001,B003C0162_20210709184051_0001,10/12/23,KAW,Stereo,Iasis cylindrica,Linear,1,10,13,3,,,,9,3.00,
A002C0095_20220422231109_0001,B004C0095_20220422231111_0001,10/12/23,KAW,Stereo,Salpa fusiformis,Linear,1,0,3,3,,,,6,2.00,
A002C0075_20220422224136_0002,B004C0075_20220422224138_0002,10/12/23,KAW,Stereo,Metcalfina hexagona,Linear,1,0,5,5,,,,11,2.20,
A002C0081_20220422224921_0001,B004C0081_20220422224924_0001,10/12/23,KAW,Stereo,Salpa aspera,Linear,1,0,5,5,,,,8,1.60,
A002C0054_20220421225936_0001,B004C0054_20220421225939_0001,10/12/23,KAW,Stereo,Salpa aspera,Linear,28,0,5,5,,,,11,2.20,No speed data taken
A001C0358_20210922222944_0001,B003C0334_20210922222945_0001,10/12/23,KAW,Stereo,Cyclosalpa sewelli,Cluster,5,0,4,4,,,,5,1.25,
A002C0089_20220422230510_0001,B004C0089_20220422230512_0001,10/12/23,KAW,Stereo,Iasis cylindrica,Linear,9,0,3,3,,,,16,5.33,
A001C0211_20210710142218_0001,B003C0207_20210710142218_0001,10/12/23,KAW,Stereo,Cyclosalpa bakeri,Whorl,3,0,5,5,,,,10,2.00,
A001C0357_20210922222753_0001,B003C0333_20210922222754_0001,10/12/23,KAW,Stereo,Soestia zonaria?,Linear,7,0,6,6,,,,11,1.83,
A002C0071_20220422223546_0001,B004C0071_20220422223548_0001,10/13/23,KAW,Stereo,Metcalfina hexagona,Linear,1,0,7,7,,,,17,2.43,
A001C0173_20210709184408_0001,B003C0169_20210709184408_0001,10/13/23,KAW,Stereo,Iasis cylindrica,Linear,1,3,5,2,,,,11,5.50,
A001C0277_20210919221557_0001,B003C0270_20210919221559_0001,10/13/23,KAW,Stereo,Iasis cylindrica,Linear,1,2,7,5,,,,22,4.40,
A001C0252_20210918223920_0001,B003C0249_20210918223921_0001,10/13/23,KAW,Stereo,Soestia zonaria,Linear,1,0,7,7,,,,8,1.14,
A002C0080_20220422224908_0001,B004C0080_20220422224910_0001,10/13/23,KAW,Stereo,Salpa aspera,Linear,1,1,8,7,,,,20,2.86,
