Iteration	Replicate_ID	Posterior	Likelihood	Prior	mu_morpho	pi[1]	pi[2]	r[1]	r[2]	r[3]	r[4]	r[5]	r[6]	r[7]	r[8]	rate_01	rate_10
0	0	-50.2595	-57.073	6.81346	0.09407371	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.5800353	0.9308614
1	1	-69.8155	-75.0911	5.27565	0.01079551	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	2.613559	0.8265813
2	0	-45.3209	-50.7042	5.38331	0.2639776	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.09972081	2.91099
3	1	-55.4924	-60.3785	4.88611	0.06110642	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.812481	2.031374
4	0	-42.9201	-48.9443	6.02417	0.6902648	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.68906	1.051646
5	1	-54.1574	-55.9963	1.83897	0.1091763	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	2.256805	5.156213
6	0	-42.9457	-49.0164	6.07071	0.7176574	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.8060015	0.8467253
7	1	-44.9602	-48.952	3.9918	0.6934191	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.489381	2.666275
8	0	-42.852	-49.2067	6.35465	0.7765996	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.6394969	0.6051581
9	1	-47.5775	-50.2805	2.70296	0.2911052	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	3.740512	2.427769
10	0	-41.9162	-49.4461	7.52993	0.36871	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.2956971	0.03570338
11	1	-46.3247	-50.3764	4.05173	1.023702	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	2.849589	0.8416841
12	0	-41.7982	-48.7845	6.98631	0.5605835	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.6888494	0.06115707
13	1	-44.007	-48.8114	4.80441	0.5215859	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.5686254	2.824454
14	0	-41.7842	-48.8268	7.04256	0.5106695	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.6271508	0.1153178
15	1	-42.4651	-48.8348	6.36976	0.6343184	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.4984894	0.8975113
16	0	-45.1875	-51.608	6.42047	0.2196142	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.584485	0.2447101
17	1	-43.9986	-49.3846	5.38594	0.8227563	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.538311	0.8042747
18	0	-41.8263	-49.2042	7.3779	0.4040521	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.3251195	0.1451454
19	1	-45.022	-50.2764	5.25439	0.2913935	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.720111	1.4114
20	0	-45.0752	-48.8376	3.76239	0.5042026	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.427717	4.226139
21	1	-45.3743	-48.8365	3.46225	0.6354711	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.6443062	4.210519
22	0	-43.6331	-49.091	5.45785	0.4252579	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.8994165	1.830647
23	1	-44.8399	-49.6268	4.78687	0.8782358	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.126453	1.863049
24	0	-46.0082	-49.0513	3.04313	0.7296073	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	4.550205	0.6913838
25	1	-43.7747	-48.7858	5.01104	0.5553617	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.44823	1.658742
26	0	-45.1672	-48.8676	3.70048	0.48935	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	4.554632	0.1905837
27	1	-44.7705	-48.9619	4.19141	0.4564247	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	2.902905	1.297243
28	0	-42.671	-48.9263	6.25537	0.4672907	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.372103	0.3588136
29	1	-45.8474	-48.7857	2.93838	0.5794082	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.785758	3.759251
30	0	-43.8203	-50.4604	6.64006	0.2789291	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.044405	0.4528667
31	1	-44.7162	-50.2286	5.51245	0.9970427	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.131636	0.8529727
32	0	-43.3355	-49.3603	6.02478	0.8167852	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.9391124	0.6502966
33	1	-42.7017	-48.8896	6.18796	0.4802904	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.7820182	1.013656
34	0	-44.4439	-50.8031	6.35917	1.09719	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.1941572	0.6635915
35	1	-44.0493	-50.0277	5.97835	0.3102758	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.4720327	1.775426
36	0	-42.0907	-49.1472	7.05644	0.4142194	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.339203	0.5015257
37	1	-42.9005	-48.8427	5.94228	0.5013894	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.618885	0.4440596
38	0	-43.3084	-48.786	5.47756	0.5801974	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.225186	1.297025
39	1	-45.7388	-52.1179	6.37916	0.1999046	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.090227	0.8115858
40	0	-46.6182	-49.5405	2.92224	0.3572708	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	3.949853	1.878722
41	1	-42.3214	-48.809	6.48754	0.6137126	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.4254036	0.8549509
42	0	-42.3514	-48.8535	6.50205	0.4959005	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.7655636	0.637736
43	1	-42.8671	-49.2832	6.41611	0.3913174	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.6638461	0.966194
44	0	-41.601	-48.8201	7.21902	0.515132	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.2506707	0.2764809
45	1	-43.2297	-48.8409	5.61116	0.6383495	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.7935144	1.500497
46	0	-43.5565	-49.8531	6.29662	0.3252836	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.5234952	1.327333
47	1	-44.4867	-49.071	4.58423	0.4294858	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.335613	2.429098
48	0	-42.0596	-49.1323	7.07266	0.4170387	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.6539101	0.1641584
49	1	-43.9751	-49.1875	5.21238	0.4069363	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.318309	1.725686
50	0	-43.0462	-48.7859	5.73974	0.554875	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	2.203706	0.0366261
51	1	-42.6488	-48.8344	6.18565	0.5060177	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.187618	0.5801785
52	0	-44.1836	-50.7941	6.61054	1.095686	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.1556174	0.4047724
53	1	-42.6744	-49.0075	6.33314	0.4442231	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.579233	0.08658601
54	0	-43.4274	-49.3699	5.94252	0.819161	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.8861392	0.7983463
55	1	-42.1265	-48.7845	6.65799	0.5607108	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.8838668	0.2567206
56	0	-44.3715	-49.7725	5.40097	0.9089615	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.5250941	1.697003
57	1	-42.0385	-49.0226	6.98406	0.4405214	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.3242084	0.5713597
58	0	-43.2511	-50.6558	7.40473	0.2668181	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.06803367	0.5336239
59	1	-50.5324	-51.7333	1.20095	1.245607	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	2.192913	4.626956
60	0	-44.8319	-51.4213	6.58948	1.197171	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.4194281	0.04524916
61	1	-42.2336	-48.8567	6.62307	0.4943553	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.1069659	1.154148
