Iteration	Posterior	Likelihood	Prior	mu_morpho	pi[1]	pi[2]	r[1]	r[2]	r[3]	r[4]	r[5]	r[6]	r[7]	r[8]	rate_01	rate_10
0	-69.8155	-75.0911	5.27565	0.01079551	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	2.613559	0.8265813
10	-55.4924	-60.3785	4.88611	0.06110642	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.812481	2.031374
20	-54.1574	-55.9963	1.83897	0.1091763	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	2.256805	5.156213
30	-44.9602	-48.952	3.9918	0.6934191	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.489381	2.666275
40	-47.5775	-50.2805	2.70296	0.2911052	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	3.740512	2.427769
50	-46.3247	-50.3764	4.05173	1.023702	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	2.849589	0.8416841
60	-44.007	-48.8114	4.80441	0.5215859	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.5686254	2.824454
70	-42.4651	-48.8348	6.36976	0.6343184	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.4984894	0.8975113
80	-43.9986	-49.3846	5.38594	0.8227563	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.538311	0.8042747
90	-45.022	-50.2764	5.25439	0.2913935	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.720111	1.4114
100	-45.3743	-48.8365	3.46225	0.6354711	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.6443062	4.210519
110	-44.8399	-49.6268	4.78687	0.8782358	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.126453	1.863049
120	-43.7747	-48.7858	5.01104	0.5553617	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.44823	1.658742
130	-44.7705	-48.9619	4.19141	0.4564247	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	2.902905	1.297243
140	-45.8474	-48.7857	2.93838	0.5794082	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.785758	3.759251
150	-44.7162	-50.2286	5.51245	0.9970427	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.131636	0.8529727
160	-42.7017	-48.8896	6.18796	0.4802904	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.7820182	1.013656
170	-44.0493	-50.0277	5.97835	0.3102758	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.4720327	1.775426
180	-42.9005	-48.8427	5.94228	0.5013894	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.618885	0.4440596
