Iteration	Replicate_ID	Posterior	Likelihood	Prior	bl	cw	ht	lb	lo	ol	ot	th	to	tw	wc	wt
0	0	-42.7414	-30.7414	-12	1	1	1	1	1	1	1	1	1	1	1	1
1	1	-42.7414	-30.7414	-12	1	1	1	1	1	1	1	1	1	1	1	1
2	0	-41.5497	-30.9297	-10.62	1	0.7133092	0.9623783	0.7232696	0.7306495	1	1.106767	0.543075	0.9481183	0.4173754	1.378704	1.096306
3	1	-44.4631	-30.8282	-13.6349	1.198656	0.902363	0.9566092	1.695893	2.446392	1.222817	0.5814426	0.9698222	1	1	0.6609527	1
4	0	-43.2509	-30.5052	-12.7458	0.7742286	0.8247713	1.302901	0.8338268	1.832396	1.178378	1.106767	0.874068	1.250065	0.3372132	1.863001	0.5681392
5	1	-45.6652	-30.9598	-14.7054	0.9388816	0.6333438	0.7666197	2.427662	2.421852	1.04879	0.5540425	1.561086	0.7042408	1.601446	1.30583	0.7415565
6	0	-46.3656	-29.9316	-16.434	1.004183	0.8247713	1.302901	0.8805081	2.236485	3.517532	1.0591	1.462408	1.250065	0.3249551	2.150012	0.4210887
7	1	-46.7161	-30.3086	-16.4075	0.9388816	0.394078	1.948769	2.436686	2.421852	1.982065	0.4679264	1.561086	1.10176	1.68998	0.7614569	0.7029502
8	0	-47.3626	-30.7554	-16.6072	0.8767193	1.978503	0.7756849	1.53687	1.552844	3.27204	1.740231	0.7284831	0.8828484	0.6918788	2.150012	0.4210887
9	1	-47.1275	-30.8025	-16.3249	1.428764	0.5882802	1.768873	2.073423	2.41109	1.042689	0.4706599	1.907449	0.9968872	2.255196	0.7614569	0.620165
10	0	-47.8417	-30.6081	-17.2336	1.078225	1.344469	1.461037	1.786924	1.691036	2.883186	1.740231	0.5876779	1.265277	1.074064	1.792014	0.5294944
11	1	-48.1689	-31.4377	-16.7312	2.429407	0.8594272	2.159754	2.105726	2.13066	1.042689	0.6501565	1.467796	0.6287168	2.021532	0.7152673	0.520059
12	0	-49.9159	-30.9178	-18.9981	1.120211	1.599831	1.848731	1.927605	1.770453	2.883186	2.385503	0.7800348	1.265277	1.030931	1.465067	0.9212512
13	1	-49.5994	-33.779	-15.8204	1.909859	0.3829851	1.396528	2.77088	3.366702	1.042689	0.7857731	0.8083296	0.7097298	1.508574	0.7152673	0.4230991
14	0	-48.6841	-30.7822	-17.902	1.226378	1.645168	1.204487	1.942651	1.366205	2.858967	1.980223	0.770871	1.320302	0.9513207	1.294915	1.340499
15	1	-51.4513	-34.4127	-17.0387	1.340406	0.4283058	1.33222	3.57882	3.311914	1.065466	0.9252389	0.9274504	0.4398007	2.19258	0.8113205	0.6851286
16	0	-50.2861	-32.2064	-18.0796	1.226378	2.566628	1.995115	1.630821	1.374755	1.85944	1.847743	0.770871	1.749503	0.8041007	0.4344713	1.81979
17	1	-47.8792	-32.5495	-15.3297	1.49889	0.5877394	2.087077	2.145775	3.311914	0.8537977	0.5157517	0.7226571	0.4482011	1.552571	0.8113205	0.7940167
18	0	-52.0689	-32.5975	-19.4714	2.158027	3.921654	1.336705	2.083977	1.333115	1.641565	1.708577	0.770871	1.653956	0.8874023	0.421081	1.554479
19	1	-48.5851	-31.5026	-17.0825	1.49889	0.758977	3.291149	1.950023	3.090878	1.581197	0.5648307	0.5118953	0.7273514	1.646415	0.6747061	0.7862249
20	0	-53.8717	-32.952	-20.9197	2.41901	3.921654	0.8746975	2.730439	1.035567	1.691613	2.807866	0.9725569	1.918634	0.8874023	0.4715175	1.188773
21	1	-48.4082	-31.959	-16.4492	1.300167	1.277797	2.38749	1.261866	3.090878	1.101559	0.6435979	0.5118953	0.5989973	2.075237	1.212637	0.9871145
22	0	-54.1105	-32.433	-21.6775	1.407564	3.625478	2.189065	1.61721	1.035567	1.691613	2.755373	1.509001	2.634035	1.326719	0.4575324	1.428345
23	1	-52.1244	-32.6817	-19.4427	1.023362	2.421141	2.38749	2.449247	3.090878	0.8189796	0.8456405	1.021418	0.756323	2.098021	1.916181	0.6140001
24	0	-57.2087	-32.6022	-24.6065	0.9888364	3.170315	2.758074	3.357274	0.6691924	1.233385	2.755373	1.59483	4.601891	1.326719	0.8618311	1.288747
25	1	-51.1004	-33.2993	-17.8011	1.023362	3.260688	2.140838	1.941993	1.430426	0.6389634	1.137153	1.0266	0.756323	1.673287	2.018814	0.7526969
26	0	-51.8367	-31.4598	-20.3769	0.5443516	3.170315	0.9893487	2.129411	1.256654	1.46461	2.755373	2.519989	2.296056	1.326719	0.6353061	1.288747
