Iteration	Posterior	Likelihood	Prior	cw	lb	to
0	-33.8978	-30.8978	-3	1	1	1
1	-34.9895	-31.9636	-3.02587	0.8767386	1.467684	0.6814453
2	-33.4196	-31.0106	-2.40905	0.748147	0.8457498	0.8151537
3	-34.9313	-31.473	-3.45828	0.7924302	1.342896	1.322949
4	-33.9514	-31.653	-2.29839	0.455959	0.8471546	0.9952752
5	-32.4324	-30.7684	-1.66405	0.4904454	0.43471	0.7388953
6	-33.8637	-31.4472	-2.41644	0.4904454	0.667506	1.258486
7	-31.7127	-30.5486	-1.16412	0.4904454	0.2972708	0.3764038
8	-32.1057	-30.879	-1.22667	0.4467859	0.4034787	0.3764038
9	-32.0075	-30.7073	-1.30026	0.4039276	0.3436246	0.5527121
10	-33.1308	-31.6514	-1.47939	0.4039276	0.6701475	0.4053184
11	-32.7455	-31.1674	-1.57804	0.5365577	0.5966173	0.4448698
12	-32.0833	-30.2886	-1.79465	0.8519111	0.3075618	0.635181
13	-33.4785	-30.9822	-2.49636	1.420088	0.5097403	0.5665292
14	-33.7127	-31.4192	-2.29342	1.420088	0.433422	0.4399139
15	-35.0169	-32.1326	-2.88429	1.771598	0.6727768	0.4399139
16	-36.5419	-34.2129	-2.32905	1.448232	0.6727768	0.2080399
17	-35.046	-33.0994	-1.94657	1.04231	0.6727768	0.231485
18	-33.321	-31.53	-1.79101	1.04231	0.417454	0.3312501
19	-32.6425	-31.1299	-1.51266	0.9199941	0.2696675	0.3230011
20	-32.9339	-31.4504	-1.48352	0.9202244	0.2818183	0.2814791
21	-33.2494	-32.206	-1.04337	0.6914802	0.1952013	0.1566932
22	-34.1055	-32.8207	-1.28486	0.8113939	0.3117401	0.1617227
23	-32.6841	-31.7841	-0.900066	0.5117505	0.2345282	0.1537871
24	-32.597	-31.7316	-0.865342	0.4392894	0.2713776	0.1546746
25	-32.9473	-31.9788	-0.968433	0.6029503	0.2108086	0.1546746
26	-33.8878	-32.6514	-1.23643	0.913187	0.1518436	0.1713986
27	-32.7167	-31.3778	-1.33892	0.913187	0.1525704	0.2731597
28	-32.0906	-30.3073	-1.78326	0.913187	0.1525704	0.7175012
29	-32.7418	-30.7351	-2.00673	1.272951	0.174233	0.559549
30	-32.6388	-30.6114	-2.02735	1.160446	0.104012	0.7628926
31	-32.5479	-30.6291	-1.91878	1.016046	0.08752224	0.8152104
32	-33.7217	-31.0275	-2.69424	1.812494	0.1828912	0.6988564
33	-33.0262	-31.1517	-1.87447	1.276561	0.1613828	0.4365263
34	-33.6882	-32.0005	-1.6877	1.259016	0.1232791	0.3054002
35	-34.1842	-32.3596	-1.82457	1.259016	0.3006782	0.2648716
36	-33.4585	-31.6476	-1.81091	1.259016	0.2161426	0.3357549
37	-32.6689	-31.3884	-1.28053	0.8167363	0.2141666	0.2496283
38	-32.1106	-30.6314	-1.47918	0.8184302	0.2650244	0.3957215
39	-32.0484	-30.5424	-1.50597	0.6366729	0.3820368	0.4872619
40	-31.7815	-30.3996	-1.38192	0.5903155	0.3043459	0.4872619
41	-31.7601	-30.3344	-1.42565	0.5903155	0.2848838	0.5504521
42	-31.7526	-30.4566	-1.29601	0.5903155	0.289462	0.4162305
43	-32.2814	-30.6519	-1.6295	0.9405775	0.2575133	0.4314117
44	-32.2392	-30.2929	-1.94628	0.787254	0.2575133	0.9015126
45	-32.4191	-30.6959	-1.72315	0.5070939	0.3145455	0.9015126
46	-31.8316	-30.5135	-1.31812	0.466862	0.3145455	0.5367093
47	-31.8749	-30.6932	-1.18172	0.3731112	0.3145455	0.4940647
