Iteration	Posterior	Likelihood	Prior	bl	cw	ht	lb	lo	ol	ot	th	to	tw	wc	wt
0	-42.7414	-30.7414	-12	1	1	1	1	1	1	1	1	1	1	1	1
1	-44.4631	-30.8282	-13.6349	1.198656	0.902363	0.9566092	1.695893	2.446392	1.222817	0.5814426	0.9698222	1	1	0.6609527	1
2	-45.6652	-30.9598	-14.7054	0.9388816	0.6333438	0.7666197	2.427662	2.421852	1.04879	0.5540425	1.561086	0.7042408	1.601446	1.30583	0.7415565
3	-46.7161	-30.3086	-16.4075	0.9388816	0.394078	1.948769	2.436686	2.421852	1.982065	0.4679264	1.561086	1.10176	1.68998	0.7614569	0.7029502
4	-47.1275	-30.8025	-16.3249	1.428764	0.5882802	1.768873	2.073423	2.41109	1.042689	0.4706599	1.907449	0.9968872	2.255196	0.7614569	0.620165
5	-48.1689	-31.4377	-16.7312	2.429407	0.8594272	2.159754	2.105726	2.13066	1.042689	0.6501565	1.467796	0.6287168	2.021532	0.7152673	0.520059
6	-49.5994	-33.779	-15.8204	1.909859	0.3829851	1.396528	2.77088	3.366702	1.042689	0.7857731	0.8083296	0.7097298	1.508574	0.7152673	0.4230991
7	-51.4513	-34.4127	-17.0387	1.340406	0.4283058	1.33222	3.57882	3.311914	1.065466	0.9252389	0.9274504	0.4398007	2.19258	0.8113205	0.6851286
8	-47.8792	-32.5495	-15.3297	1.49889	0.5877394	2.087077	2.145775	3.311914	0.8537977	0.5157517	0.7226571	0.4482011	1.552571	0.8113205	0.7940167
9	-48.5851	-31.5026	-17.0825	1.49889	0.758977	3.291149	1.950023	3.090878	1.581197	0.5648307	0.5118953	0.7273514	1.646415	0.6747061	0.7862249
10	-48.4082	-31.959	-16.4492	1.300167	1.277797	2.38749	1.261866	3.090878	1.101559	0.6435979	0.5118953	0.5989973	2.075237	1.212637	0.9871145
11	-52.1244	-32.6817	-19.4427	1.023362	2.421141	2.38749	2.449247	3.090878	0.8189796	0.8456405	1.021418	0.756323	2.098021	1.916181	0.6140001
12	-51.1004	-33.2993	-17.8011	1.023362	3.260688	2.140838	1.941993	1.430426	0.6389634	1.137153	1.0266	0.756323	1.673287	2.018814	0.7526969
13	-49.6058	-32.7828	-16.823	0.6699891	3.260688	1.788406	1.377974	1.028879	0.6389634	1.187818	2.544233	0.756323	1.688702	0.9664133	0.9146082
14	-49.0816	-32.4354	-16.6462	0.70742	2.64696	2.518038	1.377974	1.218555	0.7652549	1.121394	1.057954	0.8757282	1.725944	1.800328	0.8306094
15	-46.9353	-31.2309	-15.7044	0.853796	2.563659	1.753793	0.9349096	1.825026	1.041953	0.7154025	1.002538	1.273307	1.420262	1.800328	0.5193891
16	-44.9362	-30.8273	-14.109	0.9364876	1.776081	0.9413567	0.515111	1.825026	1.227105	0.5358786	1.002538	1.104737	1.705507	2.047139	0.4919865
17	-46.7688	-31.5021	-15.2667	1.424404	1.722547	1.614657	0.515111	1.825026	1.227105	0.7006502	1.218102	0.6909459	1.422543	2.397226	0.5083385
