Iteration	Replicate_ID	Posterior	Likelihood	Prior	R
0	0	-33.7968	-32.7968	-1	1
1	1	-33.7968	-32.7968	-1	1
2	0	-33.4321	-32.7968	-0.635313	0.6353126
3	1	-33.4605	-32.7968	-0.663694	0.6636936
4	0	-33.5758	-32.7968	-0.778974	0.7789738
5	1	-33.3236	-32.7968	-0.526819	0.5268188
6	0	-34.5459	-32.7968	-1.74909	1.74909
7	1	-33.0598	-32.7968	-0.263028	0.2630277
8	0	-33.8576	-32.7968	-1.0608	1.060804
9	1	-32.9935	-32.7968	-0.19667	0.1966704
10	0	-33.6401	-32.7968	-0.843358	0.8433582
11	1	-33.0204	-32.7968	-0.223602	0.2236021
12	0	-34.5046	-32.7968	-1.70779	1.707788
13	1	-33.2167	-32.7968	-0.41988	0.4198803
14	0	-36.1821	-32.7968	-3.38533	3.385327
15	1	-33.3062	-32.7968	-0.509441	0.5094415
16	0	-35.9586	-32.7968	-3.1618	3.1618
17	1	-33.9036	-32.7968	-1.10686	1.106861
18	0	-34.8392	-32.7968	-2.04245	2.04245
19	1	-34.0787	-32.7968	-1.28194	1.281942
20	0	-34.437	-32.7968	-1.64027	1.640268
21	1	-34.1222	-32.7968	-1.32546	1.325463
22	0	-34.1185	-32.7968	-1.32175	1.321749
23	1	-33.9294	-32.7968	-1.13265	1.132652
24	0	-34.182	-32.7968	-1.38518	1.385175
25	1	-34.1781	-32.7968	-1.38135	1.381349
26	0	-33.5535	-32.7968	-0.756675	0.7566747
27	1	-33.9071	-32.7968	-1.11028	1.110279
28	0	-33.7539	-32.7968	-0.957081	0.9570815
29	1	-33.5905	-32.7968	-0.793731	0.7937312
30	0	-33.7539	-32.7968	-0.957081	0.9570815
31	1	-33.6532	-32.7968	-0.856456	0.8564564
32	0	-34.247	-32.7968	-1.45019	1.450194
33	1	-34.2521	-32.7968	-1.45534	1.455342
34	0	-35.5931	-32.7968	-2.79634	2.796339
35	1	-33.3869	-32.7968	-0.590163	0.5901631
36	0	-34.6056	-32.7968	-1.80883	1.80883
37	1	-33.3675	-32.7968	-0.570747	0.5707471
38	0	-34.5603	-32.7968	-1.7635	1.763503
39	1	-33.4	-32.7968	-0.603184	0.6031835
40	0	-34.5565	-32.7968	-1.75971	1.759715
41	1	-33.712	-32.7968	-0.915221	0.9152211
42	0	-34.6225	-32.7968	-1.82571	1.825713
43	1	-33.6095	-32.7968	-0.812681	0.8126814
44	0	-35.5191	-32.7968	-2.7223	2.722303
45	1	-33.5483	-32.7968	-0.751565	0.7515654
46	0	-35.6224	-32.7968	-2.82558	2.825579
47	1	-33.1496	-32.7968	-0.35279	0.35279
48	0	-35.9664	-32.7968	-3.16966	3.169662
49	1	-33.2087	-32.7968	-0.411954	0.4119541
50	0	-36.3263	-32.7968	-3.52952	3.529517
51	1	-33.1193	-32.7968	-0.32253	0.3225304
52	0	-35.7765	-32.7968	-2.97969	2.97969
53	1	-33.0136	-32.7968	-0.216829	0.2168294
54	0	-34.3097	-32.7968	-1.51293	1.512927
55	1	-32.9971	-32.7968	-0.2003	0.2003001
56	0	-33.6892	-32.7968	-0.892439	0.8924395
57	1	-33.0079	-32.7968	-0.211134	0.2111336
58	0	-34.1188	-32.7968	-1.32197	1.321974
59	1	-32.9909	-32.7968	-0.194096	0.1940961
60	0	-34.3161	-32.7968	-1.51929	1.519295
61	1	-32.9465	-32.7968	-0.149703	0.1497026
62	0	-33.8829	-32.7968	-1.08613	1.086134
63	1	-32.9493	-32.7968	-0.152569	0.1525692
64	0	-33.9628	-32.7968	-1.16604	1.166035
65	1	-32.9042	-32.7968	-0.107392	0.1073924
66	0	-34.3268	-32.7968	-1.52999	1.529989
67	1	-32.8715	-32.7968	-0.0747491	0.07474915
68	0	-35.1987	-32.7968	-2.40193	2.401935
69	1	-32.8966	-32.7968	-0.0998681	0.09986811
70	0	-37.0291	-32.7968	-4.23227	4.232275
71	1	-32.8788	-32.7968	-0.0820406	0.08204062
72	0	-34.9856	-32.7968	-2.18885	2.188854
73	1	-33	-32.7968	-0.203219	0.203219
74	0	-34.426	-32.7968	-1.6292	1.629198
75	1	-32.9297	-32.7968	-0.132933	0.1329325
76	0	-33.6657	-32.7968	-0.868957	0.8689565
77	1	-32.9598	-32.7968	-0.16306	0.1630605
78	0	-34.1047	-32.7968	-1.30794	1.307937
79	1	-32.9852	-32.7968	-0.188374	0.1883742
80	0	-33.805	-32.7968	-1.00821	1.008207
81	1	-32.9772	-32.7968	-0.180383	0.1803831
82	0	-33.2152	-32.7968	-0.418414	0.418414
83	1	-32.9012	-32.7968	-0.104372	0.1043717
84	0	-33.0347	-32.7968	-0.237966	0.2379656
85	1	-32.8639	-32.7968	-0.0670962	0.06709618
86	0	-33.0499	-32.7968	-0.253139	0.2531388
87	1	-32.87	-32.7968	-0.0732321	0.07323211
88	0	-33.0701	-32.7968	-0.273296	0.2732963
89	1	-32.8429	-32.7968	-0.0460727	0.04607267
90	0	-33.2372	-32.7968	-0.440397	0.4403967
91	1	-32.8177	-32.7968	-0.0209632	0.02096323
92	0	-33.1557	-32.7968	-0.358955	0.358955
93	1	-32.8203	-32.7968	-0.0235118	0.02351177
94	0	-33.243	-32.7968	-0.446243	0.446243
95	1	-32.8164	-32.7968	-0.0196306	0.0196306
96	0	-33.015	-32.7968	-0.218202	0.2182024
97	1	-32.8127	-32.7968	-0.015966	0.01596602
98	0	-32.9878	-32.7968	-0.190972	0.1909715
99	1	-32.8069	-32.7968	-0.0101098	0.01010976
100	0	-33.1024	-32.7968	-0.305594	0.3055939
101	1	-32.8069	-32.7968	-0.0101098	0.01010976
102	0	-32.9796	-32.7968	-0.182867	0.1828667
103	1	-32.8092	-32.7968	-0.0123917	0.01239168
104	0	-32.909	-32.7968	-0.11218	0.1121804
105	1	-32.808	-32.7968	-0.0112126	0.01121259
106	0	-33.0688	-32.7968	-0.272037	0.2720373
107	1	-32.8054	-32.7968	-0.00860406	0.008604063
108	0	-33.125	-32.7968	-0.328204	0.3282041
109	1	-32.8042	-32.7968	-0.00742346	0.007423455
110	0	-33.1346	-32.7968	-0.337868	0.3378676
111	1	-32.8051	-32.7968	-0.00833261	0.008332612
112	0	-33.069	-32.7968	-0.272173	0.272173
113	1	-32.8086	-32.7968	-0.0117889	0.01178894
114	0	-33.058	-32.7968	-0.261179	0.2611791
115	1	-32.814	-32.7968	-0.0171831	0.01718313
116	0	-33.0324	-32.7968	-0.235644	0.2356445
117	1	-32.8054	-32.7968	-0.00865548	0.008655483
118	0	-33.2403	-32.7968	-0.443487	0.443487
119	1	-32.8049	-32.7968	-0.0081289	0.008128904
120	0	-33.5106	-32.7968	-0.713798	0.7137979
121	1	-32.8	-32.7968	-0.0032625	0.003262503
122	0	-33.4343	-32.7968	-0.63754	0.6375399
123	1	-32.7997	-32.7968	-0.00294511	0.00294511
124	0	-33.4343	-32.7968	-0.63754	0.6375399
125	1	-32.7994	-32.7968	-0.0026116	0.002611603
126	0	-33.2993	-32.7968	-0.502495	0.5024953
127	1	-32.7996	-32.7968	-0.00284559	0.002845593
128	0	-33.296	-32.7968	-0.499223	0.4992226
129	1	-32.8012	-32.7968	-0.00443033	0.00443033
130	0	-33.1016	-32.7968	-0.30487	0.3048697
131	1	-32.8012	-32.7968	-0.00443033	0.00443033
132	0	-32.9829	-32.7968	-0.186088	0.1860884
