Iteration	Posterior	Likelihood	Prior	R
0	-33.7968	-32.7968	-1	1
1	-33.4321	-32.7968	-0.635313	0.6353126
2	-33.5758	-32.7968	-0.778974	0.7789738
3	-34.5459	-32.7968	-1.74909	1.74909
4	-33.8576	-32.7968	-1.0608	1.060804
5	-33.6401	-32.7968	-0.843358	0.8433582
6	-34.5046	-32.7968	-1.70779	1.707788
7	-36.1821	-32.7968	-3.38533	3.385327
8	-35.9586	-32.7968	-3.1618	3.1618
9	-34.8392	-32.7968	-2.04245	2.04245
10	-34.437	-32.7968	-1.64027	1.640268
11	-34.1185	-32.7968	-1.32175	1.321749
12	-34.182	-32.7968	-1.38518	1.385175
13	-33.5535	-32.7968	-0.756675	0.7566747
14	-33.7539	-32.7968	-0.957081	0.9570815
15	-33.7539	-32.7968	-0.957081	0.9570815
16	-34.247	-32.7968	-1.45019	1.450194
17	-35.5931	-32.7968	-2.79634	2.796339
18	-34.6056	-32.7968	-1.80883	1.80883
19	-34.5603	-32.7968	-1.7635	1.763503
20	-34.5565	-32.7968	-1.75971	1.759715
21	-34.6225	-32.7968	-1.82571	1.825713
22	-35.5191	-32.7968	-2.7223	2.722303
23	-35.6224	-32.7968	-2.82558	2.825579
24	-35.9664	-32.7968	-3.16966	3.169662
25	-36.3263	-32.7968	-3.52952	3.529517
26	-35.7765	-32.7968	-2.97969	2.97969
27	-34.3097	-32.7968	-1.51293	1.512927
28	-33.6892	-32.7968	-0.892439	0.8924395
29	-34.1188	-32.7968	-1.32197	1.321974
30	-34.3161	-32.7968	-1.51929	1.519295
31	-33.8829	-32.7968	-1.08613	1.086134
32	-33.9628	-32.7968	-1.16604	1.166035
33	-34.3268	-32.7968	-1.52999	1.529989
34	-35.1987	-32.7968	-2.40193	2.401935
35	-37.0291	-32.7968	-4.23227	4.232275
36	-34.9856	-32.7968	-2.18885	2.188854
37	-34.426	-32.7968	-1.6292	1.629198
38	-33.6657	-32.7968	-0.868957	0.8689565
39	-34.1047	-32.7968	-1.30794	1.307937
40	-33.805	-32.7968	-1.00821	1.008207
41	-33.2152	-32.7968	-0.418414	0.418414
42	-33.0347	-32.7968	-0.237966	0.2379656
43	-33.0499	-32.7968	-0.253139	0.2531388
44	-33.0701	-32.7968	-0.273296	0.2732963
45	-33.2372	-32.7968	-0.440397	0.4403967
46	-33.1557	-32.7968	-0.358955	0.358955
47	-33.243	-32.7968	-0.446243	0.446243
48	-33.015	-32.7968	-0.218202	0.2182024
49	-32.9878	-32.7968	-0.190972	0.1909715
50	-33.1024	-32.7968	-0.305594	0.3055939
51	-32.9796	-32.7968	-0.182867	0.1828667
52	-32.909	-32.7968	-0.11218	0.1121804
53	-33.0688	-32.7968	-0.272037	0.2720373
54	-33.125	-32.7968	-0.328204	0.3282041
55	-33.1346	-32.7968	-0.337868	0.3378676
56	-33.069	-32.7968	-0.272173	0.272173
57	-33.058	-32.7968	-0.261179	0.2611791
58	-33.0324	-32.7968	-0.235644	0.2356445
59	-33.2403	-32.7968	-0.443487	0.443487
60	-33.5106	-32.7968	-0.713798	0.7137979
61	-33.4343	-32.7968	-0.63754	0.6375399
62	-33.4343	-32.7968	-0.63754	0.6375399
63	-33.2993	-32.7968	-0.502495	0.5024953
64	-33.296	-32.7968	-0.499223	0.4992226
65	-33.1016	-32.7968	-0.30487	0.3048697
66	-32.9829	-32.7968	-0.186088	0.1860884
