Video file,Type,FPS,Species,Architecture,Number of measurements,Timespan of measurements (s),Number of zooids,Mean zooid length (mm),Mean zooid width (mm),Pulsation rate (pulses/s),Mean swimming speed (mm/s)
A001C0294_20210920202610_0001,3D,120,Brooksia rostrata,Bipinnate,9,1.5059999999999998,17,10.592,4.322,2.25,19.942757669374675
A001C0223_20210917230616_0001,3D,120,Brooksia rostrata,Bipinnate,9,1.5059999999999998,35,4.363,2.306,2.56,34.82534936724712
A001C0143_20210709181838_0001_1,3D,120,Brooksia rostrata,Bipinnate,9,1.4999999999999996,11,7.963,4.026,NA,58.79273486685683
A001C0114_20210709170545_0001,3D,120,Brooksia rostrata,Bipinnate,9,1.5000000000000002,33,6.902,3.4,3,28.320113852086322
A001C0113_20210709170400_0001,3D,120,Brooksia rostrata,Bipinnate,9,1.5060000000000007,34,7.144,2.693,2.5,30.248656753828822
A001C0321_20210921220020_0001,3D,120,Ritteriella amboinensis,Bipinnate,7,1.1699999999999997,2,69.473,33.031,0.75,52.90398809518748
A001C0323_20210921220235_0001,3D,120,Ritteriella amboinensis,Bipinnate,15,2.5019999999999976,21,22.705,10.298,2.2,22.466644969449625
A001C0331_20210921221849_0001,3D,120,Ritteriella amboinensis,Bipinnate,9,1.5000000000000013,19,21.485,12.129,3,55.498166744029795
A001C0332_20210921222049_0001,3D,120,Ritteriella amboinensis,Bipinnate,1,0.16800000000000148,19,NA,NA,1.5,20.091856978306854
A001C0332_20210921222049_0001_b,3D,120,Ritteriella amboinensis,Bipinnate,7,1.170000000000001,19,NA,NA,NA,35.00819328642682
A001C0284_20210919222752_0001,3D,120,Ritteriella amboinensis,Bipinnate,7,1.1700000000000044,47,13.449,7.488,2.8,68.64672838383602
A001C0288_20210919223646_0001,3D,120,Ritteriella amboinensis,Bipinnate,9,1.5059999999999998,6,13.729,6.186,1.73,38.25880118757481
A002C0018_20220420225725_0001,3D,60,Ritteriella amboinensis,Bipinnate,8,2.670000000000001,10,22.403,11.767,1.14,56.31258213901475
A001C0348_20210922220852_0001,3D,120,Ritteriella sp.,Bipinnate,9,1.5000000000000004,38,16.593,7.375,1.5,61.55945000087107
A001C0349_20210922220958_0001,3D,120,Ritteriella sp.,Bipinnate,20,3.336,31,23.682,16.25,1.25,33.81073482996933
A001C0349_20210922220958_0001,3D,120,Ritteriella sp.,Bipinnate,20,3.336,31,23.682,16.25,1.13,33.81073482996933
A002C0047_20220421225032_0001,3D,60,Cyclosalpa polae,Cluster,9,4.506,2,17.091,33.996,1.33,39.726187367784114
A001C0358_20210922222944_0001,3D,120,Cyclosalpa sewelli,Cluster,9,1.5000000000000002,10,15.668,10.298,1.25,20.659053912341363
A001C0326_20210921220800_0001,3D,120,Cyclosalpa sewelli,Cluster,9,1.505999999999999,2,17.069,7.959,1.25,8.994612493118556
A001C0262_20210919202019_0001,3D,120,Cyclosalpa sewelli,Cluster,9,1.4999999999999996,7,12.584,3.675,1.33,21.098418319573927
A001C0274_20210919203457_0001,3D,120,Cyclosalpa sewelli,Cluster,9,1.5000000000000013,7,17.705,13.97,2,14.05569803746201
A001C0283_20210919222440_0001,3D,120,Cyclosalpa sewelli,Cluster,9,1.5060000000000002,6,9.458,5.528,1.5,49.57678549474592
GX010177_Helicosalpa_1,2D,60,Helicosalpa virgula,Helical,7,1.6666666666666667,60,11.5,6.4,3.33,50.83135686183817
A001C0346_20210922220601_0001,3D,120,Iasis cylindrica,Linear,18,3.000000000000001,36,7.753,5.053,4.8,79.07576348226736
A001C0346_20210922220601_0001,3D,120,Iasis cylindrica,Linear,18,3.000000000000001,36,7.753,5.053,3.89,79.07576348226736
A001C0354_20210922222311_0001,3D,120,Iasis cylindrica,Linear,9,1.542,19,10.264,6.371,2.83,102.18259548541555
A001C0355_20210922222503_0001,3D,120,Iasis cylindrica,Linear,7,1.1759999999999988,77,7.307,4.041,4.17,53.06960692651149
A001C0336_20210921222915_0001,3D,120,Iasis cylindrica,Linear,9,1.499999999999998,17,11.806,5.368,4,58.14873038556456
A001C0339_20210921223812_0001,3D,120,Iasis cylindrica,Linear,9,1.4999999999999996,12,10.575,5.944,2.57,96.65155497964382
A001C0279_20210919221855_0001,3D,120,Iasis cylindrica,Linear,9,1.5000000000000002,12,7.079,2.363,4.67,45.89095699292328
A001C0179_20210709184957_0001,3D,120,Iasis cylindrica,Linear,9,1.5060000000000007,11,12.45,5.628,2.33,71.5334715855279
A001C0178_20210709184853_0001,3D,120,Iasis cylindrica,Linear,9,1.4999999999999996,47,11.129,3.892,3.88,49.00836303609988
A001C0177_20210709184827_0001,3D,120,Iasis cylindrica,Linear,1,0.2100000000000002,16,NA,NA,4.25,176.2929260056604
A001C0173_20210709184408_0001,3D,120,Iasis cylindrica,Linear,10,1.6679999999999995,25,12.964,6.301,5.5,74.50233779795197
A001C0173_20210709184408_0001,3D,120,Iasis cylindrica,Linear,10,1.6679999999999995,9,12.964,6.301,5.5,74.50233779795197
A001C0172_20210709184345_0001_2,3D,120,Iasis cylindrica,Linear,9,1.4999999999999996,10,8.295,4.276,NA,81.50798919665493
A001C0171_20210709184313_0001_1,3D,120,Iasis cylindrica,Linear,9,1.5840000000000005,9,NA,NA,NA,40.02921355183924
A001C0171_20210709184313_0001_2,3D,120,Iasis cylindrica,Linear,10,1.6679999999999995,153,4.387,3.277,NA,66.4898973781632
A001C0170_20210709184247_0001_2,3D,120,Iasis cylindrica,Linear,9,1.4999999999999996,46,NA,NA,NA,58.73681619280463
A001C0169_20210709184226_0001,3D,120,Iasis cylindrica,Linear,8,1.332,13,NA,NA,3,101.65252809727485
A001C0167_20210709184129_0001,3D,120,Iasis cylindrica,Linear,9,1.5000000000000002,19,12.936,6.246,3.25,52.54814911530144
A001C0166_20210709184051_0001,3D,120,Iasis cylindrica,Linear,27,4.5000000000000036,35,NA,NA,3,38.17527111880595
A001C0166_20210709184051_0001,3D,120,Iasis cylindrica,Linear,27,4.5000000000000036,94,NA,NA,3,38.17527111880595
A001C0166_20210709184051_0001,3D,120,Iasis cylindrica,Linear,27,4.5000000000000036,37,NA,NA,3,38.17527111880595
