Specimen	Species	Experiment	Date	Activity.level	Zooid.length..mm.	Number.of.zooids	Colony.volume..ml.	Container.volume..ml.	Organism.notes	Paired	Timespan	Temperature_range	Treatment	Gross respiration rate (mgO2/min)	Control rate (mgO2/min)	Net respiration rate (mgO2/min)	Biovolume-corrected gross respiration rate (pgO2/min/ml)	Biovolume-corrected net respiration rate (pgO2/min/ml)
D11-BR-B-1	Brooksia rostrata	6	9/22/2021	Moderate	10	14	7.39728206782366	208	Broken zooids on one side	No	295	2.3	Intact	-0.000233785239877281	-2.00505714574693e-05	-0.000213734668419811	-31.604207833873	-28.8936756041119
D11-BR-B-2	Brooksia rostrata	6	9/22/2021	Moderate	7.5	32	8.93289391226892	208	Gradation from 5-10mm length zooids	No	295	2.3	Intact	-0.00028563622264927	-2.00505714574693e-05	-0.000265585651191801	-31.9757768819981	-29.7311995194559
D11-CA-B-1	Cyclosalpa affinis	6	9/22/2021	Active	45	6	24.3137625796313	208	Gunky surface, pooping a lot	No	295	2.3	Intact	-0.00275281453760831	-2.00505714574693e-05	-0.00273276396615084	-113.220425205372	-112.395765863083
D11-WC-B-1	Iasis (Weelia) cylindrica	6	9/22/2021	Very active	15	12	9.67897467138151	208	Yellow cloudy hue, lost by the end of incubation	No	295	2.3	Intact	-0.00112877219244125	-2.00505714574693e-05	-0.00110872162098378	-116.621050345216	-114.549490894115
D13-CA-B-1	Cyclosalpa affinis	7	9/23/2021	Active	35	6	19.1206225145805	208	Found in D13, released-recaptured in D14.	No	30	2	Intact	-0.00208000000000002	9.59999999999891e-05	-0.00217600000000001	-108.783069087521	-113.803826122329
D13-CA-B-2	Cyclosalpa affinis	7	9/23/2021	Active	35	6	19.1206225145805	208	Found in D13, released-recaptured in D14.	No	105	0.800000000000001	Intact	-0.00188311450381679	-0.000249160305343512	-0.00163395419847328	-98.4860457540449	-85.4550732972896
D13-CA-B-3	Cyclosalpa affinis	7	9/23/2021	Active	35	6	19.1206225145805	208	Found in D13, released-recaptured in D14.	No	156	1.6	Intact	-0.00136733202870189	-6.17612524461841e-05	-0.00130557077625571	-71.5108531460851	-68.28076728465
D14-WC-B-1A	Iasis (Weelia) cylindrica	7	9/23/2021	Very active	10	20	8.34191435472631	208	Same golden-hazed chain broken in 2 pieces - lost 1 zooid by the end	No	246	3.9	Intact	-0.00140694302479652	-0.000137777777777777	-0.00126916524701874	-168.659490492057	-152.143164392435
D14-WC-B-1B	Iasis (Weelia) cylindrica	7	9/23/2021	Very active	10	28	9.60142407059652	208	Same golden-hazed chain broken in 2 pieces - lost 4 zooids by the end	No	246	3.9	Intact	-0.00212829579153259	-0.000137777777777777	-0.00199051801375481	-221.6645964061	-207.314873202048
D14-WC-B-2	Iasis (Weelia) cylindrica	7	9/23/2021	Very active	10	34	10.5460563574992	208	Includes one little hyperiid amphipod	No	30	2	Intact	-0.00312000000000001	9.59999999999891e-05	-0.003216	-295.845185558999	-304.948114345429
