Species,Architecture,Mean Number of zooids,Mean zooid length (mm),Pulsation rate (pulses/s),Mean swimming speed (mm/s),Number of Speed Specimens,Number of Speed Measurements,Mean Number of zooids respirometry,Mean zooid length (mm) respirometry,Mean Colony volume (ml),Number of Respirometry Specimens,Number of Respirometry Measurements
Brooksia rostrata,Bipinnate,26,7.3928,2.612,34.42592250187875,5,45,20.3125,6.53125,3.689519836737572,16,130
Cyclosalpa affinis,Whorl,5,32.959,1.3597560975,24.462913493066264,2,15,6.7,37.9,23.4077945241511,10,65
Cyclosalpa bakeri,Whorl,7.142857142857143,7.031285714285715,2.632857142857143,10.41940705533151,7,63,6.857142857142857,14.571428571428571,2.9571428571428573,7,57
Cyclosalpa polae,Cluster,4.5,17.183,1.165,47.60141069521197,2,19,7,20,4.257142857142857,7,55
Cyclosalpa quadriluminis,Whorl,8,27.104,1.33,25.25801233297702,1,6,8.333333333333334,24.5,12.716666666666667,6,36
Cyclosalpa sewelli,Cluster,6.5,15.041333333333332,1.4216666666666666,26.7763316034764,6,52,6.181818181818182,19.363636363636363,7.220477522805193,11,88
Helicosalpa virgula,Helical,60,11.5,3.33,49.85624602981852,1,7,66,14,14.75,2,13
Iasis cylindrica,Linear,43,8.864217391304347,3.631290322580645,61.08568740607957,32,308,26.8,10.466666666666667,6.53736547794679,15,103
Metcalfina hexagona,Linear,18,26.78811111111111,2.3577777777777778,109.64376805243806,9,105,16,28,22,1,7
Pegea sp.,Transversal,12,30.957,1.7,20.32853537252858,2,18,13.076923076923077,43.23076923076923,29.166926441157376,13,91
Ritteriella amboinensis,Bipinnate,18.22222222222222,25.646444444444445,1.93,42.478883051151364,9,77,12.714285714285714,22.142857142857142,8,7,44
Ritteriella sp.,Bipinnate,33.333333333333336,21.319,1.2933333333333332,43.06030655360324,3,49,18.666666666666668,34.5,22.53333333333333,6,42
Salpa aspera,Linear,9.428571428571429,28.260428571428573,2.1085714285714285,114.29932231025428,7,57,16.166666666666668,32,9.116666666666667,6,42
Salpa fusiformis,Linear,16,17.1925,3.03,57.169082974550264,8,74,13,17.714285714285715,2.0714285714285716,7,47
Salpa maxima,Linear,2,61.58366666666667,0.6666666666666666,55.89824977808181,4,34,3.625,87.75,27.8125,8,52
Soestia zonaria,Linear,10.75,13.655,1.8675,109.17271396191349,4,34,9.125,19.625,4.6375,8,23
Thalia sp.,Oblique,29,3.508,4.5,5.843288358611041,1,28,18.571428571428573,5.857142857142857,0.32857142857142857,7,53
Ihlea punctata,Linear,NA,NA,NA,NA,NA,NA,68,12,3.7,1,7
