 ,Area,Mean,Min,Max,X,Y,Major,Minor,Angle,Slice
1,0.000,255,255,255,70.237,26.102,0.040,0.040,0,236
2,0.000,253,253,253,61.027,4.824,0.040,0.040,0,236
3,0.000,255,255,255,79.621,25.313,0.040,0.040,0,251
4,0.000,251,251,251,73.377,9.665,0.040,0.040,0,251
5,0.000,255,255,255,74.219,24.681,0.040,0.040,0,266
6,0.000,255,255,255,76.043,11.630,0.040,0.040,0,266
7,0.000,255,255,255,72.114,24.120,0.040,0.040,0,281
8,0.000,255,255,255,81.165,13.805,0.040,0.040,0,281
9,0.000,255,255,255,69.868,19.419,0.040,0.040,0,296
10,0.000,255,255,255,86.007,14.507,0.040,0.040,0,296
11,0.000,255,255,255,62.150,17.805,0.040,0.040,0,311
12,0.000,250,250,250,88.182,17.033,0.040,0.040,0,311
13,0.000,255,255,255,66.149,23.137,0.040,0.040,0,326
14,0.000,224,224,224,97.023,27.488,0.040,0.040,0,326
15,0.000,255,255,255,65.658,26.646,0.040,0.040,0,341
16,0.000,232,232,232,101.513,38.504,0.040,0.040,0,341
17,0.000,255,255,255,64.115,21.594,0.040,0.040,0,356
18,0.000,253,253,253,105.373,40.048,0.040,0.040,0,356
19,0.000,255,255,255,64.395,23.769,0.040,0.040,0,371
20,0.000,245,245,245,108.881,52.607,0.040,0.040,0,371
21,0.000,255,255,255,67.904,20.822,0.040,0.040,0,386
22,0.000,228,228,228,115.196,63.834,0.040,0.040,0,386
23,0.000,255,255,255,71.201,19.910,0.040,0.040,0,401
24,0.000,221,221,221,112.951,72.885,0.040,0.040,0,401
