 ,Area,Mean,Min,Max,X,Y,Slice
1,0.000,117,117,117,90.162,32.781,430
2,0.000,88,88,88,106.169,42.353,430
3,0.000,130,130,130,88.591,27.500,445
4,0.000,95,95,95,102.492,36.070,445
5,0.000,121,121,121,91.169,22.558,460
6,0.000,106,106,106,102.070,30.373,460
7,0.000,94,94,94,86.999,23.921,475
8,0.000,87,87,87,95.273,31.342,475
9,0.000,122,122,122,82.007,27.533,490
10,0.000,106,106,106,87.393,33.969,490
11,0.000,124,124,124,87.327,25.957,505
12,0.000,115,115,115,90.545,31.933,505
13,0.000,123,123,123,86.933,24.578,520
14,0.000,68,68,68,86.999,29.372,520
15,0.000,89,89,89,92.055,27.664,535
16,0.000,77,77,77,89.888,31.210,535
17,0.000,55,55,55,96.258,27.007,550
18,0.000,62,62,62,92.843,29.700,550
19,0.000,65,65,65,91.727,29.963,565
20,0.000,58,58,58,87.064,32.524,565
21,0.000,104,104,104,87.721,28.715,580
22,0.000,100,100,100,82.533,31.342,580
23,0.000,61,61,61,91.727,17.813,595
24,0.000,98,98,98,85.948,20.703,595
25,0.000,55,55,55,91.924,17.354,610
26,0.000,67,67,67,85.554,20.506,610
27,0.000,71,71,71,88.049,18.470,625
28,0.000,67,67,67,81.613,22.673,625
29,0.000,114,114,114,89.691,15.909,640
30,0.000,124,124,124,83.912,22.345,640
31,0.000,125,125,125,87.458,19.061,656
32,0.000,139,139,139,83.124,26.285,656
33,0.000,108,108,108,86.276,18.601,670
34,0.000,102,102,102,85.028,28.190,670
35,0.000,91,91,91,86.473,17.288,685
36,0.000,85,85,85,87.196,27.993,685
37,0.000,104,104,104,84.043,3.891,701
38,0.000,126,126,126,85.619,16.369,701
39,0.000,110,110,110,92.252,18.076,730
40,0.000,122,122,122,92.384,33.049,730
41,0.000,118,118,118,88.969,19.127,745
42,0.000,138,138,138,85.028,36.990,745
43,0.000,100,100,100,89.100,20.966,754
44,0.000,134,134,134,82.664,40.996,754
45,0.000,115,115,115,91.267,22.673,765
46,0.000,132,132,132,84.437,45.461,765
47,0.000,122,122,122,91.727,22.148,770
48,0.000,136,136,136,85.816,46.052,770
49,0.000,108,108,108,95.404,18.536,780
50,0.000,129,129,129,90.413,44.607,780
51,0.000,80,80,80,99.607,13.873,790
52,0.000,74,74,74,93.566,41.981,790
53,0.000,89,89,89,99.936,10.064,800
54,0.000,125,125,125,92.909,42.046,800
55,0.000,67,67,67,97.572,9.210,815
56,0.000,78,78,78,89.691,47.957,815
57,0.000,88,88,88,92.252,8.948,824
58,0.000,88,88,88,85.028,50.518,824
