 ,Area,Mean,Min,Max,X,Y,Major,Minor,Angle,Slice
1,0.000,188,188,188,39.633,23.935,0.063,0.063,0,94
2,0.000,184,184,184,54.666,37.193,0.063,0.063,0,94
3,0.000,158,158,158,37.692,19.886,0.063,0.063,0,116
4,0.000,153,153,153,49.230,33.032,0.063,0.063,0,116
5,0.000,142,142,142,42.518,29.094,0.063,0.063,0,138
6,0.000,149,149,149,51.060,40.465,0.063,0.063,0,138
7,0.000,170,170,170,40.521,34.253,0.063,0.063,0,160
8,0.000,208,208,208,47.177,42.129,0.063,0.063,0,160
9,0.000,123,123,123,39.633,37.137,0.063,0.063,0,182
10,0.000,151,151,151,44.848,42.129,0.063,0.063,0,182
11,0.000,164,164,164,33.809,36.472,0.063,0.063,0,204
12,0.000,234,234,234,39.911,37.858,0.063,0.063,0,204
13,0.000,115,115,115,30.980,47.676,0.063,0.063,0,226
14,0.000,244,244,244,38.025,44.903,0.063,0.063,0,226
