 ,Area,Mean,Min,Max,X,Y,Major,Minor,Angle,Slice
1,0.000,255,255,255,45.508,48.144,0.071,0.071,0,3
2,0.000,209,209,209,39.639,31.667,0.071,0.071,0,3
3,0.000,255,255,255,40.643,42.024,0.071,0.071,0,27
4,0.000,147,147,147,38.509,26.081,0.071,0.071,0,27
5,0.000,249,249,249,45.853,38.383,0.071,0.071,0,51
6,0.000,138,138,138,43.028,20.996,0.071,0.071,0,51
7,0.000,255,255,255,45.978,37.065,0.071,0.071,0,75
8,0.000,118,118,118,45.037,16.540,0.071,0.071,0,75
9,0.000,244,244,244,46.857,32.232,0.071,0.071,0,99
10,0.000,131,131,131,49.242,9.698,0.071,0.071,0,99
11,0.000,255,255,255,42.463,22.879,0.071,0.071,0,123
12,0.000,72,72,72,49.933,1.852,0.071,0.071,0,123
