 ,Area,Mean,Min,Max,X,Y,Slice
1,0.000,8,8,8,102.574,84.775,1
2,0.000,39,39,39,100.203,69.233,1
3,0.000,18,18,18,102.719,84.290,15
4,0.000,5,5,5,98.957,66.442,15
5,0.000,6,6,6,103.919,84.290,30
6,0.000,6,6,6,98.077,62.360,30
7,0.000,5,5,5,105.920,84.530,45
8,0.000,7,7,7,96.646,59.203,45
9,0.000,5,5,5,106.911,84.010,60
10,0.000,7,7,7,95.160,55.879,60
11,0.000,6,6,6,107.921,82.169,75
12,0.000,6,6,6,94.255,50.594,75
13,0.000,6,6,6,108.412,79.958,90
14,0.000,6,6,6,93.082,43.956,90
15,0.000,6,6,6,109.322,78.867,105
16,0.000,9,9,9,92.144,38.546,105
17,0.000,7,7,7,110.462,78.007,120
18,0.000,6,6,6,91.273,33.181,120
