 ,Area,Mean,Min,Max,X,Y,Slice
1,0.000,80,80,80,82.990,68.055,132
2,0.000,105,105,105,50.810,44.651,132
3,0.000,113,113,113,87.763,64.513,142
4,0.000,152,152,152,52.196,43.111,142
5,0.000,131,131,131,92.074,62.974,152
6,0.000,147,147,147,52.042,42.342,152
7,0.000,90,90,90,96.231,60.818,162
8,0.000,240,240,240,50.502,39.108,162
9,0.000,105,105,105,100.696,59.278,172
10,0.000,179,179,179,46.807,35.105,172
11,0.000,66,66,66,105.315,57.431,182
12,0.000,58,58,58,42.188,31.410,182
13,0.000,74,74,74,111.474,57.739,193
14,0.000,129,129,129,36.029,28.022,193
15,0.000,57,57,57,117.633,56.969,204
16,0.000,239,239,239,27.099,22.941,204
