 ,Area,Mean,Min,Max,X,Y,Major,Minor,Angle,Slice
1,0.000,165,165,165,33.146,46.295,0.068,0.068,0,1
2,0.000,76,76,76,78.805,42.993,0.068,0.068,0,1
3,0.000,255,255,255,32.934,43.902,0.068,0.068,0,24
4,0.000,167,167,167,77.896,41.175,0.068,0.068,0,24
5,0.000,129,129,129,32.813,43.114,0.068,0.068,0,47
6,0.000,171,171,171,70.806,39.600,0.068,0.068,0,47
7,0.000,215,215,215,38.085,47.416,0.068,0.068,0,70
8,0.000,185,185,185,67.413,42.751,0.068,0.068,0,70
9,0.000,246,246,246,43.235,54.567,0.068,0.068,0,93
10,0.000,247,247,247,64.020,49.052,0.068,0.068,0,93
