 ,Area,Mean,Min,Max,X,Y,Slice
1,0.000,177,177,177,71.118,25.560,401
2,0.000,132,132,132,32.112,36.224,401
3,0.000,157,157,157,76.595,22.415,416
4,0.000,143,143,143,36.782,39.705,416
5,0.000,158,158,158,71.271,15.920,431
6,0.000,93,93,93,30.321,42.845,431
7,0.000,150,150,150,75.639,18.411,446
8,0.000,105,105,105,35.405,52.707,446
9,0.000,136,136,136,77.687,10.221,461
10,0.000,109,109,109,38.528,54.328,461
11,0.000,134,134,134,69.394,12.268,476
12,0.000,97,97,97,32.197,61.648,476
13,0.000,125,125,125,73.020,14.623,491
14,0.000,79,79,79,36.327,71.191,491
