 ,Area,Mean,Min,Max,X,Y,Slice
1,0.000,50,50,50,60.245,42.058,133
2,0.000,17,17,17,54.702,26.507,133
3,0.000,29,29,29,63.983,41.976,155
4,0.000,51,51,51,58.264,27.538,155
5,0.000,45,45,45,67.452,45.913,177
6,0.000,125,125,125,61.358,30.632,177
7,0.000,99,99,99,67.264,46.663,199
8,0.000,118,118,118,59.202,30.913,199
9,0.000,15,15,15,67.745,45.245,220
10,0.000,113,113,113,56.589,29.495,220
11,0.000,28,28,28,65.495,50.870,242
12,0.000,14,14,14,47.495,28.558,242
13,0.000,49,49,49,64.089,48.151,264
14,0.000,7,7,7,41.026,15.527,264
15,0.000,26,26,26,66.432,56.120,284
16,0.000,7,7,7,41.308,14.308,284
17,0.000,17,17,17,65.776,54.057,304
18,0.000,9,9,9,35.308,5.308,304
