 ,Area,Mean,Min,Max,X,Y,Major,Minor,Angle,Slice
1,0.000,62,62,62,45.411,39.089,0.073,0.073,0,45
2,0.000,221,221,221,55.828,64.859,0.073,0.073,0,45
3,0.000,72,72,72,42.282,30.930,0.073,0.073,0,69
4,0.000,247,247,247,50.539,53.313,0.073,0.073,0,69
5,0.000,210,210,210,46.346,36.864,0.073,0.073,0,93
6,0.000,255,255,255,39.444,51.442,0.073,0.073,0,93
7,0.000,141,141,141,51.571,39.057,0.073,0.073,0,117
8,0.000,225,225,225,39.122,47.378,0.073,0.073,0,117
9,0.000,177,177,177,62.150,38.283,0.073,0.073,0,141
10,0.000,255,255,255,43.443,33.445,0.073,0.073,0,141
11,0.000,128,128,128,54.990,43.250,0.073,0.073,0,165
12,0.000,233,233,233,32.865,23.770,0.073,0.073,0,165
