 ,Area,Mean,Min,Max,X,Y,Slice
1,0.000,163,163,163,147.118,66.338,1
2,0.000,136,136,136,192.892,47.222,1
3,0.000,169,169,169,151.303,73.130,15
4,0.000,155,155,155,189.017,55.571,15
5,0.000,225,225,225,153.321,79.522,30
6,0.000,152,152,152,181.726,59.567,30
7,0.000,161,161,161,154.400,84.106,45
8,0.000,77,77,77,172.377,61.065,45
9,0.000,184,184,184,162.549,87.162,60
10,0.000,111,111,111,167.523,61.035,60
11,0.000,203,203,203,173.216,88.181,75
12,0.000,119,119,119,163.648,61.854,75
13,0.000,207,207,207,186.370,87.552,90
14,0.000,119,119,119,162.475,66.338,90
15,0.000,128,128,128,196.647,87.162,101
16,0.000,93,93,93,161.441,70.353,101
