 ,Area,Mean,Min,Max,X,Y,Major,Minor,Angle,Slice
1,0.000,157,157,157,25.243,35.749,0.077,0.077,0,47
2,0.000,96,96,96,10.677,24.867,0.077,0.077,0,47
3,0.000,97,97,97,25.004,20.569,0.077,0.077,0,71
4,0.000,183,183,183,22.889,25.686,0.077,0.077,0,71
5,0.000,73,73,73,28.961,1.808,0.077,0.077,0,95
6,0.000,65,65,65,37.830,31.007,0.077,0.077,0,95
7,0.000,103,103,103,24.526,2.490,0.077,0.077,0,119
8,0.000,162,162,162,44.652,54.476,0.077,0.077,0,119
9,0.000,173,173,173,22.138,2.627,0.077,0.077,0,143
10,0.000,172,172,172,55.158,68.803,0.077,0.077,0,143
