 ,Area,Mean,Min,Max,X,Y,Major,Minor,Angle,Slice
1,0.000,61,61,61,58.270,35.828,0.075,0.075,0,156
2,0.000,34,34,34,35.861,65.429,0.075,0.075,0,156
3,0.000,109,109,109,57.637,35.728,0.075,0.075,0,179
4,0.000,174,174,174,34.929,65.962,0.075,0.075,0,179
5,0.000,76,76,76,56.772,34.662,0.075,0.075,0,202
6,0.000,140,140,140,35.661,61.833,0.075,0.075,0,202
7,0.000,89,89,89,55.972,40.789,0.075,0.075,0,225
8,0.000,140,140,140,35.461,62.032,0.075,0.075,0,225
9,0.000,77,77,77,59.702,44.851,0.075,0.075,0,248
10,0.000,77,77,77,38.325,61.566,0.075,0.075,0,248
11,0.000,85,85,85,61.167,49.246,0.075,0.075,0,271
12,0.000,107,107,107,37.925,61.500,0.075,0.075,0,271
13,0.000,82,82,82,61.433,43.519,0.075,0.075,0,294
14,0.000,59,59,59,35.994,55.440,0.075,0.075,0,294
15,0.000,105,105,105,60.634,43.719,0.075,0.075,0,317
16,0.000,46,46,46,33.197,48.114,0.075,0.075,0,317
