"Species"	"TO"	"OL"	"TW"	"WC"
"Brooksia rostrata"	1	1	0	0
"Cyclosalpa affinis"	0	0	1	0
"Cyclosalpa floridiana"	0	0	1	0
"Cyclosalpa quadriluminis"	0	0	1	0
"Cyclosalpa polae"	0	0	1	1
"Cyclosalpa sewelli"	0	0	1	1
"Iasis cylindrica"	1	1	0	0
"Ihlea racovitzai"	1	1	0	0
"Pegea bicaudata"	0	0	0	0
"Pegea confoederata"	0	0	0	0
"Ritteriella retracta"	1	1	0	0
"Salpa aspera"	1	1	0	0
"Salpa fusiformis"	1	1	0	0
"Salpa maxima"	1	1	0	0
"Salpa thompsoni"	1	1	0	0
"Soestia zonaria"	1	1	0	0
"Thalia democratica"	1	0	0	0
"Thalia orientalis"	1	0	0	0
"Thetys vagina"	1	0	0	0
