state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
100	452.604	452.604	452.604	0	3	4760.896	0.566	37.103	-102.90	-358.10	0.00	0.00
200	331.510	331.510	331.510	0	3	3363.238	0.969	40.463	-99.14	-347.18	-0.00	0.00
300	363.750	363.750	363.750	0	3	1529.555	0.786	52.627	-96.46	-341.27	-0.00	0.00
400	379.849	379.849	379.849	0	3	1853.280	0.500	52.620	-95.39	-343.27	-4.27	0.00
500	292.503	292.503	292.503	0	3	1193.001	0.192	36.346	-102.04	-336.79	-0.00	0.00
600	459.389	459.389	459.389	0	3	1390.293	1.256	34.786	-95.45	-344.92	-4.09	0.00
700	312.711	312.711	312.711	0	3	1945.477	0.124	40.360	-96.85	-340.68	0.00	0.00
800	335.512	335.512	335.512	0	3	1360.412	0.614	34.293	-96.77	-339.35	0.00	0.00
900	458.405	458.405	458.405	0	3	1248.117	0.229	48.730	-92.83	-344.31	0.00	0.00
1000	190.452	190.452	190.452	0	3	1619.137	0.152	38.404	-101.49	-334.00	0.00	0.00
1100	339.304	339.304	339.304	0	3	1427.117	0.652	38.701	-94.86	-339.78	0.00	0.00
1200	261.678	261.678	261.678	0	3	1778.093	0.572	33.815	-96.94	-337.77	-0.00	0.00
1300	240.842	240.842	240.842	0	3	1145.399	0.775	43.350	-96.28	-334.32	0.41	-0.09
1400	280.916	280.916	280.916	0	3	1210.015	0.412	43.221	-94.29	-336.34	-3.34	0.00
1500	275.453	275.453	275.453	0	3	1652.862	0.242	43.548	-92.63	-337.87	0.00	0.00
1600	221.609	221.609	221.609	0	3	1802.256	0.880	43.143	-94.35	-336.10	0.00	0.00
1700	239.070	239.070	239.070	0	3	2415.269	0.698	43.120	-92.18	-339.32	1.30	0.00
1800	248.877	248.877	248.877	0	3	2556.142	0.768	43.552	-91.50	-340.32	-0.00	0.00
1900	207.346	207.346	207.346	0	3	1457.611	0.914	29.879	-93.22	-334.10	0.00	0.00
2000	295.886	295.886	295.886	0	3	968.717	0.529	19.851	-96.04	-336.04	0.00	0.00
2100	176.061	176.061	176.061	0	3	1205.157	0.289	20.157	-98.55	-331.71	0.00	0.00
2200	261.793	261.793	261.793	0	3	2070.059	0.176	28.479	-90.30	-338.94	1.21	0.00
2300	245.612	245.612	245.612	0	3	2289.531	0.561	28.427	-90.07	-339.11	3.61	0.00
2400	237.588	237.588	237.588	0	3	1767.410	0.296	28.480	-91.99	-336.67	-0.00	0.00
2500	225.441	225.441	225.441	0	3	1452.485	0.160	28.480	-93.05	-334.87	0.00	0.00
2600	196.443	196.443	196.443	0	3	1132.363	0.084	27.965	-96.85	-332.32	0.00	0.00
2700	215.211	215.211	215.211	0	3	1551.756	0.020	27.499	-93.13	-334.82	0.00	0.00
2800	314.364	314.364	314.364	0	3	1417.171	0.262	27.499	-91.14	-338.64	0.00	0.00
2900	248.291	248.291	248.291	0	3	2044.210	1.006	36.113	-89.30	-338.24	0.00	0.00
3000	222.323	222.323	222.323	0	3	2537.701	1.143	36.159	-88.66	-339.08	0.00	0.00
3100	132.193	132.193	132.193	0	3	2965.338	1.439	36.159	-91.86	-336.82	0.00	0.00
3200	166.158	166.158	166.158	0	3	3626.292	1.326	36.237	-88.96	-340.96	0.00	0.00
3300	162.207	162.207	162.207	0	3	3138.372	1.627	36.745	-89.41	-338.83	0.00	0.00
